 slim_762050190 slim_762050149 slim_762050191 slim_762050178 slim_762050181 slim_762050161 slim_762050157 slim_762050154 slim_762050189 slim_762050170 slim_762050160 slim_762050196 slim_762050177 slim_762050194 slim_762050166 slim_762050201 slim_762050197 slim_762050175 slim_762050185 slim_762050155 slim_762050164 slim_762050199 slim_762050195 slim_762050182 slim_762050150 slim_762050153 slim_762050187 slim_762050183 slim_762050172 slim_762050184 slim_762050179 slim_762050151 slim_762050163 slim_762050186 slim_762050173 slim_762050202 slim_762050200 slim_762050169 slim_762050167 slim_762050156 slim_762050193 slim_762050152 slim_762050165 slim_762050174 slim_762050171 slim_762050162 slim_762050188 slim_762050159 slim_762050192 slim_762050176 slim_762050168 slim_762050180 slim_762050158 slim_762050198
0 1.8e-06 1.3e-06 1.35e-06 1.35e-06 1.35e-06 1.35e-06 1.95e-06 1.45e-06 1.5e-06 1.7e-06 1.75e-06 1.25e-06 1.45e-06 1.2e-06 1.5e-06 1.25e-06 1.7e-06 1.85e-06 9.5e-07 1.95e-06 1.35e-06 1.25e-06 1.3e-06 1.2e-06 1.35e-06 1.05e-06 1.45e-06 1.55e-06 1.4e-06 1.75e-06 1.8e-06 9.5e-07 1.85e-06 1.75e-06 1.4e-06 1.3e-06 1.8e-06 1.4e-06 1.15e-06 1.35e-06 1.85e-06 1.35e-06 1.9e-06 1.5e-06 1.4e-06 1.4e-06 1.65e-06 1.35e-06 1.65e-06 1.4e-06 1.4e-06 1.35e-06 1.75e-06 1.85e-06
1 1.3e-06 6e-07 1.05e-06 1.4e-06 1.3e-06 1.15e-06 1.85e-06 1.25e-06 1.25e-06 1.35e-06 1.3e-06 1.05e-06 1.4e-06 1e-06 1.6e-06 9e-07 1.3e-06 1.45e-06 1.2e-06 1.95e-06 6e-07 1.6e-06 1.8e-06 1e-06 1.1e-06 1.55e-06 1.4e-06 8e-07 1.7e-06 1.35e-06 1.45e-06 1.35e-06 1.4e-06 1.35e-06 1e-06 8.5e-07 2e-06 1.35e-06 1.65e-06 1.05e-06 1.95e-06 1.6e-06 1.75e-06 1.2e-06 1.7e-06 1e-06 6.5e-07 9e-07 6e-07 1.8e-06 8e-07 1.65e-06 1.8e-06 1.55e-06
2 1.35e-06 1.05e-06 1.8e-06 1.15e-06 1.85e-06 1.2e-06 1.85e-06 1.75e-06 1.3e-06 1.45e-06 1.8e-06 1.1e-06 1.3e-06 1.05e-06 1.65e-06 1.05e-06 1.45e-06 1.9e-06 1.35e-06 2.2e-06 1.4e-06 1.55e-06 1.15e-06 1.05e-06 1.3e-06 1.35e-06 1.5e-06 1.3e-06 1.15e-06 1.5e-06 2e-06 1.5e-06 1.9e-06 1.8e-06 1.15e-06 1.1e-06 2.2e-06 1.2e-06 1.45e-06 9.5e-07 1.9e-06 1.65e-06 1.9e-06 1.7e-06 1.15e-06 1.05e-06 1.2e-06 1.1e-06 1.15e-06 2.25e-06 1.25e-06 1.85e-06 1.9e-06 1.9e-06
3 1.35e-06 1.4e-06 1.15e-06 1.6e-06 1.9e-06 1.25e-06 1.35e-06 1.75e-06 1.45e-06 1.35e-06 1.95e-06 1.15e-06 9.5e-07 1.1e-06 1.7e-06 1.25e-06 1.45e-06 2.05e-06 1.35e-06 2.3e-06 1.6e-06 1.55e-06 1.05e-06 1.1e-06 1.35e-06 1.3e-06 1.55e-06 1.3e-06 9e-07 1.5e-06 2.15e-06 1.45e-06 2.05e-06 1.95e-06 1.1e-06 1.1e-06 2.2e-06 1.15e-06 1.4e-06 1.15e-06 1.75e-06 1.6e-06 1.75e-06 1.8e-06 9e-07 1.25e-06 1.65e-06 1.3e-06 1.65e-06 2.2e-06 1.15e-06 1.75e-06 1.75e-06 2e-06
4 1.35e-06 1.3e-06 1.85e-06 1.9e-06 1.5e-06 1.75e-06 2e-06 1.45e-06 1.9e-06 2.05e-06 1.5e-06 1.6e-06 1.9e-06 1.55e-06 1.85e-06 1.85e-06 1.9e-06 1.65e-06 1.3e-06 1.7e-06 1.1e-06 1.5e-06 2.05e-06 1.55e-06 1.65e-06 1.4e-06 1.6e-06 1.5e-06 2.05e-06 1.95e-06 1.65e-06 1.05e-06 1.6e-06 1.55e-06 1.7e-06 1.8e-06 1.35e-06 2e-06 1.5e-06 1.85e-06 1.85e-06 1.3e-06 1.7e-06 1.25e-06 2.05e-06 1.8e-06 1.75e-06 1.8e-06 1.8e-06 1.1e-06 1.4e-06 1.3e-06 1.8e-06 1.75e-06
5 1.35e-06 1.15e-06 1.2e-06 1.25e-06 1.75e-06 1.7e-06 1.85e-06 1.7e-06 1.15e-06 1.6e-06 1.8e-06 1.3e-06 1.35e-06 1.25e-06 1.5e-06 1.15e-06 1.6e-06 1.9e-06 1.25e-06 2.1e-06 1.3e-06 1.6e-06 1.15e-06 1.25e-06 1.3e-06 1.45e-06 1.2e-06 1.3e-06 1.45e-06 1.65e-06 1.9e-06 1.4e-06 1.9e-06 1.8e-06 1.3e-06 1.1e-06 2.05e-06 1.35e-06 1.55e-06 1.2e-06 1.95e-06 1.55e-06 1.75e-06 1.65e-06 1.45e-06 1.25e-06 1.3e-06 1.1e-06 1.3e-06 2.05e-06 1.2e-06 1.7e-06 1.9e-06 1.85e-06
6 1.95e-06 1.85e-06 1.85e-06 1.35e-06 2e-06 1.85e-06 1.9e-06 2e-06 2.05e-06 1.6e-06 2.15e-06 1.85e-06 1.3e-06 1.8e-06 2.2e-06 1.9e-06 1.7e-06 2.25e-06 1.95e-06 2.3e-06 2e-06 2e-06 1.9e-06 1.8e-06 1.75e-06 1.95e-06 2.1e-06 1.6e-06 1.35e-06 1.7e-06 2.45e-06 1.8e-06 2.25e-06 2.15e-06 1.3e-06 1.6e-06 2.05e-06 1.7e-06 2.05e-06 1.85e-06 1.7e-06 1.7e-06 1.75e-06 1.95e-06 1.35e-06 1.75e-06 2.1e-06 1.95e-06 2.1e-06 2.45e-06 1.45e-06 2e-06 1.65e-06 2.15e-06
7 1.45e-06 1.25e-06 1.75e-06 1.75e-06 1.45e-06 1.7e-06 2e-06 2.2e-06 1.85e-06 1.8e-06 1.8e-06 1.7e-06 1.75e-06 1.65e-06 1.9e-06 1.6e-06 1.7e-06 1.9e-06 1.4e-06 2.05e-06 1.35e-06 1.7e-06 2.15e-06 1.65e-06 1.6e-06 1.6e-06 1.85e-06 1.3e-06 1.95e-06 1.75e-06 1.85e-06 1.3e-06 1.9e-06 1.8e-06 1.45e-06 1.4e-06 1.9e-06 1.9e-06 1.7e-06 1.75e-06 2e-06 1.65e-06 1.85e-06 1.55e-06 1.95e-06 1.7e-06 1.5e-06 1.6e-06 1.55e-06 1.6e-06 1.3e-06 1.7e-06 1.9e-06 1.95e-06
8 1.5e-06 1.25e-06 1.3e-06 1.45e-06 1.9e-06 1.15e-06 2.05e-06 1.85e-06 2.1e-06 1.7e-06 1.95e-06 1.4e-06 1.55e-06 1.35e-06 1.7e-06 1.25e-06 1.7e-06 2.05e-06 1.45e-06 2.3e-06 1.4e-06 1.75e-06 1.2e-06 1.35e-06 1.4e-06 1.6e-06 1.25e-06 1.45e-06 1.55e-06 1.75e-06 1.9e-06 1.55e-06 2.05e-06 1.95e-06 1.4e-06 1.25e-06 2.25e-06 1.45e-06 1.7e-06 1.3e-06 2.1e-06 1.7e-06 2e-06 1.8e-06 1.55e-06 1.35e-06 1.4e-06 1.25e-06 1.25e-06 2.25e-06 1.4e-06 1.85e-06 2.05e-06 2e-06
9 1.7e-06 1.35e-06 1.45e-06 1.35e-06 2.05e-06 1.6e-06 1.6e-06 1.8e-06 1.7e-06 2e-06 2e-06 1.5e-06 1.25e-06 1.45e-06 2e-06 1.45e-06 1.35e-06 2.1e-06 1.7e-06 2.4e-06 1.6e-06 1.75e-06 1.7e-06 1.45e-06 1.15e-06 1.75e-06 1.85e-06 1.35e-06 1.3e-06 1.5e-06 2.2e-06 1.65e-06 2.1e-06 2e-06 1.1e-06 1.3e-06 2.3e-06 1.35e-06 1.85e-06 1.45e-06 1.8e-06 1.75e-06 1.95e-06 1.85e-06 1.3e-06 1.3e-06 1.55e-06 1.5e-06 1.55e-06 2.4e-06 1.3e-06 1.95e-06 1.8e-06 1.8e-06
