 slim_761968686 slim_761968670 slim_761968735 slim_761968694 slim_761968713 slim_761968682 slim_761968724 slim_761968687 slim_761968706 slim_761968708 slim_761968728 slim_761968671 slim_761968711 slim_761968677 slim_761968668 slim_761968669 slim_761968692 slim_761968725 slim_761968695 slim_761968734 slim_761968681 slim_761968718 slim_761968688 slim_761968672 slim_761968696 slim_761968722 slim_761968673 slim_761968679 slim_761968680 slim_761968732 slim_761968717 slim_761968678 slim_761968729 slim_761968731 slim_761968720 slim_761968726 slim_761968698 slim_761968691 slim_761968690 slim_761968727 slim_761968684 slim_761968705 slim_761968723 slim_761968675 slim_761968693 slim_761968685 slim_761968699 slim_761968683 slim_761968730 slim_761968702 slim_761968721 slim_761968676 slim_761968674 slim_761968710 slim_761968712 slim_761968703 slim_761968697 slim_761968707 slim_761968715 slim_761968719 slim_761968733 slim_761968714 slim_761968689 slim_761968709 slim_761968700 slim_761968704 slim_761968701 slim_761968716
0 2.66e-05 3.775e-05 3.185e-05 5.965e-05 8.215e-05 1.765e-05 1.345e-05 5.465e-05 5.475e-05 3.005e-05 2.635e-05 3.245e-05 9.58e-05 4.43e-05 2.085e-05 1.935e-05 5.65e-05 1.91e-05 1.91e-05 1.37e-05 1.38e-05 1.785e-05 1.36e-05 5.77e-05 1.37e-05 1.355e-05 5.46e-05 1.525e-05 5.485e-05 1.355e-05 5.485e-05 4.61e-05 2.435e-05 3.205e-05 6.02e-05 5.48e-05 8.22e-05 1.92e-05 5.665e-05 5.765e-05 3.435e-05 3.785e-05 5.485e-05 1.36e-05 2.32e-05 1.71e-05 2.69e-05 1.35e-05 7.3e-05 2.865e-05 1.535e-05 4.08e-05 2.665e-05 5.645e-05 9.59e-05 1.355e-05 2.115e-05 4.69e-05 6.02e-05 3.885e-05 1.91e-05 1.355e-05 6.575e-05 3.005e-05 1.535e-05 1.355e-05 4.11e-05 5.825e-05
1 3.775e-05 3.04e-05 4.86e-05 3.48e-05 5.74e-05 4.095e-05 3.87e-05 5.49e-05 5.49e-05 3.16e-05 2.865e-05 3.165e-05 7.11e-05 4.42e-05 4.485e-05 4.33e-05 5.65e-05 4.25e-05 4.32e-05 3.855e-05 3.86e-05 4.25e-05 3.78e-05 5.78e-05 3.865e-05 3.86e-05 5.48e-05 4.025e-05 5.485e-05 3.785e-05 5.495e-05 4.535e-05 2.69e-05 4.86e-05 5.95e-05 5.48e-05 5.74e-05 4.32e-05 5.595e-05 3.515e-05 3.585e-05 3.785e-05 5.48e-05 3.795e-05 4.72e-05 4.21e-05 2.62e-05 3.86e-05 6.49e-05 2.855e-05 4.015e-05 4.355e-05 2.82e-05 5.645e-05 7.12e-05 3.855e-05 4.445e-05 4.685e-05 5.95e-05 3.9e-05 4.25e-05 3.835e-05 4.33e-05 3.16e-05 4.015e-05 3.855e-05 4.115e-05 5.765e-05
2 3.185e-05 4.86e-05 5.25e-05 5.495e-05 6.315e-05 4.06e-05 3.5e-05 5.54e-05 5.705e-05 4.715e-05 4.41e-05 4.585e-05 7.92e-05 4.42e-05 4.115e-05 3.975e-05 5.865e-05 4.085e-05 3.53e-05 3.065e-05 3.075e-05 3.735e-05 3.19e-05 5.715e-05 3.505e-05 2.65e-05 5.285e-05 3.65e-05 5.71e-05 3.205e-05 5.29e-05 4.69e-05 4.24e-05 3.065e-05 6.17e-05 5.7e-05 6.325e-05 3.96e-05 5.98e-05 5.665e-05 4.93e-05 4.54e-05 5.71e-05 3.625e-05 4.195e-05 3.68e-05 4.24e-05 3.065e-05 5.27e-05 4.27e-05 3.22e-05 4.1e-05 4.54e-05 5.86e-05 7.925e-05 3.49e-05 4.245e-05 4.92e-05 6.17e-05 4.93e-05 4.085e-05 3.06e-05 6.47e-05 4.715e-05 3.22e-05 3.49e-05 3.68e-05 6.135e-05
3 5.965e-05 3.48e-05 5.495e-05 4.54e-05 3.18e-05 6.695e-05 5.685e-05 4.635e-05 4.84e-05 5.48e-05 4.75e-05 4.27e-05 4.605e-05 3.995e-05 5.96e-05 5.98e-05 4.955e-05 6.49e-05 6.39e-05 6.1e-05 6.07e-05 5.69e-05 6.62e-05 5.395e-05 5.685e-05 5.88e-05 4.61e-05 5.67e-05 4.805e-05 5.975e-05 5.275e-05 4.495e-05 5.18e-05 5.075e-05 5.13e-05 4.8e-05 3.175e-05 5.965e-05 5.34e-05 3.71e-05 4.88e-05 4.215e-05 4.84e-05 6.205e-05 5.98e-05 5.47e-05 4.495e-05 6.1e-05 4.235e-05 3.965e-05 6.09e-05 5.12e-05 5.705e-05 4.83e-05 4.01e-05 5.67e-05 6.48e-05 4.17e-05 5.13e-05 4.815e-05 6.49e-05 5.395e-05 4.36e-05 5.48e-05 6.09e-05 5.635e-05 4.445e-05 5.275e-05
4 8.215e-05 5.74e-05 6.315e-05 3.18e-05 3.33e-05 8.8e-05 7.82e-05 4.65e-05 4.75e-05 7.645e-05 6.89e-05 6.565e-05 2.3e-05 4.745e-05 8.13e-05 8.145e-05 4.87e-05 8.655e-05 8.67e-05 8.35e-05 8.415e-05 7.865e-05 8.87e-05 5.35e-05 7.82e-05 8.245e-05 4.635e-05 7.81e-05 4.815e-05 8.225e-05 5.3e-05 5.23e-05 7.315e-05 5.78e-05 5.07e-05 4.8e-05 1.675e-05 8.13e-05 5.235e-05 4.47e-05 6.29e-05 5.28e-05 4.75e-05 8.34e-05 8.185e-05 7.645e-05 6.76e-05 8.35e-05 2.715e-05 6.235e-05 8.345e-05 5.935e-05 7.825e-05 4.75e-05 1.7e-05 7.805e-05 8.63e-05 5.025e-05 5.07e-05 5.855e-05 8.655e-05 7.74e-05 4.27e-05 7.645e-05 8.345e-05 7.865e-05 5.275e-05 5.225e-05
5 1.765e-05 4.095e-05 4.06e-05 6.695e-05 8.8e-05 1e-07 2.08e-05 6.13e-05 5.85e-05 1.965e-05 2.705e-05 3.3e-05 9.04e-05 5.35e-05 1.455e-05 1.615e-05 5.585e-05 8.15e-06 1.45e-05 1.9e-05 2e-05 2.655e-05 1.1e-05 5.785e-05 2.07e-05 2.405e-05 6.345e-05 1.915e-05 5.945e-05 1.765e-05 5.71e-05 4.32e-05 2.415e-05 4.215e-05 5.4e-05 5.94e-05 8.805e-05 1.6e-05 4.82e-05 5.41e-05 4.51e-05 4.34e-05 5.85e-05 1.27e-05 2.205e-05 2.615e-05 2.945e-05 1.91e-05 8.01e-05 3.595e-05 1.75e-05 4.445e-05 1.405e-05 5.7e-05 9.655e-05 2.055e-05 5.85e-06 5.15e-05 5.4e-05 4.945e-05 8.15e-06 2.625e-05 6.22e-05 1.965e-05 1.75e-05 2.15e-05 4.855e-05 5.505e-05
6 1.345e-05 3.87e-05 3.5e-05 5.685e-05 7.82e-05 2.08e-05 3e-07 4.785e-05 4.535e-05 3.45e-05 1.66e-05 3.62e-05 9.6e-05 3.715e-05 1.825e-05 1.65e-05 4.855e-05 2.405e-05 2.81e-05 1.27e-05 1.37e-05 7e-06 2.03e-05 5.815e-05 6e-07 1.775e-05 5.045e-05 2.4e-06 4.645e-05 1.365e-05 5.73e-05 4.7e-05 1.86e-05 2.33e-05 6.09e-05 4.64e-05 7.825e-05 1.64e-05 5.53e-05 5.555e-05 2.79e-05 2.62e-05 4.545e-05 8.35e-06 2.245e-05 6.1e-06 2.835e-05 1.23e-05 6.78e-05 2.255e-05 1.45e-05 4.06e-05 2.905e-05 4.73e-05 9.005e-05 5.5e-07 2.635e-05 3.85e-05 6.09e-05 3.255e-05 2.405e-05 6.95e-06 6.365e-05 3.45e-05 1.45e-05 1.5e-06 4.545e-05 5.755e-05
7 5.465e-05 5.49e-05 5.54e-05 4.635e-05 4.65e-05 6.13e-05 4.785e-05 8.71e-05 4.58e-05 5.92e-05 5.05e-05 5.29e-05 4.985e-05 4.845e-05 5.265e-05 5.27e-05 4.72e-05 5.9e-05 5.935e-05 5.49e-05 5.46e-05 4.825e-05 6.13e-05 5.395e-05 4.8e-05 5.515e-05 4.605e-05 4.8e-05 4.565e-05 5.475e-05 5.28e-05 5.495e-05 5.45e-05 4.865e-05 5.035e-05 4.55e-05 4.65e-05 5.255e-05 5.245e-05 5.475e-05 4.805e-05 4.81e-05 4.59e-05 5.44e-05 5.27e-05 4.585e-05 5.48e-05 5.475e-05 4.635e-05 4.845e-05 5.495e-05 5.69e-05 6.14e-05 4.605e-05 4.385e-05 4.79e-05 5.92e-05 4.785e-05 5.03e-05 4.815e-05 5.9e-05 4.785e-05 5.26e-05 5.92e-05 5.495e-05 4.755e-05 5.55e-05 5.145e-05
8 5.475e-05 5.49e-05 5.705e-05 4.84e-05 4.75e-05 5.85e-05 4.535e-05 4.58e-05 8.99e-05 5.85e-05 4.775e-05 5.49e-05 5.115e-05 4.77e-05 5.19e-05 5.195e-05 4.64e-05 5.83e-05 6.135e-05 5.485e-05 5.55e-05 4.75e-05 6.13e-05 5.405e-05 4.535e-05 5.79e-05 4.805e-05 4.535e-05 4.59e-05 5.48e-05 5.475e-05 5.42e-05 5.19e-05 4.755e-05 5.165e-05 4.575e-05 4.755e-05 5.18e-05 5.175e-05 5.41e-05 4.815e-05 4.53e-05 4.515e-05 5.18e-05 5.4e-05 4.525e-05 5.48e-05 5.485e-05 4.74e-05 4.84e-05 5.49e-05 5.69e-05 5.865e-05 4.535e-05 4.515e-05 4.525e-05 5.845e-05 4.81e-05 5.17e-05 4.81e-05 5.83e-05 4.875e-05 5.185e-05 5.85e-05 5.49e-05 4.585e-05 5.715e-05 5.16e-05
9 3.005e-05 3.16e-05 4.715e-05 5.48e-05 7.645e-05 1.965e-05 3.45e-05 5.92e-05 5.85e-05 3.88e-05 3.145e-05 3.17e-05 7.655e-05 5.235e-05 2.7e-05 2.69e-05 5.745e-05 1.955e-05 2.34e-05 3.085e-05 3.15e-05 3.64e-05 2.35e-05 5.435e-05 3.44e-05 3.4e-05 6.15e-05 3.455e-05 5.905e-05 3.01e-05 5.515e-05 4.5e-05 2.69e-05 5.055e-05 5.1e-05 5.9e-05 7.65e-05 2.68e-05 5.105e-05 4.48e-05 4.73e-05 4.685e-05 5.84e-05 2.715e-05 2.9e-05 3.435e-05 3.175e-05 3.095e-05 7.475e-05 3.925e-05 3.1e-05 4.63e-05 1.96e-05 5.86e-05 8.27e-05 3.43e-05 1.955e-05 5.285e-05 5.1e-05 5.11e-05 1.955e-05 3.775e-05 5.11e-05 1.94e-05 3.1e-05 3.49e-05 4.89e-05 5.12e-05
