 slim_337543741 slim_337543659 slim_337543886 slim_337543841 slim_337543861 slim_337543798 slim_337543814 slim_337543887 slim_337543725 slim_337543704 slim_337543688 slim_337543824 slim_337543876 slim_337543726 slim_337543560 slim_337543825 slim_337543883 slim_337543786 slim_337543884 slim_337543745 slim_337543791 slim_337543892 slim_337543882 slim_337543848 slim_337543765 slim_337543328 slim_337543717 slim_337543812 slim_337543890 slim_337543854 slim_337543880 slim_337543753 slim_337543860 slim_337543891 slim_337543858 slim_337543836 slim_337543849 slim_337543597 slim_337543660 slim_337543864 slim_337543835 slim_337543874 slim_337543787 slim_337543826 slim_337543888 slim_337543737 slim_337543868 slim_337543851 slim_337543706 slim_337543761 slim_337543859 slim_337543881 slim_337543873 slim_337543732 slim_337543879 slim_337543770 slim_337543750 slim_337543889 slim_337543682 slim_337543869 slim_337543810 slim_337543875 slim_337543807 slim_337543866 slim_337543837 slim_337543788 slim_337543801 slim_337543749 slim_337543827 slim_337543797 slim_337543845 slim_337543870 slim_337543780 slim_337543671 slim_337543872 slim_337543862 slim_337543738 slim_337543698 slim_337543796 slim_337543839 slim_337543701 slim_337543847 slim_337543776 slim_337543693 slim_337543790 slim_337543689 slim_337543673 slim_337543878 slim_337543769 slim_337543716 slim_337543622 slim_337543844 slim_337543365 slim_337543877 slim_337543885 slim_337543358
0 1.92e-05 2.35e-05 5.165e-05 0.00010495 5.18e-05 1.14e-05 4.66e-05 8.18e-05 8.185e-05 5.63e-05 1.155e-05 4.525e-05 1.14e-05 4.71e-05 1.12e-05 7.9e-05 1.175e-05 2.115e-05 5.765e-05 2.135e-05 2.16e-05 4.685e-05 4.66e-05 0.0001039 7.84e-05 4.37e-05 5.32e-05 3.115e-05 4.665e-05 0.0001356 7.85e-05 4.575e-05 1.14e-05 4.8e-05 2.29e-05 8.105e-05 7.35e-05 4.62e-05 8.325e-05 4.605e-05 5.22e-05 1.14e-05 3.755e-05 4.675e-05 1.15e-05 7.835e-05 1.11e-05 1.175e-05 1.4e-05 2.09e-05 7.355e-05 4.165e-05 4.24e-05 4.82e-05 4.19e-05 1.06e-05 1.245e-05 6.335e-05 7.685e-05 4.245e-05 3.17e-05 7.755e-05 1.115e-05 5.145e-05 4.395e-05 5.715e-05 2.055e-05 1.155e-05 1.15e-05 4.2e-05 2.1e-05 5.255e-05 4.66e-05 4.665e-05 3.185e-05 8.18e-05 1.105e-05 1.095e-05 4.09e-05 4.48e-05 5.24e-05 4.255e-05 4.185e-05 1.14e-05 4.42e-05 2.13e-05 4.48e-05 1.315e-05 7.355e-05 2.035e-05 1.35e-05 4.675e-05 4.635e-05 1.175e-05 8.19e-05 1.1e-05
1 2.35e-05 4.1e-05 4.175e-05 0.00010655 4.21e-05 2.245e-05 4.71e-05 7.17e-05 7.175e-05 4.595e-05 2.255e-05 4.71e-05 2.25e-05 4.78e-05 2.23e-05 7.62e-05 2.285e-05 2.3e-05 5.715e-05 2.17e-05 2.215e-05 4.735e-05 4.71e-05 0.00010465 6.83e-05 5.145e-05 4.315e-05 4.21e-05 4.71e-05 0.0001256 6.84e-05 4.74e-05 2.25e-05 4.79e-05 2.285e-05 7.345e-05 6.375e-05 4.705e-05 7.35e-05 4.74e-05 4.28e-05 2.38e-05 3.81e-05 4.74e-05 2.255e-05 6.825e-05 2.29e-05 2.275e-05 2.445e-05 2.255e-05 6.38e-05 4.095e-05 4.37e-05 4.865e-05 4.27e-05 2.285e-05 2.3e-05 6.28e-05 6.71e-05 4.4e-05 4.175e-05 6.81e-05 2.355e-05 4.24e-05 5.2e-05 4.735e-05 2.26e-05 2.26e-05 2.245e-05 4.255e-05 2.27e-05 4.33e-05 4.685e-05 4.69e-05 4.16e-05 7.145e-05 2.275e-05 2.275e-05 4.29e-05 5.335e-05 4.315e-05 4.38e-05 4.27e-05 2.25e-05 5.225e-05 2.165e-05 4.525e-05 2.43e-05 6.38e-05 2.215e-05 2.26e-05 4.72e-05 4.68e-05 2.3e-05 7.33e-05 2.335e-05
2 5.165e-05 4.175e-05 4.44e-05 9.98e-05 2.31e-05 4.365e-05 3.835e-05 3.38e-05 3.385e-05 2.79e-05 4.41e-05 4.595e-05 4.39e-05 4.03e-05 4.275e-05 7.65e-05 4.325e-05 3.525e-05 6.105e-05 3.275e-05 3.395e-05 3.86e-05 3.835e-05 9.715e-05 3.02e-05 8.915e-05 2.525e-05 7.725e-05 3.915e-05 8.8e-05 3.03e-05 4.59e-05 4.29e-05 4.06e-05 3.575e-05 3.645e-05 2.365e-05 3.92e-05 3.63e-05 4.595e-05 2.615e-05 4.575e-05 3.455e-05 3.92e-05 4.375e-05 3.015e-05 5.06e-05 4.36e-05 4.61e-05 3.43e-05 2.37e-05 5.945e-05 3.645e-05 4.02e-05 3.345e-05 5.05e-05 4.395e-05 6.06e-05 2.79e-05 4.23e-05 6.96e-05 2.965e-05 4.475e-05 2.32e-05 8.16e-05 3.01e-05 3.455e-05 4.38e-05 5.105e-05 4.06e-05 3.455e-05 2.705e-05 4.61e-05 3.835e-05 7.755e-05 3.34e-05 5.855e-05 5.045e-05 4.01e-05 8.25e-05 2.69e-05 3.73e-05 3.265e-05 4.345e-05 8.185e-05 3.265e-05 3.59e-05 5.06e-05 2.44e-05 3.375e-05 5.395e-05 3.925e-05 3.805e-05 4.395e-05 3.63e-05 4.535e-05
3 0.00010495 0.00010655 9.98e-05 0.0001951 9.97e-05 9.895e-05 9.955e-05 9.96e-05 9.97e-05 9.95e-05 9.89e-05 0.00010495 9.89e-05 9.92e-05 9.925e-05 0.00013615 9.98e-05 9.875e-05 0.00012435 9.97e-05 9.955e-05 9.98e-05 9.95e-05 9.9e-05 9.97e-05 0.0001421 9.97e-05 0.0001306 9.91e-05 9.915e-05 9.985e-05 0.0001058 9.945e-05 0.0001007 0.00010075 9.76e-05 9.98e-05 9.875e-05 0.000101 0.00010585 0.0001004 9.85e-05 9.96e-05 9.965e-05 9.905e-05 9.965e-05 0.000106 9.96e-05 9.985e-05 9.875e-05 9.985e-05 0.00012465 0.0001003 9.945e-05 9.925e-05 0.00010575 0.0001002 0.0001245 9.96e-05 0.0001059 0.0001244 9.99e-05 9.87e-05 9.99e-05 0.0001362 9.98e-05 9.87e-05 9.91e-05 0.0001056 0.000106 9.87e-05 0.0001005 0.0001056 9.94e-05 0.0001307 9.96e-05 0.000112 0.00010585 0.00010585 0.00013575 0.00010035 9.995e-05 9.97e-05 9.915e-05 0.00013645 9.965e-05 9.96e-05 0.00010515 9.98e-05 9.875e-05 0.0001056 9.915e-05 9.925e-05 9.975e-05 9.88e-05 9.805e-05
4 5.18e-05 4.21e-05 2.31e-05 9.97e-05 4.54e-05 4.395e-05 3.88e-05 3.42e-05 3.425e-05 2.865e-05 4.445e-05 4.61e-05 4.41e-05 4.03e-05 4.325e-05 7.685e-05 4.375e-05 3.45e-05 6.115e-05 3.35e-05 3.36e-05 3.905e-05 3.88e-05 9.74e-05 3.06e-05 8.885e-05 2.485e-05 7.715e-05 3.94e-05 8.83e-05 3.07e-05 4.615e-05 4.34e-05 4.065e-05 3.5e-05 3.615e-05 2.415e-05 3.945e-05 3.635e-05 4.62e-05 2.665e-05 4.57e-05 3.505e-05 3.955e-05 4.405e-05 3.055e-05 5.09e-05 4.415e-05 4.615e-05 3.475e-05 2.42e-05 5.98e-05 3.675e-05 4.06e-05 3.375e-05 5.08e-05 4.425e-05 6.07e-05 2.835e-05 4.255e-05 6.97e-05 2.975e-05 4.485e-05 2.32e-05 8.17e-05 2.945e-05 3.4e-05 4.41e-05 5.105e-05 4.07e-05 3.485e-05 2.65e-05 4.62e-05 3.91e-05 7.725e-05 3.41e-05 5.845e-05 5.075e-05 4.04e-05 8.285e-05 2.635e-05 3.74e-05 3.315e-05 4.39e-05 8.195e-05 3.345e-05 3.635e-05 5.105e-05 2.485e-05 3.435e-05 5.365e-05 3.95e-05 3.855e-05 4.435e-05 3.61e-05 4.525e-05
5 1.14e-05 2.245e-05 4.365e-05 9.895e-05 4.395e-05 3.4e-06 3.815e-05 7.41e-05 7.415e-05 4.875e-05 2.15e-06 4.575e-05 2.1e-06 3.89e-05 1.95e-06 7.71e-05 2.4e-06 1.52e-05 5.49e-05 1.295e-05 1.31e-05 3.84e-05 3.8e-05 9.58e-05 7.065e-05 4.905e-05 4.575e-05 3.64e-05 3.79e-05 0.0001278 7.075e-05 4.6e-05 1.95e-06 4.02e-05 1.54e-05 7.665e-05 6.505e-05 3.895e-05 7.625e-05 4.605e-05 4.65e-05 5.05e-06 2.855e-05 3.925e-05 1.8e-06 7.06e-05 1.035e-05 2.8e-06 5.3e-06 1.48e-05 6.51e-05 3.95e-05 3.59e-05 4.025e-05 3.27e-05 1.01e-05 3.2e-06 6.075e-05 6.87e-05 4.255e-05 2.865e-05 7.005e-05 4.15e-06 4.405e-05 4.13e-05 5.03e-05 1.455e-05 1.9e-06 1.04e-05 4.1e-05 1.49e-05 4.7e-05 4.605e-05 3.82e-05 3.67e-05 7.4e-05 1.805e-05 1.02e-05 4.07e-05 4.285e-05 4.685e-05 3.56e-05 3.295e-05 2.35e-06 4.165e-05 1.29e-05 3.655e-05 1.1e-05 6.535e-05 1.42e-05 1.375e-05 3.8e-05 3.78e-05 3.5e-06 7.64e-05 3.7e-06
6 4.66e-05 4.71e-05 3.835e-05 9.955e-05 3.88e-05 3.815e-05 7.38e-05 3.745e-05 3.73e-05 3.82e-05 3.87e-05 4.59e-05 3.805e-05 3.94e-05 3.725e-05 7.62e-05 3.775e-05 4.04e-05 6.43e-05 3.82e-05 3.9e-05 3.76e-05 3.76e-05 9.79e-05 3.795e-05 8.395e-05 3.89e-05 7.2e-05 3.79e-05 9.82e-05 3.785e-05 4.53e-05 3.76e-05 3.97e-05 4.08e-05 4.125e-05 3.81e-05 3.895e-05 4.035e-05 4.525e-05 4.01e-05 4.045e-05 3.78e-05 3.84e-05 3.825e-05 3.79e-05 4.545e-05 3.82e-05 3.86e-05 3.985e-05 3.815e-05 6.49e-05 3.95e-05 3.735e-05 3.85e-05 4.5e-05 3.825e-05 6.45e-05 3.765e-05 4.57e-05 6.41e-05 3.905e-05 3.925e-05 3.89e-05 7.62e-05 3.985e-05 3.975e-05 3.83e-05 4.56e-05 4.605e-05 3.995e-05 4.075e-05 4.585e-05 3.82e-05 7.245e-05 3.775e-05 5.35e-05 4.53e-05 4.555e-05 7.495e-05 4.06e-05 4.035e-05 3.77e-05 3.8e-05 7.62e-05 3.815e-05 3.785e-05 4.37e-05 3.815e-05 3.925e-05 4.855e-05 3.83e-05 3.76e-05 3.845e-05 4.065e-05 3.985e-05
7 8.18e-05 7.17e-05 3.38e-05 9.96e-05 3.42e-05 7.41e-05 3.745e-05 1.4e-06 1.15e-06 2.795e-05 7.46e-05 4.58e-05 7.375e-05 3.925e-05 7.36e-05 7.52e-05 7.415e-05 6.58e-05 7.385e-05 6.405e-05 6.48e-05 3.77e-05 3.72e-05 0.00010015 5.2e-06 0.00011825 3.23e-05 0.00010715 3.78e-05 6.845e-05 5.05e-06 4.455e-05 7.38e-05 3.915e-05 6.615e-05 5.95e-06 1.205e-05 3.9e-05 4.5e-06 4.45e-05 3.39e-05 7.59e-05 4.78e-05 3.78e-05 7.42e-05 5.15e-06 8.12e-05 7.445e-05 7.23e-05 6.53e-05 1.21e-05 9.03e-05 4.38e-05 3.48e-05 4.405e-05 8.095e-05 7.485e-05 6.84e-05 7.15e-06 4.885e-05 0.00010005 8.3e-06 7.525e-05 3.43e-05 0.00011115 2.955e-05 6.52e-05 7.425e-05 8.09e-05 5.12e-05 6.54e-05 3.45e-05 4.53e-05 3.835e-05 0.00010755 1.4e-06 8.845e-05 8.105e-05 5.07e-05 0.00010725 3.435e-05 4.425e-05 4.37e-05 7.425e-05 0.0001114 6.4e-05 3.975e-05 7.72e-05 1.155e-05 6.475e-05 8.31e-05 3.77e-05 3.77e-05 7.435e-05 5e-06 7.54e-05
8 8.185e-05 7.175e-05 3.385e-05 9.97e-05 3.425e-05 7.415e-05 3.73e-05 1.15e-06 1.3e-06 2.815e-05 7.465e-05 4.59e-05 7.38e-05 3.925e-05 7.365e-05 7.54e-05 7.42e-05 6.585e-05 7.39e-05 6.41e-05 6.485e-05 3.755e-05 3.755e-05 0.0001002 5.5e-06 0.0001183 3.235e-05 0.0001072 3.765e-05 6.85e-05 4.85e-06 4.455e-05 7.385e-05 3.915e-05 6.62e-05 6.1e-06 1.21e-05 3.91e-05 4.65e-06 4.46e-05 3.395e-05 7.595e-05 4.785e-05 3.78e-05 7.425e-05 5.45e-06 8.125e-05 7.45e-05 7.235e-05 6.535e-05 1.215e-05 9.035e-05 4.385e-05 3.49e-05 4.41e-05 8.1e-05 7.49e-05 6.845e-05 7.15e-06 4.89e-05 0.0001001 8.3e-06 7.53e-05 3.435e-05 0.0001112 2.955e-05 6.525e-05 7.43e-05 8.095e-05 5.125e-05 6.545e-05 3.455e-05 4.55e-05 3.86e-05 0.0001076 1.9e-06 8.85e-05 8.11e-05 5.075e-05 0.0001073 3.44e-05 4.43e-05 4.375e-05 7.43e-05 0.00011145 6.405e-05 3.98e-05 7.725e-05 1.16e-05 6.48e-05 8.315e-05 3.8e-05 3.79e-05 7.44e-05 5.05e-06 7.545e-05
9 5.63e-05 4.595e-05 2.79e-05 9.95e-05 2.865e-05 4.875e-05 3.82e-05 2.795e-05 2.815e-05 5.36e-05 4.92e-05 4.56e-05 4.875e-05 3.985e-05 4.81e-05 7.555e-05 4.865e-05 3.99e-05 6.465e-05 3.775e-05 3.885e-05 3.845e-05 3.805e-05 9.85e-05 2.805e-05 9.335e-05 2.84e-05 8.185e-05 3.87e-05 8.85e-05 2.83e-05 4.53e-05 4.83e-05 4.005e-05 4.035e-05 3.115e-05 2.87e-05 3.885e-05 3.085e-05 4.535e-05 2.95e-05 5.045e-05 3.85e-05 3.86e-05 4.885e-05 2.8e-05 5.555e-05 4.89e-05 4.915e-05 3.905e-05 2.875e-05 6.41e-05 4.015e-05 3.785e-05 3.91e-05 5.545e-05 4.935e-05 6.475e-05 2.83e-05 4.54e-05 7.465e-05 2.97e-05 4.98e-05 2.875e-05 8.625e-05 2.955e-05 3.925e-05 4.89e-05 5.575e-05 4.61e-05 3.92e-05 3.04e-05 4.515e-05 3.815e-05 8.215e-05 2.75e-05 6.305e-05 5.54e-05 4.56e-05 8.49e-05 3.025e-05 4.075e-05 3.86e-05 4.875e-05 8.65e-05 3.77e-05 3.82e-05 5.36e-05 2.85e-05 3.84e-05 5.825e-05 3.865e-05 3.755e-05 4.89e-05 3.08e-05 5.01e-05
