 slim_337509366 slim_337509216 slim_337509327 slim_337509341 slim_337509337 slim_337509247 slim_337509305 slim_337509157 slim_337509106 slim_337509324 slim_337509296 slim_337509245 slim_337508838 slim_337509080 slim_337509334 slim_337509286 slim_337509359 slim_337508906 slim_337509277 slim_337509364 slim_337509195 slim_337509261 slim_337509333 slim_337509104 slim_337509335 slim_337509269 slim_337509210 slim_337509246 slim_337509212 slim_337509357 slim_337509031 slim_337509332 slim_337509315 slim_337509137 slim_337509148 slim_337509227 slim_337509255 slim_337509330 slim_337509262 slim_337509361 slim_337509266 slim_337509178 slim_337508900 slim_337509265 slim_337509368 slim_337509256 slim_337509314 slim_337509288 slim_337509362 slim_337509084 slim_337509280 slim_337509074 slim_337509356 slim_337509231 slim_337509154 slim_337509193 slim_337509319 slim_337509346 slim_337509160 slim_337509098 slim_337509323 slim_337509276 slim_337509176 slim_337509338 slim_337509272 slim_337509343 slim_337509347 slim_337509091 slim_337509308 slim_337509058 slim_337509282 slim_337509326 slim_337509232 slim_337509111 slim_337509121 slim_337509367 slim_337509306 slim_337508998 slim_337509339 slim_337509355 slim_337509283 slim_337509234 slim_337509258 slim_337508947 slim_337509369 slim_337509348 slim_337509294 slim_337509263 slim_337509322 slim_337509336
0 0.0008068 0.0005893 0.00063265 0.00055785 0.00048295 0.00076235 0.00083955 0.0005051 0.0007286 0.00059205 0.00079495 0.0006325 0.0005658 0.00071445 0.00065385 0.0006429 0.00046105 0.0005665 0.0006635 0.000562 0.00072055 0.00063935 0.000603 0.0006522 0.00057435 0.00050125 0.0007331 0.0007087 0.0006235 0.0006278 0.00079445 0.0007293 0.00050115 0.00056695 0.00061145 0.00061325 0.0004038 0.00046075 0.0004036 0.00052695 0.000678 0.000623 0.0005485 0.0006523 0.000577 0.0004913 0.0006943 0.00061225 0.00071065 0.00062505 0.0004832 0.00056705 0.000618 0.0006271 0.00041205 0.0006251 0.0006251 0.00066715 0.0005573 0.00042025 0.00073395 0.0006542 0.00067015 0.0007858 0.00062355 0.00046075 0.0004693 0.00054585 0.0006946 0.00062125 0.00061435 0.0006167 0.0004657 0.0004577 0.00074885 0.00067715 0.0005526 0.0006166 0.0007082 0.0006455 0.000795 0.0004035 0.0005662 0.00079495 0.00054205 0.00073315 0.00041975 0.00068925 0.00063235 0.00075965
1 0.0005893 0.0005711 0.0006662 0.00066055 0.00039975 0.00072825 0.0008654 0.0006466 0.00073185 0.00065695 0.00074625 0.0006661 0.00065135 0.0007385 0.00080375 0.00065855 0.0005869 0.00053135 0.00066205 0.00034845 0.0006941 0.0005328 0.0007517 0.0005685 0.00066345 0.00046175 0.0006733 0.00066775 0.00066705 0.00067825 0.00086645 0.0008548 0.0004617 0.00079225 0.00067815 0.00062445 0.0005891 0.0007249 0.0005889 0.00050905 0.00069275 0.0005058 0.0007387 0.00057155 0.00049755 0.00074095 0.0006928 0.00045375 0.0005307 0.00052505 0.00039995 0.00057675 0.00070085 0.00065025 0.0006009 0.0005251 0.0005251 0.00051165 0.0004909 0.0004511 0.0007964 0.0006834 0.0005262 0.00070585 0.0006671 0.00058695 0.0005987 0.0005762 0.00066345 0.0004117 0.00062665 0.0006873 0.00047775 0.00048955 0.00058325 0.00064405 0.00049455 0.0006872 0.00077695 0.00048 0.0007463 0.0005892 0.00065175 0.00074625 0.0005742 0.0006464 0.00058885 0.00070975 0.00066595 0.00073755
2 0.00063265 0.0006662 0.0008321 0.0006756 0.00050415 0.0008059 0.00049895 0.00082785 0.0006411 0.0005819 0.0005024 0.00041645 0.0005548 0.00072625 0.0006371 0.0004417 0.0005536 0.00050275 0.00064335 0.00059165 0.00066805 0.0005934 0.0005942 0.0006327 0.0005551 0.0005052 0.000616 0.000625 0.00063955 0.0006187 0.00055465 0.000665 0.00050515 0.00074235 0.00060645 0.00060135 0.00063245 0.00076935 0.00063225 0.00042855 0.000468 0.00061505 0.0006353 0.0006227 0.00060785 0.0007142 0.00048015 0.0006172 0.0006995 0.00061875 0.00050385 0.00056435 0.00053115 0.0005112 0.00063245 0.0006188 0.0006188 0.0005902 0.0005581 0.00042835 0.00064005 0.0005847 0.0006148 0.0005578 0.0006396 0.00055365 0.0005536 0.0005311 0.00070265 0.0006508 0.00069495 0.0006313 0.00048035 0.0004682 0.00058195 0.0006675 0.0005671 0.0006312 0.0006697 0.0005902 0.00050245 0.00063255 0.0005552 0.0005024 0.00052735 0.0005039 0.00064435 0.0005671 0.0004163 0.00067065
3 0.00055785 0.00066055 0.0006756 0.000925 0.0006541 0.0007449 0.00074795 0.00055665 0.0006326 0.00067255 0.00064045 0.0006755 0.0006673 0.00066045 0.0006809 0.000698 0.000645 0.0006176 0.00063645 0.0006557 0.0006418 0.0006309 0.0007359 0.0006689 0.00067585 0.00062165 0.0006558 0.00066235 0.00060995 0.0007021 0.00069035 0.00066055 0.0006216 0.0005506 0.00068575 0.00071615 0.00055765 0.0005501 0.0005574 0.00061955 0.0006938 0.0006937 0.000658 0.0006502 0.00072865 0.0005707 0.0007101 0.00059775 0.00064505 0.00069875 0.0006543 0.00068725 0.0007691 0.0007411 0.0005659 0.0006988 0.0006988 0.00064085 0.0006488 0.0006688 0.0006839 0.00063085 0.0006439 0.0006717 0.00061 0.00064505 0.00065325 0.000697 0.00069025 0.0006339 0.0006412 0.0006822 0.0006871 0.0006791 0.00069495 0.0006441 0.0006457 0.0006821 0.00071225 0.00061915 0.0006405 0.00055775 0.0006677 0.00064045 0.0006932 0.00069875 0.00057365 0.00063475 0.00067535 0.00071815
4 0.00048295 0.00039975 0.00050415 0.0006541 0.0003315 0.0008972 0.0008432 0.00073225 0.00070685 0.0005551 0.0006899 0.00050375 0.00052045 0.00075045 0.00076545 0.00052965 0.00044115 0.00035205 0.00061865 0.00016585 0.00068875 0.00043955 0.0005788 0.00047145 0.00054025 0.0002643 0.0005984 0.0005879 0.0006273 0.0006152 0.0008584 0.00087445 0.00026425 0.0008363 0.0005861 0.0004848 0.0004825 0.00075785 0.00048255 0.00032945 0.00056935 0.0004238 0.00068565 0.0005737 0.0005209 0.00072705 0.00059835 0.0003621 0.000504 0.0003795 0.0001663 0.0004033 0.000521 0.0005343 0.0005021 0.00037955 0.00037955 0.00040055 0.0003349 0.0001953 0.00076615 0.0005968 0.0003984 0.0006728 0.00062735 0.00044145 0.00046075 0.00037955 0.0006095 0.0003645 0.0006102 0.00063075 0.0002606 0.000251 0.00071245 0.0006191 0.0003396 0.00063065 0.00073435 0.00035215 0.00068995 0.00048285 0.00052075 0.0006899 0.00037605 0.00055225 0.00051145 0.0006842 0.00050385 0.00073535
5 0.00076235 0.00072825 0.0008059 0.0007449 0.0008972 0.0007593 0.00072035 0.000672 0.00060595 0.00069145 0.00075585 0.0008058 0.00065555 0.0006404 0.0004661 0.00078555 0.000715 0.00085675 0.000661 0.00088785 0.0006516 0.0008727 0.0007657 0.00090735 0.0006483 0.000912 0.0007744 0.00084475 0.00066505 0.00062975 0.00055485 0.0004189 0.00091195 0.0005252 0.00064645 0.0008916 0.00076215 0.00057055 0.00076195 0.0008561 0.00079655 0.0008627 0.00052495 0.0006253 0.0006676 0.00057215 0.0007798 0.0009151 0.0008704 0.0008886 0.0008974 0.0008282 0.00083935 0.0008042 0.0007546 0.00088865 0.00088865 0.00082345 0.0008885 0.0008898 0.0005875 0.00066695 0.000857 0.00078765 0.0006651 0.00071505 0.00070745 0.0008978 0.00088275 0.00087425 0.00069685 0.00066445 0.00088055 0.0008898 0.0006549 0.00065935 0.00090205 0.00066435 0.00064725 0.00084735 0.0007559 0.00076225 0.00065595 0.00075585 0.00090475 0.0007725 0.0007451 0.0006055 0.00080565 0.000806
6 0.00083955 0.0008654 0.00049895 0.00074795 0.0008432 0.00072035 0.0003079 0.0008079 0.0006325 0.0006682 0.0004261 0.00049885 0.0007049 0.00069635 0.00055755 0.0005004 0.0007741 0.00077095 0.00070675 0.00084285 0.000687 0.00076945 0.00071565 0.0008102 0.00068585 0.0008454 0.00067425 0.00072615 0.00070135 0.00070595 0.0003602 0.0005446 0.00084535 0.00067875 0.0007105 0.00081185 0.00083935 0.00076985 0.00083915 0.00074235 0.0005043 0.0007818 0.00062615 0.00067405 0.0007748 0.00069145 0.00049965 0.00085435 0.0008515 0.00080525 0.0008434 0.00082455 0.00066395 0.00049395 0.00082 0.0008053 0.0008053 0.0007221 0.00084755 0.00083895 0.0005865 0.00062325 0.00077355 0.00050275 0.0007014 0.00077415 0.00075475 0.00080545 0.000797 0.0008447 0.000778 0.0006308 0.0008444 0.0008297 0.00052485 0.00071455 0.00084925 0.0006307 0.00066725 0.00077055 0.0004261 0.00083945 0.0007053 0.0004261 0.00080165 0.00044995 0.00083445 0.0006041 0.00049865 0.00049025
7 0.0005051 0.0006466 0.00082785 0.00055665 0.00073225 0.000672 0.0008079 0.000532 0.00076305 0.00070765 0.00087505 0.00082775 0.0007154 0.00071835 0.00067265 0.0008313 0.00062995 0.00079095 0.00072545 0.000721 0.00073805 0.00080365 0.0007327 0.00074685 0.00072395 0.00075355 0.00085535 0.000786 0.00067725 0.00073135 0.0007997 0.0006952 0.0007535 0.0004844 0.000715 0.00074185 0.0005049 0.0003913 0.0005047 0.00079865 0.0008272 0.0007181 0.0005866 0.00071085 0.00071895 0.0004616 0.0008435 0.0007602 0.00077345 0.0007272 0.00073245 0.00080495 0.00079475 0.0007398 0.00051315 0.00072725 0.00072725 0.0008013 0.0007585 0.0007598 0.00078765 0.00074785 0.00075825 0.00084265 0.0006773 0.00063 0.0006382 0.0007383 0.00074135 0.0007178 0.00064485 0.00069375 0.00075925 0.00075125 0.00075915 0.00072275 0.0007465 0.00069365 0.00071065 0.00077965 0.0008751 0.000505 0.0007158 0.00087505 0.00073445 0.0008381 0.0005209 0.00077095 0.0008276 0.00072665
8 0.0007286 0.00073185 0.0006411 0.0006326 0.00070685 0.00060595 0.0006325 0.00076305 0.0005713 0.0006141 0.00043495 0.000641 0.0004915 0.00052365 0.00041745 0.000628 0.00068675 0.0004917 0.00048265 0.00071615 0.00047215 0.00067965 0.00070535 0.0007182 0.0004918 0.0006887 0.00049835 0.00052515 0.0004807 0.0005277 0.000435 0.00033745 0.00068865 0.00057405 0.00051545 0.0007497 0.0007284 0.00071755 0.0007282 0.000632 0.0006648 0.00071465 0.00061225 0.00054685 0.00074045 0.00065395 0.000677 0.0006887 0.0005553 0.00073265 0.00070705 0.0007398 0.00074425 0.0007011 0.0007284 0.0007327 0.0007327 0.0005009 0.00062645 0.00070975 0.0005501 0.00041755 0.00052875 0.0005698 0.0004809 0.0006868 0.00068675 0.0007232 0.00075545 0.0006999 0.00061555 0.0006403 0.00073355 0.0007214 0.0006837 0.00049205 0.0007087 0.0006402 0.00051745 0.0005009 0.00043515 0.0007285 0.00049175 0.000435 0.00070835 0.00065025 0.0007403 0.0004262 0.00064085 0.00072125
9 0.00059205 0.00065695 0.0005819 0.00067255 0.0005551 0.00069145 0.0006682 0.00070765 0.0006141 0.0008214 0.00066355 0.0005818 0.000532 0.00065715 0.0004906 0.00059495 0.00052275 0.0005763 0.0006152 0.0006158 0.00066235 0.0006606 0.0004886 0.0005877 0.0005323 0.0005776 0.00067505 0.00057765 0.0006045 0.0005443 0.00061945 0.00056705 0.00057755 0.0006266 0.00053205 0.00048795 0.00059185 0.00062015 0.00059165 0.00052355 0.0005817 0.0005412 0.0004807 0.0005946 0.00060395 0.0005499 0.0005939 0.00067705 0.00076065 0.0005488 0.0005553 0.00062865 0.000509 0.00059285 0.00059185 0.00054885 0.00054885 0.00063695 0.00062755 0.0005066 0.00062815 0.00053455 0.0006648 0.00071485 0.00060455 0.0005228 0.00052275 0.00048795 0.0006132 0.00065155 0.0006558 0.0004916 0.0005065 0.00049435 0.00069095 0.00063215 0.00059855 0.0004915 0.000526 0.00063695 0.0006636 0.00059195 0.0005324 0.00066355 0.0004937 0.00064245 0.00060375 0.00056155 0.00058165 0.000706
