 slim_762337440 slim_762337421 slim_762337411 slim_762337432 slim_762337403 slim_762337393 slim_762337416 slim_762337413 slim_762337396 slim_762337406 slim_762337437 slim_762337395 slim_762337404 slim_762337444 slim_762337418 slim_762337424 slim_762337415 slim_762337417 slim_762337390 slim_762337408 slim_762337434 slim_762337412 slim_762337438 slim_762337389 slim_762337445 slim_762337391 slim_762337433 slim_762337430 slim_762337398 slim_762337407 slim_762337422 slim_762337405 slim_762337394 slim_762337401 slim_762337439 slim_762337425 slim_762337441 slim_762337402 slim_762337435 slim_762337431 slim_762337436 slim_762337426 slim_762337442 slim_762337427 slim_762337400 slim_762337392 slim_762337428 slim_762337429 slim_762337410 slim_762337443 slim_762337397 slim_762337420 slim_762337414 slim_762337419 slim_762337399 slim_762337409 slim_762337423
0 1.3e-06 7.5e-07 8.5e-07 1.45e-06 1.25e-06 1.5e-06 1.45e-06 1.8e-06 9.5e-07 1.4e-06 8.5e-07 1.15e-06 1.75e-06 1e-06 1e-06 1.5e-06 8e-07 1.1e-06 7.5e-07 9e-07 1.2e-06 1.3e-06 1.1e-06 7.5e-07 9.5e-07 1.3e-06 1.2e-06 8.5e-07 1.4e-06 8.5e-07 1.45e-06 1.35e-06 1.3e-06 1.1e-06 7.5e-07 1.3e-06 8e-07 9.5e-07 1.3e-06 1.4e-06 1.1e-06 1.25e-06 1.55e-06 9.5e-07 1.35e-06 7.5e-07 1.05e-06 1.25e-06 1.3e-06 1.05e-06 1.4e-06 1.2e-06 1.6e-06 9e-07 1.45e-06 7e-07 1.1e-06
1 7.5e-07 3e-07 7e-07 1.1e-06 8e-07 1.3e-06 1.05e-06 1.4e-06 6e-07 9e-07 3.5e-07 6.5e-07 1.35e-06 5e-07 7.5e-07 1.15e-06 6e-07 9e-07 3.5e-07 6e-07 1e-06 8.5e-07 6.5e-07 2.5e-07 5e-07 9e-07 9e-07 4e-07 1e-06 5.5e-07 1.1e-06 1.1e-06 8.5e-07 7e-07 4.5e-07 8.5e-07 8e-07 6.5e-07 9.5e-07 9.5e-07 8.5e-07 7.5e-07 1.25e-06 7.5e-07 1e-06 3e-07 5.5e-07 9.5e-07 9.5e-07 8e-07 1.15e-06 7.5e-07 1.15e-06 6e-07 1.05e-06 6.5e-07 9.5e-07
2 8.5e-07 7e-07 5e-07 1.45e-06 1.05e-06 1.25e-06 1.45e-06 1.7e-06 5.5e-07 1.3e-06 8e-07 1.05e-06 1.75e-06 8.5e-07 1.2e-06 1.25e-06 6.5e-07 8e-07 8.5e-07 6e-07 1.15e-06 1.2e-06 9.5e-07 7e-07 8e-07 1.3e-06 8e-07 8e-07 1.4e-06 6e-07 1.45e-06 1.05e-06 1.25e-06 1.05e-06 7e-07 1.25e-06 8.5e-07 8.5e-07 1.35e-06 1.4e-06 1.05e-06 1.15e-06 1.2e-06 2.5e-07 1.35e-06 8e-07 1e-06 9e-07 1.35e-06 8e-07 1.15e-06 1.1e-06 1.5e-06 8e-07 1.35e-06 1.1e-06 9e-07
3 1.45e-06 1.1e-06 1.45e-06 1.7e-06 1.5e-06 1.25e-06 1.1e-06 1.4e-06 1.4e-06 1.5e-06 1.05e-06 1.1e-06 2.1e-06 1.3e-06 1.5e-06 1.3e-06 1.4e-06 1.45e-06 1.25e-06 1.45e-06 1.6e-06 1.65e-06 1.1e-06 1.1e-06 1.1e-06 1.65e-06 1.6e-06 1.25e-06 1.75e-06 1.25e-06 1.05e-06 1.15e-06 1.65e-06 1.35e-06 1.2e-06 1.6e-06 1.5e-06 1.2e-06 1.7e-06 1.8e-06 1.55e-06 1.25e-06 1.95e-06 1.55e-06 1.6e-06 1.2e-06 1.25e-06 1.4e-06 1.7e-06 1.4e-06 1.8e-06 1.4e-06 1.2e-06 1.25e-06 1.65e-06 1.3e-06 1.6e-06
4 1.25e-06 8e-07 1.05e-06 1.5e-06 1e-06 1.5e-06 1.5e-06 1.6e-06 1.1e-06 1.35e-06 9.5e-07 1.2e-06 1.65e-06 8e-07 1.3e-06 1.7e-06 1e-06 1.05e-06 1e-06 1.2e-06 1.3e-06 1e-06 1e-06 8.5e-07 8.5e-07 1.25e-06 1.25e-06 8e-07 1.4e-06 1.05e-06 1.55e-06 1.3e-06 1.25e-06 1e-06 1.05e-06 1.25e-06 1.2e-06 1.2e-06 1.3e-06 1.45e-06 1.3e-06 1.3e-06 1.6e-06 1.3e-06 1.3e-06 9.5e-07 1.15e-06 1.45e-06 1.3e-06 1.15e-06 1.5e-06 1.15e-06 1.45e-06 1.05e-06 1.2e-06 1.25e-06 1.2e-06
5 1.5e-06 1.3e-06 1.25e-06 1.25e-06 1.5e-06 2.1e-06 1.3e-06 1.5e-06 1.45e-06 1.85e-06 1.35e-06 1.5e-06 2.05e-06 1.4e-06 1.6e-06 1.4e-06 1.35e-06 1.25e-06 1.35e-06 1.5e-06 1.65e-06 1.65e-06 1.4e-06 1.3e-06 1.3e-06 1.7e-06 1.65e-06 1.35e-06 1.85e-06 1.45e-06 1.35e-06 1.05e-06 1.75e-06 1.55e-06 1.4e-06 1.75e-06 1.4e-06 1.5e-06 1.75e-06 1.8e-06 1.65e-06 1.65e-06 1.95e-06 1.45e-06 1.7e-06 1.4e-06 1.55e-06 1.4e-06 1.75e-06 1.45e-06 1.75e-06 1.6e-06 1.4e-06 1.5e-06 1.75e-06 1.6e-06 1.55e-06
6 1.45e-06 1.05e-06 1.45e-06 1.1e-06 1.5e-06 1.3e-06 1.9e-06 1.4e-06 1.4e-06 1.65e-06 1.1e-06 1.3e-06 2.1e-06 1.3e-06 1.55e-06 1.35e-06 1.2e-06 1.55e-06 1.05e-06 1.3e-06 1.7e-06 1.65e-06 1.3e-06 1.05e-06 1.2e-06 1.6e-06 1.65e-06 1.05e-06 1.75e-06 1.35e-06 1.15e-06 1.15e-06 1.65e-06 1.25e-06 1.25e-06 1.65e-06 1.55e-06 1.4e-06 1.55e-06 1.8e-06 1.65e-06 1.45e-06 1.95e-06 1.55e-06 1.55e-06 1.05e-06 1.3e-06 1.35e-06 1.5e-06 1.5e-06 1.85e-06 1.45e-06 1.25e-06 1.4e-06 1.75e-06 1.45e-06 1.55e-06
7 1.8e-06 1.4e-06 1.7e-06 1.4e-06 1.6e-06 1.5e-06 1.4e-06 2.1e-06 1.65e-06 1.85e-06 1.5e-06 1.6e-06 1.85e-06 1.5e-06 1.8e-06 1.65e-06 1.65e-06 1.75e-06 1.55e-06 1.75e-06 1.5e-06 1.7e-06 1.6e-06 1.4e-06 1.5e-06 1.45e-06 1.6e-06 1.5e-06 1.7e-06 1.6e-06 1.5e-06 1.3e-06 1.75e-06 1.75e-06 1.6e-06 1.75e-06 1.85e-06 1.7e-06 1.5e-06 1.95e-06 1.8e-06 1.8e-06 1.55e-06 1.85e-06 1.5e-06 1.5e-06 1.65e-06 1.65e-06 1.5e-06 1.75e-06 1.65e-06 1.7e-06 1.35e-06 1.6e-06 1.9e-06 1.8e-06 1.4e-06
8 9.5e-07 6e-07 5.5e-07 1.4e-06 1.1e-06 1.45e-06 1.4e-06 1.65e-06 9e-07 1.1e-06 7e-07 9e-07 1.65e-06 8e-07 1.1e-06 1.25e-06 8e-07 1.05e-06 7.5e-07 6.5e-07 1.15e-06 1.15e-06 9.5e-07 5.5e-07 7.5e-07 1.2e-06 8.5e-07 8e-07 1.3e-06 5.5e-07 1.4e-06 1.25e-06 9.5e-07 1.05e-06 7e-07 1.1e-06 1e-06 8e-07 1.25e-06 1.3e-06 1e-06 1e-06 1.25e-06 4.5e-07 1.25e-06 7e-07 8.5e-07 1e-06 1.25e-06 9e-07 1.2e-06 1.05e-06 1.4e-06 7.5e-07 1.3e-06 1e-06 1e-06
9 1.4e-06 9e-07 1.3e-06 1.5e-06 1.35e-06 1.85e-06 1.65e-06 1.85e-06 1.1e-06 1.3e-06 8e-07 7.5e-07 1.85e-06 1.05e-06 1.35e-06 1.6e-06 1.25e-06 1.3e-06 1.05e-06 1.25e-06 1.45e-06 1.35e-06 8.5e-07 8.5e-07 9e-07 1.4e-06 1.25e-06 1.1e-06 1.25e-06 1.1e-06 1.45e-06 1.7e-06 1.25e-06 1.2e-06 1.1e-06 1.15e-06 1.45e-06 9e-07 1.45e-06 1.55e-06 1.35e-06 7e-07 1.65e-06 1.35e-06 1.4e-06 1e-06 8.5e-07 1.6e-06 1.45e-06 1.05e-06 1.35e-06 1e-06 1.4e-06 1e-06 1.4e-06 1.3e-06 1.45e-06
