 slim_762208430 slim_762208428 slim_762208435 slim_762208452 slim_762208444 slim_762208419 slim_762208429 slim_762208454 slim_762208445 slim_762208432 slim_762208450 slim_762208441 slim_762208439 slim_762208437 slim_762208421 slim_762208456 slim_762208438 slim_762208457 slim_762208433 slim_762208443 slim_762208434 slim_762208436 slim_762208423 slim_762208425 slim_762208449 slim_762208453 slim_762208427 slim_762208458 slim_762208440 slim_762208455 slim_762208447 slim_762208448 slim_762208442 slim_762208418 slim_762208426 slim_762208422 slim_762208424 slim_762208446 slim_762208451 slim_762208431 slim_762208420
0 2e-06 1.65e-06 1.2e-06 1.85e-06 2.1e-06 2.05e-06 1.6e-06 1.75e-06 1.75e-06 1.1e-06 1.75e-06 1.65e-06 1.6e-06 2.1e-06 2.05e-06 1.55e-06 1.6e-06 1.9e-06 1.6e-06 1.6e-06 1.65e-06 1.7e-06 1.5e-06 1.6e-06 1.65e-06 1.55e-06 1.95e-06 2.05e-06 1.75e-06 2.25e-06 1.65e-06 1.6e-06 2.1e-06 1.75e-06 1.9e-06 2e-06 1.3e-06 1.9e-06 1.4e-06 2.1e-06 1.6e-06
1 1.65e-06 1.9e-06 1.5e-06 1.35e-06 1.9e-06 2e-06 1.35e-06 1.7e-06 2.2e-06 1.55e-06 1.3e-06 1e-06 1.5e-06 1.75e-06 2e-06 1.4e-06 1.25e-06 1.4e-06 1.15e-06 1.5e-06 1.45e-06 1.1e-06 1.3e-06 2.1e-06 1.25e-06 1.1e-06 1.35e-06 1.45e-06 1.15e-06 2.05e-06 9.5e-07 1.15e-06 1.95e-06 1.4e-06 1.15e-06 1.85e-06 1.1e-06 1.7e-06 1.65e-06 1.5e-06 1.45e-06
2 1.2e-06 1.5e-06 1.6e-06 1.4e-06 2.1e-06 1.95e-06 1.3e-06 1.5e-06 1.65e-06 1e-06 1.7e-06 1.35e-06 1.5e-06 1.9e-06 1.95e-06 1.55e-06 1.15e-06 1.55e-06 1.45e-06 1.6e-06 1.35e-06 1.55e-06 1.4e-06 1.5e-06 1.35e-06 1.6e-06 1.65e-06 1.65e-06 1.25e-06 2.15e-06 1.15e-06 1.45e-06 2e-06 1.75e-06 1.4e-06 1.8e-06 1.25e-06 1.7e-06 1.4e-06 1.65e-06 1.7e-06
3 1.85e-06 1.35e-06 1.4e-06 1.5e-06 2.05e-06 2.15e-06 1.35e-06 1.55e-06 2.25e-06 1.6e-06 1.45e-06 1.15e-06 1.55e-06 1.7e-06 2.15e-06 1.55e-06 1.15e-06 1.2e-06 1.4e-06 1.75e-06 1.1e-06 1.15e-06 1.35e-06 2.15e-06 1.1e-06 1.35e-06 1.2e-06 1.35e-06 1.15e-06 2.1e-06 1.05e-06 1.4e-06 2e-06 1.65e-06 9.5e-07 1.65e-06 1.45e-06 1.85e-06 1.75e-06 1.25e-06 1.65e-06
4 2.1e-06 1.9e-06 2.1e-06 2.05e-06 2.3e-06 1.65e-06 1.75e-06 1.8e-06 1.85e-06 2e-06 1.6e-06 1.85e-06 1.45e-06 1.6e-06 1.7e-06 1.6e-06 1.95e-06 2e-06 1.85e-06 1.6e-06 1.7e-06 1.75e-06 1.55e-06 1.95e-06 1.65e-06 1.55e-06 1.7e-06 1.95e-06 2.05e-06 1.45e-06 1.95e-06 1.85e-06 1.35e-06 1.7e-06 2e-06 1.6e-06 1.8e-06 1.6e-06 2.05e-06 2e-06 1.95e-06
5 2.05e-06 2e-06 1.95e-06 2.15e-06 1.65e-06 2.2e-06 1.65e-06 1.75e-06 1.7e-06 1.8e-06 1.85e-06 1.8e-06 1.75e-06 1.65e-06 1.2e-06 1.7e-06 1.85e-06 2.15e-06 1.85e-06 1.4e-06 1.8e-06 2.05e-06 1.5e-06 1.75e-06 1.7e-06 2e-06 2.2e-06 2e-06 1.85e-06 1.5e-06 1.85e-06 1.95e-06 1.65e-06 2.1e-06 2.1e-06 1.65e-06 1.65e-06 1.45e-06 2.15e-06 2.3e-06 2.1e-06
6 1.6e-06 1.35e-06 1.3e-06 1.35e-06 1.75e-06 1.65e-06 1.4e-06 1.6e-06 2e-06 1.5e-06 1.15e-06 1.3e-06 1.5e-06 1.75e-06 1.65e-06 8.5e-07 1.1e-06 1.55e-06 1.3e-06 1e-06 8.5e-07 1.5e-06 9e-07 1.75e-06 1.05e-06 1.3e-06 1.5e-06 1.2e-06 1.2e-06 1.4e-06 1.1e-06 1.3e-06 1.75e-06 1.6e-06 1.45e-06 1.55e-06 1.05e-06 1.45e-06 1.55e-06 1.6e-06 1.5e-06
7 1.75e-06 1.7e-06 1.5e-06 1.55e-06 1.8e-06 1.75e-06 1.6e-06 1.5e-06 1.7e-06 1.5e-06 1.95e-06 1.5e-06 1.6e-06 1.4e-06 1.75e-06 1.8e-06 1.1e-06 1.3e-06 1.65e-06 1.75e-06 1.55e-06 1.55e-06 1.6e-06 1.7e-06 1.45e-06 1.85e-06 1.9e-06 1.95e-06 1.5e-06 1.9e-06 1.4e-06 1.65e-06 1.75e-06 1.85e-06 1.45e-06 1.4e-06 1.45e-06 1.4e-06 1.95e-06 1.9e-06 1.6e-06
8 1.75e-06 2.2e-06 1.65e-06 2.25e-06 1.85e-06 1.7e-06 2e-06 1.7e-06 2.7e-06 1.5e-06 2.15e-06 2e-06 1.85e-06 1.75e-06 1.75e-06 2.05e-06 2e-06 2.2e-06 2.15e-06 1.8e-06 2.05e-06 2.1e-06 1.85e-06 1.55e-06 1.9e-06 2.2e-06 2.35e-06 2.3e-06 2.15e-06 1.85e-06 2.05e-06 2.15e-06 1.85e-06 2.2e-06 2.15e-06 1.8e-06 2e-06 1.7e-06 2.05e-06 2.4e-06 2.3e-06
9 1.1e-06 1.55e-06 1e-06 1.6e-06 2e-06 1.8e-06 1.5e-06 1.5e-06 1.5e-06 1.5e-06 1.7e-06 1.25e-06 1.25e-06 1.8e-06 1.8e-06 1.55e-06 1.35e-06 1.55e-06 1.5e-06 1.55e-06 1.55e-06 1.5e-06 1.25e-06 1.45e-06 1.45e-06 1.55e-06 1.8e-06 1.85e-06 1.5e-06 2.1e-06 1.4e-06 1.5e-06 1.85e-06 1.7e-06 1.55e-06 1.8e-06 1.3e-06 1.7e-06 1.25e-06 1.9e-06 1.6e-06
