 slim_762205694 slim_762205704 slim_762205708 slim_762205718 slim_762205730 slim_762205721 slim_762205736 slim_762205706 slim_762205712 slim_762205695 slim_762205696 slim_762205727 slim_762205700 slim_762205719 slim_762205729 slim_762205711 slim_762205715 slim_762205716 slim_762205720 slim_762205714 slim_762205726 slim_762205713 slim_762205701 slim_762205724 slim_762205728 slim_762205702 slim_762205723 slim_762205698 slim_762205699 slim_762205731 slim_762205691 slim_762205707 slim_762205732 slim_762205693 slim_762205733 slim_762205703 slim_762205709 slim_762205717 slim_762205722 slim_762205734 slim_762205725 slim_762205692 slim_762205705 slim_762205697 slim_762205735 slim_762205710
0 7e-07 8e-07 2.45e-06 7.5e-07 1.85e-06 1.5e-06 1.45e-06 1.9e-06 1.45e-06 6.5e-07 7e-07 1.65e-06 1.45e-06 1.4e-06 1.35e-06 9e-07 1.8e-06 2.5e-06 1.1e-06 1.9e-06 8e-07 1.85e-06 1.7e-06 5.5e-07 1.15e-06 2e-06 1.6e-06 1.35e-06 2.1e-06 1.95e-06 1e-06 1.65e-06 1.55e-06 6.5e-07 2e-06 7e-07 2e-06 1.5e-06 9e-07 1.4e-06 1.35e-06 1e-06 1.2e-06 1.1e-06 8e-07 1.35e-06
1 8e-07 1e-06 2.6e-06 1.15e-06 1.6e-06 1.8e-06 1.65e-06 2e-06 1.4e-06 1.2e-06 8.5e-07 1.45e-06 1.65e-06 1.15e-06 1.5e-06 1.4e-06 1.9e-06 2.65e-06 1.5e-06 2.1e-06 1.35e-06 1.75e-06 1.65e-06 1.1e-06 1.4e-06 2.3e-06 1.95e-06 1.6e-06 2.2e-06 2e-06 1.25e-06 1.6e-06 1.75e-06 9.5e-07 2.05e-06 1.05e-06 2.1e-06 1.85e-06 1.4e-06 1.55e-06 1.75e-06 1.1e-06 1.45e-06 1.15e-06 1.1e-06 1.75e-06
2 2.45e-06 2.6e-06 1e-06 2.15e-06 1.6e-06 2.25e-06 1.9e-06 1.65e-06 2.8e-06 2.35e-06 2.35e-06 1.8e-06 2.6e-06 2.45e-06 1.45e-06 2.3e-06 1.55e-06 9.5e-07 2.25e-06 1.8e-06 2.25e-06 2.6e-06 2.65e-06 2.35e-06 1.85e-06 1.55e-06 1.9e-06 2.4e-06 2.15e-06 1.9e-06 2.3e-06 2.2e-06 2.5e-06 2.45e-06 1.9e-06 2.15e-06 2e-06 1.6e-06 2.2e-06 1.7e-06 1.8e-06 2e-06 2.75e-06 2.55e-06 2.4e-06 1.45e-06
3 7.5e-07 1.15e-06 2.15e-06 1.2e-06 1.85e-06 1.8e-06 1.4e-06 1.7e-06 1.75e-06 9e-07 7.5e-07 1.7e-06 1.65e-06 1.7e-06 1.4e-06 9e-07 1.6e-06 2.15e-06 1.3e-06 2e-06 7.5e-07 2e-06 1.95e-06 8e-07 1.25e-06 1.8e-06 1.65e-06 1.4e-06 2.15e-06 1.9e-06 1e-06 1.5e-06 1.8e-06 1e-06 1.95e-06 6.5e-07 2e-06 1.2e-06 9.5e-07 1.25e-06 1.35e-06 8.5e-07 1.5e-06 1.45e-06 9.5e-07 1.3e-06
4 1.85e-06 1.6e-06 1.6e-06 1.85e-06 2.8e-06 2.1e-06 1.95e-06 1.95e-06 2.05e-06 1.9e-06 1.85e-06 1.55e-06 2.05e-06 1.75e-06 1.75e-06 1.95e-06 1.85e-06 2.05e-06 2.05e-06 2.05e-06 1.95e-06 1.95e-06 1.95e-06 1.85e-06 1.75e-06 1.95e-06 2e-06 1.95e-06 2.1e-06 1.95e-06 1.95e-06 1.85e-06 2.05e-06 1.85e-06 1.95e-06 1.8e-06 2e-06 1.9e-06 1.9e-06 1.85e-06 1.8e-06 1.75e-06 2.1e-06 1.85e-06 1.9e-06 1.85e-06
5 1.5e-06 1.8e-06 2.25e-06 1.8e-06 2.1e-06 2.2e-06 1.75e-06 2.05e-06 1.55e-06 1.3e-06 1.65e-06 2.1e-06 1.65e-06 1.55e-06 1.9e-06 1.7e-06 1.95e-06 2.25e-06 1.3e-06 1.45e-06 1.85e-06 1.7e-06 1.55e-06 1.35e-06 1.85e-06 1.85e-06 1.6e-06 1.8e-06 1.85e-06 1.9e-06 1.9e-06 2.05e-06 1.35e-06 1.5e-06 1.95e-06 1.7e-06 1.75e-06 2.05e-06 1.6e-06 1.9e-06 1.75e-06 1.95e-06 1.6e-06 1.6e-06 1.55e-06 1.85e-06
6 1.45e-06 1.65e-06 1.9e-06 1.4e-06 1.95e-06 1.75e-06 2.5e-06 1.45e-06 2e-06 1.65e-06 1.3e-06 1.8e-06 2.25e-06 1.6e-06 1.55e-06 1.75e-06 1.35e-06 1.65e-06 1.4e-06 1.3e-06 1.6e-06 2.45e-06 2.4e-06 1.6e-06 1.75e-06 1.65e-06 1.55e-06 2.05e-06 1.95e-06 2.05e-06 1.55e-06 1.95e-06 2.3e-06 1.65e-06 2.1e-06 1.35e-06 1.85e-06 1.6e-06 1.7e-06 1.45e-06 1.95e-06 1.35e-06 2.1e-06 1.95e-06 1.6e-06 1.6e-06
7 1.9e-06 2e-06 1.65e-06 1.7e-06 1.95e-06 2.05e-06 1.45e-06 2e-06 2.35e-06 2.05e-06 1.85e-06 1.8e-06 2.55e-06 1.85e-06 1.65e-06 2e-06 1.05e-06 1.4e-06 1.75e-06 1.3e-06 1.75e-06 2.6e-06 2.65e-06 2.05e-06 1.9e-06 1.4e-06 1.7e-06 2.2e-06 2e-06 2.05e-06 1.75e-06 2e-06 2.6e-06 2.1e-06 2.1e-06 1.65e-06 1.8e-06 1.5e-06 1.95e-06 1.6e-06 2.1e-06 1.55e-06 2.45e-06 2.3e-06 2.1e-06 1.7e-06
8 1.45e-06 1.4e-06 2.8e-06 1.75e-06 2.05e-06 1.55e-06 2e-06 2.35e-06 2.1e-06 1.35e-06 1.5e-06 2.1e-06 1.45e-06 1.5e-06 2.1e-06 1.7e-06 2.25e-06 2.8e-06 1.6e-06 2.05e-06 1.9e-06 1.3e-06 1.1e-06 1.35e-06 1.8e-06 2.2e-06 1.9e-06 1.6e-06 1.95e-06 1.9e-06 1.85e-06 1.75e-06 1.3e-06 1.4e-06 1.95e-06 1.65e-06 1.9e-06 2.3e-06 1.6e-06 2.05e-06 1.75e-06 1.8e-06 1.4e-06 1.3e-06 1.45e-06 2.15e-06
9 6.5e-07 1.2e-06 2.35e-06 9e-07 1.9e-06 1.3e-06 1.65e-06 2.05e-06 1.35e-06 8e-07 9.5e-07 1.9e-06 1e-06 1.65e-06 1.6e-06 7.5e-07 1.95e-06 2.55e-06 1.15e-06 2.05e-06 8.5e-07 1.3e-06 1.15e-06 4e-07 1.2e-06 1.8e-06 1.5e-06 1.1e-06 1.9e-06 1.7e-06 1.15e-06 1.5e-06 1e-06 7e-07 1.75e-06 8.5e-07 1.8e-06 1.55e-06 7.5e-07 1.55e-06 1e-06 1.25e-06 9.5e-07 1.05e-06 7.5e-07 1.4e-06
