 slim_761957078 slim_761957067 slim_761957064 slim_761957071 slim_761957060 slim_761957062 slim_761957086 slim_761957069 slim_761957053 slim_761957059 slim_761957050 slim_761957073 slim_761957076 slim_761957079 slim_761957063 slim_761957070 slim_761957083 slim_761957066 slim_761957049 slim_761957057 slim_761957061 slim_761957075 slim_761957080 slim_761957072 slim_761957052 slim_761957051 slim_761957055 slim_761957065 slim_761957074 slim_761957077 slim_761957058 slim_761957084 slim_761957054 slim_761957056 slim_761957068 slim_761957082 slim_761957081 slim_761957085
0 1.8e-06 1.15e-06 1.7e-06 1.65e-06 1.55e-06 1.45e-06 1.55e-06 1.55e-06 1.85e-06 1e-06 1.15e-06 1.85e-06 1.4e-06 1e-06 1.05e-06 1.35e-06 1e-06 1.55e-06 1.5e-06 1.3e-06 1.2e-06 1.4e-06 1.4e-06 1.6e-06 1.5e-06 1.35e-06 1.15e-06 1.05e-06 1.4e-06 1.25e-06 1.15e-06 1e-06 1.3e-06 1.15e-06 1.1e-06 1.5e-06 1.1e-06 1.45e-06
1 1.15e-06 7e-07 1.55e-06 1.2e-06 7.5e-07 4e-07 1.05e-06 1.05e-06 1.35e-06 5.5e-07 7e-07 1.4e-06 7e-07 8.5e-07 5e-07 8e-07 4.5e-07 1.8e-06 2e-06 8e-07 9.5e-07 1e-06 1.35e-06 1.55e-06 9.5e-07 1.3e-06 6e-07 5e-07 1.7e-06 7e-07 1e-06 1.6e-06 1.15e-06 6e-07 5.5e-07 1.45e-06 1.25e-06 2.15e-06
2 1.7e-06 1.55e-06 2.4e-06 1.75e-06 1.85e-06 1.65e-06 1.35e-06 1.35e-06 1.4e-06 1.65e-06 1.6e-06 1.7e-06 1.85e-06 1.5e-06 1.6e-06 1.65e-06 1.4e-06 1.5e-06 2e-06 1.45e-06 1.7e-06 1.85e-06 1.8e-06 1.95e-06 1.75e-06 1.8e-06 1.45e-06 1.6e-06 2.05e-06 1.7e-06 1.6e-06 1.65e-06 1.5e-06 1.6e-06 1.65e-06 1.9e-06 1.65e-06 2.05e-06
3 1.65e-06 1.2e-06 1.75e-06 1.5e-06 1.25e-06 1.4e-06 1.3e-06 1.3e-06 1.3e-06 1.15e-06 1.15e-06 1.3e-06 1.4e-06 1.25e-06 1.15e-06 1.15e-06 9e-07 1.85e-06 2.15e-06 1e-06 1.6e-06 1.35e-06 1.7e-06 1.6e-06 1e-06 1.45e-06 9.5e-07 1.15e-06 1.75e-06 1.25e-06 1.35e-06 1.8e-06 1.4e-06 1.25e-06 1.2e-06 1.55e-06 1.8e-06 2.1e-06
4 1.55e-06 7.5e-07 1.85e-06 1.25e-06 1.2e-06 6.5e-07 1.45e-06 1.45e-06 1.6e-06 8.5e-07 1.15e-06 1.3e-06 9e-07 1.15e-06 9e-07 1.05e-06 8.5e-07 2.05e-06 2.25e-06 1.05e-06 1.2e-06 1.25e-06 1.6e-06 1.55e-06 8.5e-07 1.4e-06 8.5e-07 9e-07 1.7e-06 1e-06 1.15e-06 1.75e-06 1.35e-06 1e-06 9.5e-07 1.4e-06 1.5e-06 2.1e-06
5 1.45e-06 4e-07 1.65e-06 1.4e-06 6.5e-07 1e-07 1.35e-06 1.35e-06 1.55e-06 8e-07 1e-06 1.55e-06 6e-07 1.15e-06 7.5e-07 9.5e-07 7.5e-07 2e-06 2.2e-06 9.5e-07 8.5e-07 1.15e-06 1.5e-06 1.75e-06 1.1e-06 1.6e-06 7.5e-07 7.5e-07 1.95e-06 8.5e-07 1.15e-06 1.8e-06 1.25e-06 8.5e-07 8e-07 1.6e-06 1.3e-06 2.35e-06
6 1.55e-06 1.05e-06 1.35e-06 1.3e-06 1.45e-06 1.35e-06 1.6e-06 8e-07 9.5e-07 1.05e-06 1.05e-06 1.25e-06 1.4e-06 1.25e-06 1e-06 1.15e-06 8e-07 1.5e-06 2.2e-06 1e-06 1.6e-06 1.4e-06 1.65e-06 1.8e-06 1.25e-06 1.55e-06 9.5e-07 1e-06 1.95e-06 1.2e-06 1.45e-06 1.95e-06 1.6e-06 1e-06 1.05e-06 1.75e-06 1.8e-06 2.35e-06
7 1.55e-06 1.05e-06 1.35e-06 1.3e-06 1.45e-06 1.35e-06 8e-07 1.6e-06 9.5e-07 1.05e-06 1.05e-06 1.25e-06 1.4e-06 1.25e-06 1e-06 1.15e-06 8e-07 1.5e-06 2.2e-06 1e-06 1.6e-06 1.4e-06 1.65e-06 1.8e-06 1.25e-06 1.55e-06 9.5e-07 1e-06 1.95e-06 1.2e-06 1.45e-06 1.95e-06 1.6e-06 1e-06 1.05e-06 1.75e-06 1.8e-06 2.35e-06
8 1.85e-06 1.35e-06 1.4e-06 1.3e-06 1.6e-06 1.55e-06 9.5e-07 9.5e-07 1.4e-06 1.35e-06 1.35e-06 1.3e-06 1.6e-06 1.55e-06 1.3e-06 1.1e-06 1.05e-06 1.55e-06 2.35e-06 1.15e-06 1.8e-06 1.6e-06 1.6e-06 1.95e-06 1.15e-06 1.8e-06 1.1e-06 1.3e-06 2.15e-06 1.4e-06 1.65e-06 2.15e-06 1.6e-06 1.2e-06 1.35e-06 1.9e-06 2e-06 2.5e-06
9 1e-06 5.5e-07 1.65e-06 1.15e-06 8.5e-07 8e-07 1.05e-06 1.05e-06 1.35e-06 7e-07 6.5e-07 1.3e-06 7.5e-07 8e-07 4.5e-07 7.5e-07 4.5e-07 1.65e-06 1.9e-06 7.5e-07 1e-06 8.5e-07 1.3e-06 1.5e-06 9e-07 1.25e-06 5.5e-07 4.5e-07 1.5e-06 6.5e-07 9e-07 1.4e-06 1.2e-06 5.5e-07 5e-07 1.35e-06 1.2e-06 1.95e-06
