 slim_337507476 slim_337507521 slim_337507605 slim_337507599 slim_337507555 slim_337507573 slim_337507463 slim_337507388 slim_337507492 slim_337507453 slim_337507297 slim_337507552 slim_337507582 slim_337507581 slim_337507424 slim_337507493 slim_337507567 slim_337507464 slim_337507607 slim_337507503 slim_337507374 slim_337507575 slim_337507546 slim_337507452 slim_337507590 slim_337507496 slim_337507577 slim_337507558 slim_337507589 slim_337507420 slim_337507531 slim_337507574 slim_337507547 slim_337507600 slim_337507431 slim_337507091 slim_337507530 slim_337507497 slim_337507270 slim_337507465 slim_337507442 slim_337507076 slim_337507317 slim_337507597 slim_337507467 slim_337507514 slim_337507517 slim_337507580 slim_337507596 slim_337507448 slim_337507473 slim_337507553 slim_337507592 slim_337507524 slim_337507060 slim_337507542 slim_337507400 slim_337507588 slim_337507412 slim_337507570 slim_337507565 slim_337507569 slim_337507593 slim_337507323 slim_337507534 slim_337507586 slim_337507583 slim_337507525 slim_337507560 slim_337507516 slim_337507472 slim_337507603 slim_337507563 slim_337507548 slim_337507595 slim_337507505 slim_337507509 slim_337507470 slim_337507395 slim_337507608
10 5.165e-05 5.62e-05 5.445e-05 5.465e-05 5.45e-05 5.13e-05 5.49e-05 5.335e-05 5.72e-05 5.63e-05 0.0001012 5.55e-05 5.15e-05 5.605e-05 5.665e-05 5.72e-05 5.195e-05 5.39e-05 5.335e-05 5.41e-05 5.405e-05 5.56e-05 5.665e-05 5.365e-05 5.165e-05 5.42e-05 5.665e-05 5.34e-05 5.325e-05 5.11e-05 5.645e-05 5.665e-05 5.37e-05 5.71e-05 5.695e-05 5.595e-05 5.585e-05 5.545e-05 5.555e-05 5.52e-05 5.57e-05 5.385e-05 5.145e-05 5.39e-05 5.455e-05 5.38e-05 5.375e-05 5.49e-05 5.64e-05 5.12e-05 5.555e-05 5.615e-05 5.6e-05 5.14e-05 5.445e-05 5.575e-05 5.35e-05 5.46e-05 5.645e-05 5.115e-05 5.36e-05 5.44e-05 5.58e-05 5.575e-05 5.585e-05 5.185e-05 5.415e-05 5.12e-05 5.615e-05 5.415e-05 5.58e-05 5.605e-05 5.315e-05 5.54e-05 5.71e-05 5.65e-05 5.36e-05 5.655e-05 5.595e-05 5.45e-05
11 5.47e-05 4.745e-05 5.375e-05 6.23e-05 6.23e-05 5.7e-05 6.22e-05 4.83e-05 3.44e-05 5.155e-05 5.55e-05 1.4e-05 2.005e-05 7.7e-06 2.22e-05 1.42e-05 8.99e-05 4.975e-05 8.775e-05 1.23e-05 5.005e-05 4.525e-05 2.185e-05 5.02e-05 5.47e-05 4.815e-05 1.245e-05 8.925e-05 1.45e-05 5.435e-05 2.075e-05 2.12e-05 8.825e-05 2.575e-05 2.245e-05 4.79e-05 7.5e-06 4.51e-05 4.555e-05 1.11e-05 7.25e-06 5.085e-05 5.59e-05 1.665e-05 6.47e-05 1.11e-05 5.02e-05 5.405e-05 2.18e-05 5.445e-05 4.54e-05 4.74e-05 7.85e-06 5.465e-05 3.05e-05 7.15e-06 1.485e-05 2.735e-05 2.08e-05 2.055e-05 1.41e-05 5.32e-05 4.38e-05 8.505e-05 8.515e-05 8.99e-05 1.505e-05 2.12e-05 8.425e-05 6.145e-05 7.65e-06 7.9e-06 1.41e-05 7.1e-06 2.37e-05 1.245e-05 4.985e-05 2.11e-05 8.35e-06 1.83e-05
12 4.93e-05 5.93e-05 5.4e-05 6.25e-05 6.235e-05 5.12e-05 6.465e-05 5.69e-05 2.8e-05 5.685e-05 5.15e-05 2.005e-05 3.4e-06 2.06e-05 2.815e-05 1.93e-05 0.00010045 6.17e-05 9.99e-05 1.83e-05 6.345e-05 5.81e-05 2.215e-05 5.64e-05 4.955e-05 6.325e-05 1.275e-05 9.96e-05 1.48e-05 5.045e-05 2.125e-05 2.72e-05 0.0001016 4.045e-05 2.775e-05 6.49e-05 2.05e-05 5.795e-05 6.39e-05 2.565e-05 2.025e-05 6.245e-05 5.03e-05 1.79e-05 6.39e-05 1.865e-05 6.26e-05 5.4e-05 2.715e-05 5.055e-05 5.815e-05 5.92e-05 2.065e-05 5.06e-05 1.575e-05 1.455e-05 1.405e-05 1.595e-05 2.7e-05 2.8e-06 1.61e-05 5.425e-05 5.64e-05 0.0001025 0.0001026 0.00010045 1.475e-05 2.95e-06 0.00010165 6.27e-05 2.03e-05 2.055e-05 1.44e-05 1.995e-05 2.17e-05 1.835e-05 4.98e-05 2.165e-05 1.485e-05 6.75e-06
13 5.525e-05 4.8e-05 5.43e-05 6.285e-05 6.285e-05 5.755e-05 6.275e-05 4.885e-05 3.495e-05 5.21e-05 5.605e-05 7.7e-06 2.06e-05 1.51e-05 2.28e-05 1.475e-05 9.045e-05 5.03e-05 8.83e-05 1.285e-05 5.06e-05 4.57e-05 2.24e-05 5.075e-05 5.525e-05 4.82e-05 1.3e-05 8.98e-05 1.515e-05 5.49e-05 2.12e-05 2.125e-05 8.88e-05 2.63e-05 2.3e-05 4.845e-05 8.1e-06 4.57e-05 4.62e-05 1.115e-05 7.8e-06 5.135e-05 5.645e-05 1.72e-05 6.525e-05 1.155e-05 5.02e-05 5.46e-05 2.235e-05 5.5e-05 4.58e-05 4.795e-05 8.4e-06 5.52e-05 3.105e-05 7.55e-06 1.54e-05 2.79e-05 2.135e-05 2.11e-05 1.47e-05 5.375e-05 4.445e-05 8.56e-05 8.57e-05 9.045e-05 1.56e-05 2.175e-05 8.48e-05 6.2e-05 8.2e-06 8.45e-06 1.48e-05 7.75e-06 2.425e-05 1.31e-05 5.04e-05 2.15e-05 8.9e-06 1.885e-05
14 5.68e-05 5.245e-05 5.565e-05 5.405e-05 5.425e-05 5.745e-05 5.32e-05 5.42e-05 2.19e-05 5.335e-05 5.665e-05 2.22e-05 2.815e-05 2.28e-05 4.24e-05 2.515e-05 8.525e-05 5.475e-05 8.315e-05 2.645e-05 5.525e-05 5.145e-05 2.26e-05 5.465e-05 5.685e-05 5.325e-05 2.41e-05 8.515e-05 2.49e-05 5.655e-05 2.23e-05 2.225e-05 8.445e-05 3.03e-05 2.33e-05 5.3e-05 2.19e-05 5.13e-05 5.09e-05 2.54e-05 2.24e-05 5.54e-05 5.695e-05 2.755e-05 5.72e-05 2.49e-05 5.455e-05 5.595e-05 2.255e-05 5.665e-05 5.12e-05 5.245e-05 2.23e-05 5.685e-05 2.83e-05 2.275e-05 2.585e-05 2.49e-05 2.21e-05 2.77e-05 2.48e-05 5.51e-05 4.97e-05 8.12e-05 8.13e-05 8.525e-05 2.625e-05 2.825e-05 8.04e-05 5.325e-05 2.25e-05 2.275e-05 2.49e-05 2.21e-05 2.59e-05 2.365e-05 5.265e-05 2.23e-05 2.23e-05 2.65e-05
15 5.645e-05 5.135e-05 5.385e-05 6.405e-05 6.35e-05 5.87e-05 6.4e-05 5.415e-05 3.36e-05 5.015e-05 5.72e-05 1.42e-05 1.93e-05 1.475e-05 2.515e-05 1.98e-05 9.42e-05 5.465e-05 9.285e-05 1.53e-05 5.19e-05 5.215e-05 2.52e-05 5.55e-05 5.645e-05 5.365e-05 1.225e-05 9.2e-05 1.75e-05 5.605e-05 2.41e-05 2.41e-05 9.085e-05 2.93e-05 2.195e-05 5.115e-05 1.46e-05 5.2e-05 5.195e-05 1.52e-05 1.44e-05 5.385e-05 5.765e-05 1.54e-05 6.445e-05 1.77e-05 5.56e-05 5.23e-05 2.415e-05 5.615e-05 5.215e-05 5.12e-05 1.475e-05 5.635e-05 2.775e-05 1.465e-05 1.725e-05 2.655e-05 2.39e-05 1.975e-05 1.675e-05 5.135e-05 5.06e-05 8.845e-05 8.855e-05 9.42e-05 1.435e-05 2.045e-05 8.79e-05 6.315e-05 1.455e-05 1.48e-05 1.715e-05 1.41e-05 2.51e-05 1.19e-05 5.265e-05 2.445e-05 1.495e-05 1.415e-05
16 5.345e-05 5.225e-05 5.47e-05 4.615e-05 4.6e-05 5.37e-05 4.43e-05 4.94e-05 8.545e-05 5.5e-05 5.195e-05 8.99e-05 0.00010045 9.045e-05 8.525e-05 9.42e-05 6.1e-06 4.555e-05 7.3e-06 8.915e-05 4.44e-05 5.215e-05 9.045e-05 5.125e-05 5.345e-05 4.41e-05 9.96e-05 7.1e-06 9.245e-05 5.175e-05 9.065e-05 8.51e-05 6.05e-06 7.335e-05 8.52e-05 4.62e-05 9.025e-05 5.2e-05 4.635e-05 8.41e-05 9.01e-05 4.56e-05 5.37e-05 8.965e-05 4.555e-05 8.975e-05 4.57e-05 5.515e-05 8.48e-05 5.185e-05 5.21e-05 5.22e-05 9.04e-05 5.18e-05 9.395e-05 9.59e-05 9.23e-05 9.3e-05 8.49e-05 0.00010045 9.09e-05 5.4e-05 5.425e-05 8.2e-06 8.3e-06 3.4e-06 9.27e-05 0.00010065 1.035e-05 4.5e-05 9.02e-05 9.045e-05 9.22e-05 8.98e-05 9.195e-05 9.37e-05 5.655e-05 9.07e-05 9.615e-05 0.0001017
17 5.21e-05 5.125e-05 5.48e-05 5.275e-05 5.275e-05 5.49e-05 5.47e-05 5.02e-05 6.315e-05 5.445e-05 5.39e-05 4.975e-05 6.17e-05 5.03e-05 5.475e-05 5.465e-05 4.555e-05 8.45e-05 4.545e-05 4.975e-05 4.495e-05 5.04e-05 6.04e-05 5.095e-05 5.215e-05 4.48e-05 5.99e-05 4.42e-05 5.37e-05 5.32e-05 5.95e-05 5.38e-05 4.55e-05 4.59e-05 5.42e-05 4.425e-05 5.02e-05 5.025e-05 4.455e-05 4.505e-05 4.995e-05 4.54e-05 5.29e-05 5.365e-05 5.545e-05 5.095e-05 4.56e-05 5.315e-05 5.27e-05 5.33e-05 5.045e-05 5.115e-05 5.02e-05 5.35e-05 6.445e-05 5.59e-05 5.17e-05 6.305e-05 5.345e-05 6.275e-05 5.32e-05 5.42e-05 5.03e-05 4.54e-05 4.55e-05 4.555e-05 5.375e-05 6.24e-05 4.6e-05 5.375e-05 5e-05 5.025e-05 5.32e-05 4.965e-05 6.13e-05 5.385e-05 5.335e-05 5.99e-05 5.615e-05 6.295e-05
18 5.36e-05 5.075e-05 5.435e-05 4.565e-05 4.555e-05 5.27e-05 4.54e-05 5.035e-05 8.36e-05 5.41e-05 5.335e-05 8.775e-05 9.99e-05 8.83e-05 8.315e-05 9.285e-05 7.3e-06 4.545e-05 1.06e-05 8.8e-05 4.54e-05 4.99e-05 8.89e-05 4.965e-05 5.36e-05 4.48e-05 9.78e-05 7.7e-06 9.1e-05 5.33e-05 8.86e-05 8.315e-05 7.65e-06 7.24e-05 8.36e-05 4.545e-05 8.79e-05 4.975e-05 4.39e-05 8.345e-05 8.795e-05 4.46e-05 5.37e-05 9.08e-05 4.695e-05 8.81e-05 4.445e-05 5.49e-05 8.335e-05 5.34e-05 4.955e-05 5.06e-05 8.8e-05 5.36e-05 9.285e-05 9.365e-05 9.15e-05 9.195e-05 8.285e-05 9.975e-05 9.15e-05 5.38e-05 5.195e-05 6.55e-06 6.65e-06 7.3e-06 9.175e-05 9.995e-05 9.1e-06 4.455e-05 8.815e-05 8.84e-05 9.05e-05 8.765e-05 9.04e-05 9.2e-05 5.515e-05 8.885e-05 9.38e-05 0.00010085
19 5.27e-05 5.06e-05 5.39e-05 6.295e-05 6.27e-05 5.455e-05 6.425e-05 5.08e-05 3.895e-05 5.385e-05 5.41e-05 1.23e-05 1.83e-05 1.285e-05 2.645e-05 1.53e-05 8.915e-05 4.975e-05 8.8e-05 2.11e-05 4.985e-05 5.035e-05 2.685e-05 5.115e-05 5.26e-05 5.035e-05 1.625e-05 8.745e-05 1.575e-05 5.345e-05 2.605e-05 2.56e-05 8.83e-05 2.685e-05 2.505e-05 5.01e-05 1.27e-05 5.02e-05 4.96e-05 1.24e-05 1.25e-05 5.01e-05 5.33e-05 1.68e-05 6.41e-05 1.325e-05 5.08e-05 5.32e-05 2.57e-05 5.355e-05 5.025e-05 5.055e-05 1.285e-05 5.375e-05 2.945e-05 1.32e-05 1.51e-05 2.92e-05 2.55e-05 1.925e-05 1.62e-05 5.335e-05 4.86e-05 8.745e-05 8.755e-05 8.915e-05 1.5e-05 1.895e-05 8.69e-05 6.31e-05 1.275e-05 1.3e-05 1.54e-05 1.22e-05 2.665e-05 1.545e-05 5.155e-05 2.64e-05 1.345e-05 1.89e-05
