 slim_762001387 slim_762001364 slim_762001393 slim_762001366 slim_762001378 slim_762001391 slim_762001394 slim_762001395 slim_762001386 slim_762001369 slim_762001389 slim_762001388 slim_762001381 slim_762001361 slim_762001367 slim_762001374 slim_762001377 slim_762001360 slim_762001390 slim_762001382 slim_762001365 slim_762001370 slim_762001376 slim_762001358 slim_762001380 slim_762001362 slim_762001375 slim_762001384 slim_762001383 slim_762001371 slim_762001392 slim_762001363 slim_762001379 slim_762001359 slim_762001385 slim_762001368 slim_762001373 slim_762001396 slim_762001372
0 2e-06 1.75e-06 1.8e-06 1.45e-06 1.3e-06 1.2e-06 1.4e-06 1.25e-06 1.45e-06 1.45e-06 1.6e-06 1.5e-06 1.5e-06 1.25e-06 1.05e-06 1.55e-06 1.4e-06 1e-06 1.5e-06 1.95e-06 1.45e-06 1.05e-06 1.65e-06 1.2e-06 1.55e-06 1.5e-06 1.25e-06 1.55e-06 1.75e-06 1.55e-06 1.85e-06 1.05e-06 1.45e-06 1e-06 2.05e-06 1.75e-06 1.4e-06 2.1e-06 1.2e-06
1 1.75e-06 1.4e-06 2.25e-06 1.75e-06 1.9e-06 1.85e-06 1.2e-06 1.85e-06 2e-06 1.1e-06 1.35e-06 2.2e-06 1.6e-06 1.1e-06 1.8e-06 1.65e-06 1.75e-06 1.5e-06 1.45e-06 1.6e-06 1.75e-06 1.6e-06 1.6e-06 1.9e-06 2.15e-06 2.05e-06 2.1e-06 1.6e-06 2e-06 1.25e-06 1.6e-06 1.5e-06 2.1e-06 1.5e-06 1.9e-06 9.5e-07 8e-07 2.6e-06 1.2e-06
2 1.8e-06 2.25e-06 2.7e-06 2.2e-06 2e-06 1.95e-06 2.05e-06 1.7e-06 1.8e-06 2.05e-06 2.2e-06 1.6e-06 1.9e-06 1.95e-06 1.9e-06 2.1e-06 2.2e-06 1.95e-06 2e-06 1.9e-06 2.2e-06 2.05e-06 2.2e-06 1.35e-06 2.4e-06 1.4e-06 1.6e-06 1.8e-06 2.1e-06 2.25e-06 1.65e-06 1.9e-06 2.05e-06 1.95e-06 2.45e-06 2.3e-06 2.05e-06 2.55e-06 1.95e-06
3 1.45e-06 1.75e-06 2.2e-06 1.4e-06 1.55e-06 1.5e-06 1.25e-06 1.55e-06 1.75e-06 1.05e-06 1.4e-06 2e-06 1.4e-06 1.2e-06 9.5e-07 1.7e-06 7.5e-07 7e-07 1.45e-06 1.75e-06 7e-07 8e-07 1.55e-06 2.1e-06 1.55e-06 1.95e-06 1.75e-06 1.5e-06 1.45e-06 1.35e-06 1.9e-06 8e-07 1.45e-06 7e-07 2.1e-06 1.65e-06 1.6e-06 2.1e-06 1.15e-06
4 1.3e-06 1.9e-06 2e-06 1.55e-06 2.2e-06 1.15e-06 1.55e-06 1.4e-06 1.4e-06 1.55e-06 1.8e-06 1.7e-06 1.7e-06 1.4e-06 1.15e-06 1.75e-06 1.55e-06 1.1e-06 1.65e-06 2.1e-06 1.55e-06 1.2e-06 1.8e-06 1.4e-06 1.6e-06 1.75e-06 1.4e-06 1.75e-06 1.9e-06 1.75e-06 2.05e-06 1.15e-06 1.65e-06 1.1e-06 2.25e-06 1.9e-06 1.6e-06 2.3e-06 1.35e-06
5 1.2e-06 1.85e-06 1.95e-06 1.5e-06 1.15e-06 2.1e-06 1.5e-06 1.35e-06 1.35e-06 1.5e-06 1.7e-06 1.65e-06 1.6e-06 1.35e-06 1.1e-06 1.7e-06 1.45e-06 1.05e-06 1.6e-06 2.05e-06 1.5e-06 1.1e-06 1.75e-06 1.35e-06 1.5e-06 1.7e-06 1.35e-06 1.65e-06 1.85e-06 1.65e-06 2e-06 1.1e-06 1.55e-06 1.05e-06 2.2e-06 1.85e-06 1.55e-06 2.25e-06 1.3e-06
6 1.4e-06 1.2e-06 2.05e-06 1.25e-06 1.55e-06 1.5e-06 1.5e-06 1.5e-06 1.75e-06 9e-07 1.05e-06 1.9e-06 1.15e-06 8.5e-07 1.05e-06 1.4e-06 1.25e-06 7.5e-07 1.3e-06 1.4e-06 1.25e-06 8.5e-07 1.35e-06 1.95e-06 1.7e-06 1.95e-06 1.75e-06 1.15e-06 1.8e-06 9e-07 1.5e-06 7.5e-07 1.4e-06 7.5e-07 1.75e-06 9e-07 9.5e-07 2.2e-06 9e-07
7 1.25e-06 1.85e-06 1.7e-06 1.55e-06 1.4e-06 1.35e-06 1.5e-06 2.2e-06 1.55e-06 1.55e-06 1.75e-06 1.4e-06 1.65e-06 1.35e-06 1.15e-06 1.65e-06 1.55e-06 1.1e-06 1.6e-06 2.05e-06 1.55e-06 1.2e-06 1.75e-06 1.1e-06 1.7e-06 1.55e-06 1.15e-06 1.7e-06 1.85e-06 1.7e-06 1.9e-06 1.15e-06 1.6e-06 1.1e-06 2.15e-06 1.85e-06 1.5e-06 2.2e-06 1.3e-06
8 1.45e-06 2e-06 1.8e-06 1.75e-06 1.4e-06 1.35e-06 1.75e-06 1.55e-06 2.4e-06 1.65e-06 1.95e-06 1.75e-06 1.75e-06 1.6e-06 1.4e-06 1.85e-06 1.75e-06 1.4e-06 1.75e-06 1.95e-06 1.75e-06 1.5e-06 1.9e-06 1.4e-06 1.9e-06 1.55e-06 1.5e-06 1.8e-06 1.95e-06 1.9e-06 1.9e-06 1.45e-06 1.85e-06 1.4e-06 2.35e-06 2e-06 1.7e-06 2.4e-06 1.5e-06
9 1.45e-06 1.1e-06 2.05e-06 1.05e-06 1.55e-06 1.5e-06 9e-07 1.55e-06 1.65e-06 9e-07 9e-07 1.9e-06 1.25e-06 1e-06 1.1e-06 1.4e-06 1.05e-06 8.5e-07 1.05e-06 1.2e-06 1.05e-06 9.5e-07 1.05e-06 1.95e-06 1.75e-06 1.9e-06 1.75e-06 1.35e-06 1.5e-06 8e-07 1.55e-06 9.5e-07 1.5e-06 8.5e-07 1.75e-06 7.5e-07 1.05e-06 2.05e-06 9.5e-07
