 slim_762059979 slim_762059978 slim_762059965 slim_762059959 slim_762059942 slim_762059977 slim_762059943 slim_762059948 slim_762059951 slim_762059981 slim_762059938 slim_762059963 slim_762059984 slim_762059954 slim_762059980 slim_762059940 slim_762059971 slim_762059964 slim_762059968 slim_762059941 slim_762059953 slim_762059958 slim_762059947 slim_762059969 slim_762059967 slim_762059962 slim_762059976 slim_762059974 slim_762059944 slim_762059950 slim_762059983 slim_762059966 slim_762059985 slim_762059973 slim_762059937 slim_762059949 slim_762059956 slim_762059946 slim_762059972 slim_762059970 slim_762059939 slim_762059952 slim_762059957 slim_762059945 slim_762059961 slim_762059975 slim_762059955 slim_762059982 slim_762059960
0 1.9e-06 1.85e-06 1.55e-06 1.5e-06 2.55e-06 1.7e-06 1.2e-06 2.55e-06 1e-06 1.95e-06 2.1e-06 2.4e-06 1.85e-06 2.4e-06 1.8e-06 2e-06 2.25e-06 2.1e-06 1.8e-06 1.45e-06 1.8e-06 1.4e-06 1.55e-06 1.9e-06 1.05e-06 1.9e-06 2e-06 1.6e-06 2e-06 1.95e-06 1.95e-06 2.5e-06 1.8e-06 1.2e-06 1.9e-06 1.55e-06 1.55e-06 1.45e-06 1.55e-06 2.4e-06 2.35e-06 2e-06 2e-06 1.75e-06 2.15e-06 1.35e-06 1.85e-06 2.3e-06 1.7e-06
1 1.85e-06 2.1e-06 1.7e-06 2.15e-06 2e-06 1.4e-06 1.9e-06 1.95e-06 1.95e-06 1.15e-06 1.65e-06 1.55e-06 1.35e-06 2.75e-06 1.65e-06 1.75e-06 1.95e-06 1.65e-06 2.35e-06 2.3e-06 2.3e-06 1.15e-06 1.45e-06 1.1e-06 1.5e-06 1.2e-06 1.75e-06 1.5e-06 2.5e-06 1.25e-06 1.25e-06 1.7e-06 1.85e-06 1.45e-06 1.85e-06 1.1e-06 2.25e-06 1.3e-06 1.35e-06 1.6e-06 1.5e-06 1.7e-06 1.95e-06 1.85e-06 1.9e-06 1.15e-06 1.9e-06 1.2e-06 1.3e-06
2 1.55e-06 1.7e-06 1.8e-06 1.95e-06 1.95e-06 1.55e-06 1.7e-06 1.95e-06 1.7e-06 1.8e-06 1.8e-06 2.1e-06 1.8e-06 2.85e-06 1.15e-06 1.7e-06 1.6e-06 1.55e-06 2.3e-06 2.15e-06 1.9e-06 1.15e-06 1.5e-06 1.75e-06 1.25e-06 1.75e-06 1.7e-06 1.9e-06 2e-06 1.8e-06 1.9e-06 2.15e-06 1.95e-06 1.4e-06 1.55e-06 1.3e-06 2.1e-06 1.4e-06 1.4e-06 2.05e-06 2.05e-06 1.85e-06 1.55e-06 1.75e-06 2.4e-06 1.1e-06 1.7e-06 2.25e-06 1.55e-06
3 1.5e-06 2.15e-06 1.95e-06 2.6e-06 2.9e-06 1.95e-06 1.75e-06 2.9e-06 1.6e-06 2.25e-06 2.35e-06 2.7e-06 2.1e-06 2.1e-06 2.15e-06 2.3e-06 2.6e-06 2.4e-06 2e-06 1.55e-06 2.1e-06 1.75e-06 1.75e-06 2.2e-06 1.5e-06 2.25e-06 2.3e-06 2e-06 2.5e-06 2.2e-06 2.15e-06 2.8e-06 1.6e-06 1.65e-06 2.3e-06 1.9e-06 1.4e-06 1.65e-06 1.85e-06 2.7e-06 2.65e-06 2.25e-06 2.3e-06 2.15e-06 1.9e-06 1.7e-06 2.2e-06 2.55e-06 1.95e-06
4 2.55e-06 2e-06 1.95e-06 2.9e-06 4e-07 2.55e-06 2.6e-06 4.5e-07 2.6e-06 2.1e-06 1.3e-06 8.5e-07 1.85e-06 3.35e-06 2.1e-06 1.2e-06 1.1e-06 1.5e-06 2.85e-06 3e-06 2.25e-06 2.5e-06 2.25e-06 2.05e-06 2.4e-06 2e-06 1.25e-06 2e-06 2.25e-06 1.95e-06 1.9e-06 1e-06 3e-06 2.5e-06 9.5e-07 2.6e-06 2.95e-06 2.15e-06 2.45e-06 8.5e-07 8.5e-07 2.6e-06 2.05e-06 1.35e-06 2.45e-06 2.45e-06 1.6e-06 1.55e-06 2.55e-06
5 1.7e-06 1.4e-06 1.55e-06 1.95e-06 2.55e-06 1.8e-06 1.8e-06 2.5e-06 1.8e-06 1.5e-06 1.85e-06 2.2e-06 1.5e-06 2.75e-06 1.55e-06 1.8e-06 2.2e-06 1.95e-06 2.35e-06 2.15e-06 2.25e-06 1.05e-06 1.15e-06 1.45e-06 1.35e-06 1.5e-06 1.8e-06 1.8e-06 2.45e-06 1.45e-06 1.55e-06 2.35e-06 1.7e-06 1.3e-06 2.05e-06 1e-06 2.05e-06 1e-06 1.1e-06 2.25e-06 2.15e-06 1.7e-06 1.9e-06 2.05e-06 2.15e-06 1e-06 2.1e-06 1.95e-06 1.2e-06
6 1.2e-06 1.9e-06 1.7e-06 1.75e-06 2.6e-06 1.8e-06 2e-06 2.6e-06 1.05e-06 2e-06 2.1e-06 2.4e-06 1.85e-06 2.45e-06 1.9e-06 2.05e-06 2.25e-06 2.1e-06 1.85e-06 1.5e-06 2.05e-06 1.6e-06 1.55e-06 1.95e-06 1.2e-06 1.85e-06 2.05e-06 1.6e-06 2e-06 1.85e-06 1.9e-06 2.5e-06 1.9e-06 1.3e-06 1.95e-06 1.7e-06 1.6e-06 1.45e-06 1.65e-06 2.4e-06 2.35e-06 2.1e-06 2.15e-06 1.8e-06 2.15e-06 1.55e-06 2.1e-06 2.25e-06 1.75e-06
7 2.55e-06 1.95e-06 1.95e-06 2.9e-06 4.5e-07 2.5e-06 2.6e-06 7e-07 2.55e-06 2.05e-06 1.35e-06 9.5e-07 1.8e-06 3.3e-06 2.1e-06 1.3e-06 8e-07 1.5e-06 2.8e-06 2.95e-06 2.3e-06 2.45e-06 2.2e-06 2e-06 2.35e-06 1.95e-06 1.3e-06 1.95e-06 2.3e-06 1.9e-06 1.85e-06 1.05e-06 2.95e-06 2.45e-06 1.1e-06 2.55e-06 2.9e-06 2.1e-06 2.4e-06 9.5e-07 9e-07 2.55e-06 2.05e-06 1.4e-06 2.4e-06 2.4e-06 1.45e-06 1.5e-06 2.5e-06
8 1e-06 1.95e-06 1.7e-06 1.6e-06 2.6e-06 1.8e-06 1.05e-06 2.55e-06 4e-07 2.05e-06 2.1e-06 2.4e-06 1.8e-06 1.85e-06 1.95e-06 2e-06 2.2e-06 2.1e-06 1.2e-06 7.5e-07 2.45e-06 1.7e-06 1.5e-06 2e-06 8.5e-07 1.85e-06 2e-06 1.2e-06 1.65e-06 1.9e-06 1.9e-06 2.5e-06 1.6e-06 9.5e-07 1.8e-06 1.8e-06 8e-07 1.4e-06 1.65e-06 2.4e-06 2.35e-06 2.15e-06 2.2e-06 1.35e-06 1.8e-06 1.65e-06 2.25e-06 2.25e-06 1.8e-06
9 1.95e-06 1.15e-06 1.8e-06 2.25e-06 2.1e-06 1.5e-06 2e-06 2.05e-06 2.05e-06 2.3e-06 1.75e-06 1.65e-06 1.45e-06 2.85e-06 1.7e-06 1.85e-06 2.05e-06 1.75e-06 2.45e-06 2.4e-06 2.4e-06 1.2e-06 1.55e-06 1.2e-06 1.6e-06 1.3e-06 1.85e-06 1.6e-06 2.6e-06 1.3e-06 1.35e-06 1.8e-06 1.95e-06 1.55e-06 1.95e-06 1.15e-06 2.35e-06 1.4e-06 1.4e-06 1.7e-06 1.6e-06 1.8e-06 2.05e-06 1.95e-06 2e-06 1.25e-06 2e-06 1.3e-06 1.35e-06
