 slim_762293427 slim_762293468 slim_762293432 slim_762293458 slim_762293425 slim_762293447 slim_762293451 slim_762293452 slim_762293435 slim_762293453 slim_762293444 slim_762293436 slim_762293463 slim_762293465 slim_762293433 slim_762293467 slim_762293450 slim_762293464 slim_762293457 slim_762293461 slim_762293441 slim_762293471 slim_762293429 slim_762293428 slim_762293431 slim_762293440 slim_762293459 slim_762293454 slim_762293446 slim_762293439 slim_762293455 slim_762293449 slim_762293462 slim_762293423 slim_762293424 slim_762293466 slim_762293437 slim_762293422 slim_762293460 slim_762293438 slim_762293470 slim_762293456 slim_762293445 slim_762293443 slim_762293448 slim_762293426 slim_762293430 slim_762293469 slim_762293434 slim_762293442
0 1.7e-06 1.4e-06 1.1e-06 1.25e-06 1.55e-06 1e-06 1.75e-06 1.5e-06 1.75e-06 1.85e-06 1.75e-06 9e-07 1.15e-06 1.35e-06 1.05e-06 1.95e-06 1.4e-06 1.4e-06 1.35e-06 1e-06 1.3e-06 1.25e-06 1.25e-06 1.5e-06 1.7e-06 1.3e-06 1.4e-06 1.1e-06 1.45e-06 1.05e-06 1.3e-06 1.3e-06 1.35e-06 1.3e-06 1.5e-06 1.8e-06 1.45e-06 1.2e-06 1.25e-06 1.05e-06 1.7e-06 1.1e-06 1.3e-06 1.8e-06 1.6e-06 1.35e-06 1.35e-06 1.2e-06 1.2e-06 1.15e-06
1 1.4e-06 1.3e-06 1.35e-06 1.25e-06 1.65e-06 1.55e-06 2.05e-06 1.25e-06 1.8e-06 1.9e-06 1.65e-06 1.1e-06 1.65e-06 1.25e-06 1.6e-06 1.45e-06 1.2e-06 1.25e-06 1.45e-06 1.3e-06 1.5e-06 1.3e-06 1.5e-06 1.55e-06 1.9e-06 1.4e-06 1.45e-06 1.2e-06 1.65e-06 1.3e-06 1.25e-06 1.4e-06 1.35e-06 1.3e-06 2.1e-06 1.3e-06 1.05e-06 1.55e-06 1.55e-06 1.45e-06 1.75e-06 1.35e-06 1e-06 1.7e-06 1.1e-06 1.65e-06 1.55e-06 9e-07 1.4e-06 1.6e-06
2 1.1e-06 1.35e-06 9e-07 6.5e-07 1.05e-06 8.5e-07 1.45e-06 1.5e-06 1.05e-06 1.15e-06 1.4e-06 1.1e-06 1.05e-06 1.5e-06 9e-07 1.65e-06 9.5e-07 1.2e-06 1.05e-06 6.5e-07 1.1e-06 6e-07 6.5e-07 1.15e-06 1.35e-06 5e-07 6e-07 6.5e-07 1.1e-06 7.5e-07 8.5e-07 1e-06 8e-07 1.45e-06 1.5e-06 1.7e-06 1.65e-06 7e-07 1.65e-06 1.15e-06 1.5e-06 1.1e-06 1.35e-06 1.45e-06 1.2e-06 1.15e-06 1.35e-06 1.1e-06 1e-06 9e-07
3 1.25e-06 1.25e-06 6.5e-07 6e-07 1.05e-06 1.3e-06 1.55e-06 1.6e-06 9e-07 1e-06 1.1e-06 9.5e-07 1.4e-06 1.65e-06 1.35e-06 1.5e-06 8.5e-07 1.05e-06 1.05e-06 8e-07 1.4e-06 4.5e-07 8e-07 1.15e-06 1.8e-06 3.5e-07 4.5e-07 7e-07 1.25e-06 9e-07 5.5e-07 8.5e-07 8e-07 1.4e-06 1.95e-06 1.7e-06 1.55e-06 8.5e-07 1.6e-06 1.3e-06 1.5e-06 1.2e-06 1.25e-06 1.15e-06 1.05e-06 1.4e-06 1.55e-06 8.5e-07 9e-07 1.35e-06
4 1.55e-06 1.65e-06 1.05e-06 1.05e-06 1.7e-06 1.45e-06 1.5e-06 1.95e-06 1e-06 1.1e-06 1.3e-06 1.5e-06 1.45e-06 1.9e-06 1.5e-06 1.5e-06 1.3e-06 1.4e-06 1.45e-06 1.2e-06 1.4e-06 1e-06 1.2e-06 9.5e-07 1.55e-06 9e-07 1e-06 1.05e-06 1e-06 1.2e-06 1.2e-06 1.4e-06 1.05e-06 1.7e-06 1.65e-06 1.45e-06 1.9e-06 1.25e-06 1.85e-06 1.55e-06 1.55e-06 1.4e-06 1.6e-06 1.35e-06 1.55e-06 1.05e-06 1.75e-06 1.4e-06 1.3e-06 1.5e-06
5 1e-06 1.55e-06 8.5e-07 1.3e-06 1.45e-06 1e-06 1.75e-06 1.65e-06 1.7e-06 1.8e-06 1.85e-06 1.45e-06 9e-07 1.35e-06 5.5e-07 2.05e-06 1.4e-06 1.45e-06 1.25e-06 8.5e-07 9e-07 1.25e-06 1.05e-06 1.45e-06 1.15e-06 1.25e-06 1.35e-06 1.05e-06 1.25e-06 8.5e-07 1.4e-06 1.55e-06 1.25e-06 1.45e-06 1.05e-06 1.85e-06 1.65e-06 1e-06 1.4e-06 9.5e-07 1.5e-06 1.1e-06 1.4e-06 1.9e-06 1.7e-06 1.1e-06 1.2e-06 1.35e-06 1.25e-06 6.5e-07
6 1.75e-06 2.05e-06 1.45e-06 1.55e-06 1.5e-06 1.75e-06 2.7e-06 1.95e-06 1.35e-06 1.35e-06 1.6e-06 1.6e-06 1.95e-06 2.2e-06 1.8e-06 1.95e-06 1.7e-06 1.9e-06 1.8e-06 1.6e-06 1.85e-06 1.5e-06 1.6e-06 1.6e-06 1.7e-06 1.4e-06 1.4e-06 1.6e-06 1.55e-06 1.6e-06 1.65e-06 1.6e-06 1.6e-06 1.95e-06 1.9e-06 2e-06 2.15e-06 1.65e-06 2.05e-06 1.8e-06 1.85e-06 1.8e-06 2.05e-06 1.65e-06 1.95e-06 1.6e-06 1.9e-06 1.85e-06 1.65e-06 1.8e-06
7 1.5e-06 1.25e-06 1.5e-06 1.6e-06 1.95e-06 1.65e-06 1.95e-06 2.2e-06 2.1e-06 2.2e-06 2.05e-06 1.15e-06 1.85e-06 1.55e-06 1.7e-06 1.85e-06 1.7e-06 1.65e-06 1.65e-06 1.5e-06 1.75e-06 1.6e-06 1.65e-06 1.9e-06 2.05e-06 1.65e-06 1.7e-06 1.5e-06 1.85e-06 1.55e-06 1.6e-06 1.55e-06 1.65e-06 1.6e-06 2.25e-06 1.7e-06 1.35e-06 1.7e-06 1.7e-06 1.55e-06 2.05e-06 1.55e-06 1.6e-06 2.1e-06 1.45e-06 1.85e-06 1.7e-06 1.5e-06 1.6e-06 1.7e-06
8 1.75e-06 1.8e-06 1.05e-06 9e-07 1e-06 1.7e-06 1.35e-06 2.1e-06 1.2e-06 7e-07 1.05e-06 1.65e-06 1.8e-06 2.05e-06 1.75e-06 1.45e-06 1.2e-06 1.6e-06 1.4e-06 1.3e-06 1.7e-06 8.5e-07 1.2e-06 1.2e-06 1.65e-06 6.5e-07 6.5e-07 1.2e-06 1.3e-06 1.3e-06 1.1e-06 1.25e-06 1.1e-06 1.8e-06 1.85e-06 1.75e-06 2e-06 1.25e-06 2e-06 1.75e-06 1.65e-06 1.65e-06 1.75e-06 1.1e-06 1.45e-06 1.45e-06 1.85e-06 1.55e-06 1.25e-06 1.75e-06
9 1.85e-06 1.9e-06 1.15e-06 1e-06 1.1e-06 1.8e-06 1.35e-06 2.2e-06 7e-07 1.4e-06 1.15e-06 1.75e-06 1.9e-06 2.15e-06 1.85e-06 1.55e-06 1.3e-06 1.7e-06 1.5e-06 1.4e-06 1.8e-06 9.5e-07 1.3e-06 1.3e-06 1.75e-06 7.5e-07 7.5e-07 1.3e-06 1.4e-06 1.4e-06 1.2e-06 1.35e-06 1.2e-06 1.9e-06 1.95e-06 1.85e-06 2.1e-06 1.35e-06 2.1e-06 1.85e-06 1.75e-06 1.75e-06 1.85e-06 1.2e-06 1.55e-06 1.55e-06 1.95e-06 1.65e-06 1.35e-06 1.85e-06
