 slim_337535518 slim_337535412 slim_337535553 slim_337535542 slim_337535566 slim_337535611 slim_337535546 slim_337535569 slim_337535501 slim_337535575 slim_337535454 slim_337535293 slim_337535599 slim_337535355 slim_337535348 slim_337535587 slim_337535496 slim_337535486 slim_337535554 slim_337535323 slim_337535473 slim_337535357 slim_337535621 slim_337535201 slim_337535511 slim_337535582 slim_337535594 slim_337535592 slim_337535616 slim_337535624 slim_337535446 slim_337535617 slim_337535578 slim_337535607 slim_337535500 slim_337535466 slim_337535514 slim_337535606 slim_337535363 slim_337535445 slim_337535586 slim_337535264 slim_337535596 slim_337535391 slim_337535559 slim_337535243 slim_337535593 slim_337535526 slim_337535623 slim_337535532 slim_337535437 slim_337535590 slim_337535595 slim_337535381 slim_337535571 slim_337535618 slim_337535503 slim_337535615 slim_337535608 slim_337535404 slim_337535525 slim_337535574 slim_337535620 slim_337535609 slim_337535612 slim_337535565 slim_337535439 slim_337535471 slim_337535588 slim_337535577 slim_337535544 slim_337535549 slim_337535568 slim_337535604 slim_337535531 slim_337535458 slim_337535613 slim_337535504 slim_337535584 slim_337535474 slim_337535478 slim_337535319 slim_337535491 slim_337535447 slim_337535502
0 8.1e-06 7.65e-06 5.365e-05 6.4e-06 6.35e-06 5.39e-05 5.4e-05 5.395e-05 5.9e-06 5.355e-05 8.45e-06 5.455e-05 5.315e-05 6.33e-05 6.5e-06 7.7e-06 5.325e-05 6.8e-06 5.325e-05 5.15e-06 6.05e-06 5.4e-05 6.65e-06 7.35e-06 6.3e-06 0.0001009 6.29e-05 7.15e-06 5.405e-05 6.25e-06 7.45e-06 7.5e-06 7.45e-06 0.0001007 8.55e-06 6.21e-05 6.75e-06 1.8e-05 5.4e-06 5.375e-05 0.0001102 8.95e-06 5.415e-05 7.25e-06 5.41e-05 5.48e-05 7.25e-06 5.1e-06 6.5e-06 0.00010985 7.4e-06 0.00010075 6.485e-05 5.345e-05 7.55e-06 5.37e-05 6e-06 5.22e-05 0.0001006 5.8e-06 5.5e-06 6.85e-06 7.4e-06 5.43e-05 7.25e-05 5.95e-06 5.55e-06 7.35e-06 7.55e-06 6.55e-06 6e-06 5.415e-05 6.7e-06 6.35e-06 6.24e-05 5.9e-06 5.31e-05 5.185e-05 6e-06 5.85e-06 5.265e-05 5.18e-05 7.6e-06 7.5e-06 6.52e-05
1 7.65e-06 7.2e-06 5.135e-05 5.45e-06 5.65e-06 5.35e-05 5.21e-05 5.385e-05 6.2e-06 5.415e-05 6.25e-06 5.265e-05 5.325e-05 6.3e-05 6.4e-06 6.1e-06 5.435e-05 5.45e-06 5.435e-05 5.75e-06 5.05e-06 5.21e-05 5.65e-06 6.2e-06 5.25e-06 0.00010035 6.26e-05 6.65e-06 5.365e-05 6.95e-06 4.2e-06 4.5e-06 5.7e-06 9.97e-05 6.2e-06 6.225e-05 4.65e-06 1.625e-05 6.05e-06 5.36e-05 0.00010925 3.75e-06 5.195e-05 5.65e-06 5.385e-05 5.105e-05 5.8e-06 6.3e-06 6.8e-06 0.0001107 5.4e-06 0.00010015 6.58e-05 5.3e-05 3.8e-06 5.355e-05 6.9e-06 5.335e-05 0.0001 6.15e-06 4.95e-06 6.3e-06 5.8e-06 5.235e-05 7.155e-05 6.6e-06 4.5e-06 5.75e-06 4.4e-06 4.55e-06 6.65e-06 5.4e-05 6.15e-06 6.65e-06 6.21e-05 6.85e-06 5.115e-05 5.185e-05 7e-06 6.2e-06 5.23e-05 5.365e-05 6.55e-06 7.15e-06 6.435e-05
2 5.365e-05 5.135e-05 9.72e-05 5.14e-05 5.25e-05 5.25e-05 5.135e-05 5.285e-05 5.26e-05 5.29e-05 5.065e-05 5.22e-05 5.21e-05 6.26e-05 5.24e-05 5.25e-05 5.315e-05 5.17e-05 5.315e-05 5.22e-05 5.115e-05 4.945e-05 5.145e-05 5.23e-05 5.105e-05 5.19e-05 6.06e-05 5.27e-05 5.265e-05 5.33e-05 5.115e-05 5.12e-05 5.19e-05 5.125e-05 5.225e-05 6.145e-05 5.09e-05 6.08e-05 5.23e-05 5.26e-05 6.14e-05 5.13e-05 5.155e-05 5.045e-05 5.285e-05 5.06e-05 5.19e-05 5.255e-05 5.32e-05 6.29e-05 5.15e-05 5.175e-05 6.345e-05 5.2e-05 5.125e-05 5.255e-05 5.29e-05 5.235e-05 5.16e-05 5.24e-05 5.055e-05 5.22e-05 5.06e-05 5.11e-05 5.095e-05 5.295e-05 5.06e-05 5.055e-05 5.125e-05 4.995e-05 5.305e-05 5.3e-05 5.205e-05 5.305e-05 6.175e-05 5.285e-05 5.035e-05 5.25e-05 5.34e-05 5.1e-05 5.115e-05 5.225e-05 5.26e-05 5.29e-05 6.19e-05
3 6.4e-06 5.45e-06 5.14e-05 6e-06 6.25e-06 5.33e-05 5.225e-05 5.335e-05 5.35e-06 5.345e-05 6.15e-06 5.35e-05 5.225e-05 6.25e-05 5.5e-06 6.15e-06 5.32e-05 5.2e-06 5.32e-05 4.9e-06 4.15e-06 5.215e-05 5e-06 4.4e-06 4.65e-06 0.00010025 6.185e-05 6.45e-06 5.345e-05 6.2e-06 5.1e-06 5.15e-06 5.7e-06 9.97e-05 6.4e-06 6.14e-05 4.35e-06 1.615e-05 4.6e-06 5.29e-05 0.00010915 6.4e-06 5.295e-05 5.45e-06 5.35e-05 5.255e-05 4.35e-06 5.15e-06 6.1e-06 0.0001098 4.6e-06 9.99e-05 6.5e-05 5.275e-05 5.35e-06 5.285e-05 6.2e-06 5.25e-05 9.975e-05 5.6e-06 4.15e-06 5.55e-06 5.6e-06 5.25e-05 7.165e-05 5.65e-06 3.25e-06 5.55e-06 5.2e-06 4.6e-06 6e-06 5.35e-05 5.3e-06 6e-06 6.14e-05 6.15e-06 5.085e-05 5.11e-05 6.35e-06 5.3e-06 5.13e-05 5.265e-05 6.6e-06 6.5e-06 6.42e-05
4 6.35e-06 5.65e-06 5.25e-05 6.25e-06 8.1e-06 5.365e-05 5.27e-05 5.4e-05 7.4e-06 5.355e-05 7.3e-06 5.285e-05 5.38e-05 6.225e-05 6.9e-06 6.7e-06 5.46e-05 6e-06 5.46e-05 6.95e-06 6e-06 5.285e-05 6.75e-06 6.6e-06 6.45e-06 0.00010005 6.24e-05 6.75e-06 5.38e-05 7.6e-06 5.6e-06 5.8e-06 6.75e-06 9.92e-05 6.95e-06 6.155e-05 5.3e-06 1.68e-05 6.95e-06 5.425e-05 0.0001084 5e-06 5.235e-05 6.85e-06 5.395e-05 5.15e-05 6.2e-06 7.4e-06 7.3e-06 0.0001098 5.95e-06 0.00010005 6.59e-05 5.315e-05 5.7e-06 5.42e-05 5.6e-06 5.165e-05 9.99e-05 6.8e-06 5.7e-06 6.7e-06 6.95e-06 5.3e-05 7.18e-05 7.75e-06 5.95e-06 6.9e-06 5.7e-06 6.75e-06 7.35e-06 5.42e-05 6.55e-06 7.4e-06 6.18e-05 5.5e-06 5.215e-05 5.23e-05 7.7e-06 7.45e-06 5.265e-05 5.16e-05 6.55e-06 7.25e-06 6.435e-05
5 5.39e-05 5.35e-05 5.25e-05 5.33e-05 5.365e-05 0.000103 5.33e-05 5.21e-05 5.315e-05 5.28e-05 5.26e-05 5.255e-05 5.255e-05 6.31e-05 5.305e-05 5.26e-05 5.31e-05 5.265e-05 5.31e-05 5.305e-05 5.33e-05 5.28e-05 5.31e-05 5.3e-05 5.3e-05 5.215e-05 6.335e-05 5.22e-05 5.175e-05 5.33e-05 5.355e-05 5.36e-05 5.225e-05 5.28e-05 5.285e-05 6.325e-05 5.285e-05 6.305e-05 5.35e-05 5.235e-05 6.295e-05 5.36e-05 5.265e-05 5.28e-05 5.21e-05 5.265e-05 5.255e-05 5.37e-05 5.32e-05 6.26e-05 5.23e-05 5.185e-05 6.255e-05 5.2e-05 5.34e-05 5.24e-05 5.335e-05 5.3e-05 5.17e-05 5.295e-05 5.325e-05 5.31e-05 5.295e-05 5.275e-05 5.245e-05 5.35e-05 5.31e-05 5.29e-05 5.365e-05 5.325e-05 5.3e-05 5.22e-05 5.295e-05 5.305e-05 6.32e-05 5.325e-05 5.28e-05 5.285e-05 5.335e-05 5.32e-05 5.29e-05 5.31e-05 5.215e-05 5.275e-05 6.2e-05
6 5.4e-05 5.21e-05 5.135e-05 5.225e-05 5.27e-05 5.33e-05 9.87e-05 5.335e-05 5.345e-05 5.175e-05 5.23e-05 5.165e-05 5.22e-05 6.32e-05 5.3e-05 5.48e-05 5.23e-05 5.405e-05 5.23e-05 5.305e-05 5.295e-05 5.16e-05 5.3e-05 5.355e-05 5.265e-05 5.195e-05 6.165e-05 5.4e-05 5.345e-05 5.465e-05 5.19e-05 5.19e-05 5.41e-05 5.08e-05 5.41e-05 6.17e-05 5.29e-05 6.24e-05 5.35e-05 5.265e-05 6.14e-05 5.14e-05 5.105e-05 5.32e-05 5.35e-05 5.13e-05 5.345e-05 5.345e-05 5.495e-05 6.17e-05 5.345e-05 5.185e-05 6.26e-05 5.265e-05 5.195e-05 5.26e-05 5.41e-05 5.115e-05 5.17e-05 5.405e-05 5.2e-05 5.335e-05 5.335e-05 5.26e-05 5.15e-05 5.385e-05 5.195e-05 5.33e-05 5.2e-05 5.215e-05 5.435e-05 5.35e-05 5.32e-05 5.435e-05 6.185e-05 5.405e-05 5.195e-05 5.245e-05 5.47e-05 5.275e-05 5.075e-05 5.13e-05 5.445e-05 5.395e-05 6.22e-05
7 5.395e-05 5.385e-05 5.285e-05 5.335e-05 5.4e-05 5.21e-05 5.335e-05 0.0001031 5.315e-05 5.29e-05 5.285e-05 5.29e-05 5.245e-05 6.285e-05 5.315e-05 5.255e-05 5.315e-05 5.26e-05 5.315e-05 5.31e-05 5.305e-05 5.315e-05 5.33e-05 5.26e-05 5.305e-05 5.235e-05 6.34e-05 5.265e-05 5.21e-05 5.305e-05 5.39e-05 5.395e-05 5.275e-05 5.315e-05 5.33e-05 6.33e-05 5.29e-05 6.34e-05 5.355e-05 5.245e-05 6.33e-05 5.425e-05 5.3e-05 5.305e-05 5.22e-05 5.32e-05 5.295e-05 5.375e-05 5.345e-05 6.265e-05 5.295e-05 5.195e-05 6.265e-05 5.225e-05 5.375e-05 5.24e-05 5.31e-05 5.305e-05 5.195e-05 5.33e-05 5.33e-05 5.335e-05 5.32e-05 5.31e-05 5.28e-05 5.355e-05 5.315e-05 5.315e-05 5.4e-05 5.33e-05 5.27e-05 5.205e-05 5.32e-05 5.28e-05 6.325e-05 5.3e-05 5.3e-05 5.29e-05 5.31e-05 5.325e-05 5.295e-05 5.315e-05 5.285e-05 5.305e-05 6.22e-05
8 5.9e-06 6.2e-06 5.26e-05 5.35e-06 7.4e-06 5.315e-05 5.345e-05 5.315e-05 6e-06 5.35e-05 6.65e-06 5.445e-05 5.225e-05 6.33e-05 4.8e-06 5.75e-06 5.33e-05 5.45e-06 5.33e-05 3.65e-06 4.4e-06 5.34e-05 4.7e-06 6.25e-06 4.25e-06 0.00010135 6.305e-05 5.85e-06 5.33e-05 5.1e-06 5.95e-06 5.85e-06 5.05e-06 0.0001013 6.95e-06 6.255e-05 6e-06 1.725e-05 4.35e-06 5.215e-05 0.00011105 8.2e-06 5.4e-05 5.45e-06 5.335e-05 5.445e-05 6.2e-06 3.95e-06 5.45e-06 0.0001107 6.2e-06 0.00010095 6.46e-05 5.27e-05 6.1e-06 5.195e-05 6.5e-06 5.355e-05 0.0001008 4.4e-06 4.45e-06 5.45e-06 5.6e-06 5.3e-05 7.23e-05 3.95e-06 3.45e-06 5.55e-06 5.9e-06 4.65e-06 4.8e-06 5.335e-05 5.45e-06 4.4e-06 6.22e-05 6.45e-06 5.175e-05 5.04e-05 5.15e-06 4.1e-06 5.205e-05 5.37e-05 6.35e-06 6.45e-06 6.52e-05
9 5.355e-05 5.415e-05 5.29e-05 5.345e-05 5.355e-05 5.28e-05 5.175e-05 5.29e-05 5.35e-05 9.87e-05 5.32e-05 5.34e-05 5.29e-05 6.265e-05 5.14e-05 5.365e-05 5.295e-05 5.36e-05 5.295e-05 5.335e-05 5.37e-05 5.265e-05 5.34e-05 5.36e-05 5.315e-05 5.23e-05 6.245e-05 5.13e-05 5.295e-05 5.405e-05 5.42e-05 5.425e-05 5.325e-05 5.105e-05 5.4e-05 6.235e-05 5.385e-05 6.38e-05 5.42e-05 5.275e-05 6.17e-05 5.485e-05 5.285e-05 5.34e-05 5.3e-05 5.345e-05 5.345e-05 5.4e-05 5.445e-05 6.185e-05 5.36e-05 5.245e-05 6.335e-05 5.215e-05 5.405e-05 5.275e-05 5.32e-05 5.08e-05 5.23e-05 5.4e-05 5.33e-05 5.21e-05 5.355e-05 5.27e-05 5.265e-05 5.38e-05 5.315e-05 5.35e-05 5.43e-05 5.33e-05 5.375e-05 5.31e-05 5.195e-05 5.385e-05 6.23e-05 5.31e-05 5.35e-05 5.155e-05 5.41e-05 5.355e-05 5.135e-05 5.09e-05 5.2e-05 5.165e-05 6.305e-05
