 slim_337450741 slim_337450622 slim_337450466 slim_337450440 slim_337450700 slim_337450454 slim_337450665 slim_337450618 slim_337450758 slim_337450732 slim_337450715 slim_337450636 slim_337450641 slim_337450752 slim_337450677 slim_337450681 slim_337450727 slim_337450730 slim_337450748 slim_337450355 slim_337450766 slim_337450688 slim_337450749 slim_337450722 slim_337450675 slim_337450725 slim_337450712 slim_337450632 slim_337450615 slim_337450394 slim_337450739 slim_337450764 slim_337450657 slim_337450542 slim_337450763 slim_337450708 slim_337450617 slim_337450485 slim_337450671 slim_337450679 slim_337450762 slim_337450655 slim_337450737 slim_337450467 slim_337450667 slim_337450689 slim_337450687 slim_337450729 slim_337450589 slim_337450736 slim_337450672 slim_337450740 slim_337450528 slim_337450753 slim_337450649 slim_337450754 slim_337450760 slim_337450765 slim_337450711 slim_337450717 slim_337450423 slim_337450705 slim_337450410 slim_337450630 slim_337450684 slim_337450699 slim_337450499 slim_337450759 slim_337450707 slim_337450022 slim_337450755 slim_337450724 slim_337450646 slim_337450685 slim_337450341 slim_337450718 slim_337450744 slim_337450716 slim_337450456 slim_337450746 slim_337450733 slim_337450698 slim_337450661 slim_337450745 slim_337450670 slim_337450637 slim_337450626 slim_337450545 slim_337450721 slim_337450690 slim_337450392 slim_337450425 slim_337450747 slim_337450757 slim_337450629 slim_337450706 slim_337450761 slim_337450582 slim_337450605 slim_337450614
0 0.0006164 0.0007117 0.00090915 0.0006009 0.00085145 0.00055875 0.00078235 0.00041925 0.0008207 0.00088445 0.00078455 0.0007113 0.00065365 0.000763 0.00060795 0.0008206 0.00060115 0.00060095 0.0008761 0.0008589 0.00045595 0.0008678 0.0007711 0.0004877 0.00089265 0.0008842 0.00080475 0.00052835 0.00056225 0.00063295 0.0007117 0.0007666 0.00087665 0.00085725 0.0008602 0.00052815 0.00085215 0.00071065 0.0005281 0.0007055 0.0006647 0.00088885 0.00058515 0.00083885 0.0008048 0.0004807 0.00030865 0.00067865 0.0008312 0.0008677 0.00064865 0.00082075 0.0008104 0.000802 0.0005963 0.00068155 0.0005601 0.0006331 0.000783 0.0007894 0.0007111 0.00070715 0.0006746 0.0003083 0.0008206 0.00061625 0.0007977 0.00078945 0.00058505 0.00060205 0.00078935 0.00059635 0.0004915 0.00038705 0.0007476 0.000394 0.00077865 0.0007935 0.0007674 0.0006161 0.00080485 0.0008602 0.0005599 0.0007827 0.0008528 0.0006008 0.00054315 0.0006517 0.0008244 0.00082695 0.00056215 0.00058335 0.00059875 0.0005281 0.0005698 0.00058365 0.00085775 0.00058525 0.0008031 0.0005852
1 0.0007117 0.000888 0.0006568 0.0006015 0.00059665 0.0007066 0.00078545 0.00060155 0.00062845 0.00087595 0.00069015 0.00076735 0.0008316 0.00080585 0.0007825 0.00062935 0.0005544 0.0006015 0.00048935 0.00071225 0.00068585 0.0006987 0.0007055 0.0006114 0.00044535 0.00082885 0.00082925 0.00073975 0.00070195 0.00082665 0.00044415 0.00064735 0.0006653 0.0006222 0.0007094 0.0007665 0.0007473 0.00044505 0.0007867 0.0007897 0.0007802 0.00061315 0.0008217 0.0008119 0.00084865 0.0007697 0.00071185 0.00067005 0.0008364 0.0006986 0.00052505 0.0006294 0.00084745 0.00071405 0.00081725 0.0006061 0.0007775 0.0008268 0.0006032 0.0006854 0.00076715 0.00066 0.0007604 0.0007587 0.000609 0.00070495 0.00066765 0.0007057 0.0008216 0.00060205 0.00068535 0.00077045 0.0007124 0.00075725 0.0008144 0.0007116 0.0007616 0.0006988 0.0007229 0.0007049 0.0008487 0.0007094 0.0007773 0.00072745 0.00062025 0.00060135 0.0007778 0.00065615 0.00075785 0.0006684 0.0007019 0.00064645 0.00081375 0.00076645 0.00063065 0.0006467 0.00068935 0.0007746 0.0006541 0.00082175
2 0.00090915 0.0006568 0.0007606 0.00064955 0.00055645 0.00081585 0.00079825 0.00092605 0.0005586 0.00089615 0.00070005 0.0007895 0.0007451 0.0007899 0.00088045 0.0005586 0.0006401 0.00064975 0.00048445 0.0005686 0.0009116 0.00060415 0.0007402 0.0008849 0.00038275 0.00073615 0.00070245 0.0008182 0.00082435 0.00079275 0.0006568 0.0007079 0.0005191 0.00058135 0.000621 0.0008353 0.0006654 0.0006589 0.0008278 0.0007887 0.00070645 0.00047835 0.0007862 0.00070135 0.00069495 0.0008611 0.0009093 0.0007249 0.0008695 0.00060405 0.0006713 0.00055875 0.00082315 0.000811 0.0009074 0.00064935 0.00087385 0.0007929 0.000606 0.0007232 0.0007893 0.00091455 0.0008272 0.0009188 0.00056605 0.0008069 0.0006081 0.0007158 0.0007861 0.0008799 0.00072315 0.0007477 0.0008632 0.00089695 0.0007365 0.0008927 0.0007422 0.00060485 0.00075685 0.00080675 0.000695 0.000621 0.00087365 0.0007435 0.00060485 0.0006496 0.00088085 0.00071235 0.0007152 0.0006314 0.0008243 0.00075365 0.00079315 0.00083525 0.0007971 0.0007539 0.00063575 0.00077645 0.00067 0.00078625
3 0.0006009 0.0006015 0.00064955 0.0008971 0.00058595 0.000738 0.00074765 0.00060155 0.0005874 0.0008917 0.00070535 0.0007236 0.0007014 0.00073915 0.00066805 0.00058745 0.00060105 0.0004488 0.0005158 0.0007355 0.0005898 0.0007051 0.0006943 0.00065585 0.00044985 0.00085315 0.00078005 0.00073975 0.0007364 0.0006992 0.0006015 0.0006575 0.000648 0.0006153 0.0007141 0.00058185 0.0007599 0.00060245 0.00058745 0.0007302 0.00068605 0.0006317 0.00064705 0.0007825 0.00078555 0.00053105 0.000601 0.0006492 0.0008218 0.000705 0.00061745 0.0005876 0.00081 0.0007352 0.0006701 0.00051875 0.00061585 0.00069935 0.0005914 0.00070235 0.0007234 0.0008229 0.00073205 0.0004486 0.00058185 0.00062375 0.00059985 0.000708 0.00064695 0.0007429 0.0007023 0.0006318 0.00074245 0.0005255 0.00072595 0.0005825 0.0007192 0.0006129 0.00070805 0.0006236 0.0007856 0.0007141 0.0006156 0.000735 0.00061605 0.0004486 0.00060025 0.0005699 0.0007676 0.00063895 0.00073635 0.00051575 0.00073885 0.00058185 0.0007214 0.00051595 0.00075245 0.0007992 0.00064885 0.00064705
4 0.00085145 0.00059665 0.00055645 0.00058595 0.0006359 0.00058325 0.0004972 0.00086465 0.000542 0.0009388 0.00063375 0.0006615 0.0008222 0.00079805 0.00064335 0.00054295 0.00058365 0.00058615 0.00042265 0.0006885 0.0008634 0.0006118 0.00072125 0.0008563 0.0003183 0.0008607 0.000656 0.00080845 0.000649 0.0008219 0.00059665 0.00067245 0.00056255 0.00041775 0.0006671 0.0006797 0.0007367 0.00059665 0.0008109 0.00079435 0.00081005 0.0005504 0.0008305 0.000628 0.00078625 0.00079745 0.0008516 0.0006855 0.00088345 0.0006117 0.000611 0.0005431 0.00085495 0.00062465 0.0008963 0.0005475 0.00065165 0.00082205 0.0005679 0.0005803 0.0006613 0.0009069 0.00081755 0.00085395 0.0004117 0.0007988 0.0006061 0.0007116 0.0008304 0.0008461 0.00058025 0.0008185 0.0008331 0.0008282 0.00076755 0.000784 0.0004117 0.0006398 0.0007639 0.00079865 0.0007863 0.0006671 0.0006514 0.0007411 0.0003839 0.000586 0.00084105 0.0006821 0.00078345 0.00048625 0.00064895 0.0006906 0.00084175 0.00067965 0.0007521 0.00069085 0.00071925 0.0008279 0.0005162 0.00083055
5 0.00055875 0.0007066 0.00081585 0.000738 0.00058325 0.0008075 0.00053165 0.0006821 0.00077505 0.0009313 0.0007127 0.00064895 0.0007742 0.00082165 0.000583 0.00077585 0.0005835 0.00073805 0.00078275 0.00081165 0.00072925 0.00077425 0.0007978 0.0006879 0.00076085 0.0008915 0.00068045 0.0005968 0.0004746 0.0007554 0.0007066 0.0007813 0.00079095 0.00065945 0.00081295 0.0006257 0.0008287 0.0007046 0.0007513 0.0007694 0.00078845 0.0008073 0.00076835 0.0006841 0.00080525 0.00074685 0.00055895 0.0007147 0.0008926 0.00077415 0.00064195 0.000776 0.0008551 0.0006912 0.00082225 0.00071005 0.00059565 0.00075555 0.00075925 0.0006671 0.00064875 0.0007909 0.00075985 0.00071335 0.0006502 0.00079105 0.0008037 0.0007928 0.00076825 0.000705 0.00066705 0.00078275 0.0005819 0.0006894 0.00078895 0.0005954 0.0004709 0.00082015 0.000823 0.0007909 0.0008053 0.00081295 0.0005954 0.00078855 0.0006204 0.0007379 0.00078365 0.00076365 0.00084 0.000674 0.0004745 0.000758 0.00070135 0.00062565 0.00060025 0.00075825 0.0008243 0.0006137 0.0006702 0.0007684
6 0.00078235 0.00078545 0.00079825 0.00074765 0.0004972 0.00053165 0.000454 0.00079875 0.00069135 0.00093605 0.00063705 0.00053155 0.00078675 0.00067475 0.00044945 0.00069125 0.00076925 0.0007477 0.000776 0.0007984 0.0008112 0.0007458 0.00076205 0.0007967 0.00073195 0.0008546 0.00052175 0.0007261 0.00057905 0.00073895 0.00078545 0.00082655 0.0007728 0.0005199 0.00081695 0.0004941 0.00081335 0.0007827 0.0007045 0.00074185 0.00076505 0.00075395 0.00078875 0.0005854 0.0007323 0.00073575 0.0007825 0.0008073 0.0008186 0.0007457 0.00079985 0.0006914 0.000792 0.0005523 0.00084835 0.00065025 0.00049895 0.0007391 0.00078235 0.00054275 0.0005313 0.0008862 0.0008357 0.0007608 0.00048075 0.00081725 0.0007024 0.0007533 0.00078865 0.00083585 0.0005427 0.0007672 0.00081965 0.00075905 0.0006479 0.00068235 0.0002436 0.0007263 0.0007628 0.0008171 0.00073235 0.00081695 0.00049885 0.0007186 0.00048585 0.00074755 0.000731 0.00078685 0.000847 0.0004524 0.000579 0.00078905 0.0008375 0.00049405 0.0008311 0.0007893 0.00081605 0.0008102 0.00052215 0.0007888
7 0.00041925 0.00060155 0.00092605 0.00060155 0.00086465 0.0006821 0.00079875 0.0006206 0.00083625 0.00082405 0.00075225 0.00072955 0.00069215 0.00075 0.0006047 0.00083615 0.00071045 0.0006016 0.00083495 0.00082135 0.00038515 0.0008312 0.0007327 0.00038925 0.000892 0.0008162 0.0008479 0.000654 0.00066905 0.00065645 0.00060155 0.00072805 0.0009035 0.00085425 0.00084655 0.00054525 0.0008336 0.00060055 0.0005451 0.0007292 0.0006383 0.00085065 0.0006133 0.00086305 0.00084785 0.00049325 0.0004194 0.000699 0.00077205 0.0008311 0.0006734 0.0008363 0.0008017 0.0007411 0.00056715 0.00067465 0.0005615 0.0006566 0.00078495 0.0007572 0.00072935 0.0005671 0.000679 0.0003104 0.00083625 0.0005664 0.00081225 0.00075715 0.0006132 0.0004945 0.00075715 0.0005596 0.0006034 0.00040475 0.0007795 0.00042245 0.0008083 0.00079335 0.0007221 0.00056635 0.0008479 0.00084655 0.0005613 0.00075145 0.00085275 0.00060145 0.00051525 0.00062235 0.00079025 0.0008356 0.000669 0.0005437 0.0006893 0.0005452 0.00063125 0.00054395 0.00077155 0.00072205 0.0007784 0.00061335
8 0.0008207 0.00062845 0.0005586 0.0005874 0.000542 0.00077505 0.00069135 0.00083625 0.0007592 0.00090875 0.0005738 0.00069765 0.0006605 0.00047615 0.00080515 0.00038085 0.0006131 0.0005874 0.0004717 0.0006133 0.00083375 0.0006691 0.00052085 0.0007672 0.00038215 0.0008289 0.0006408 0.00061435 0.0007895 0.00073105 0.00062855 0.00067035 0.000524 0.00056875 0.00061365 0.00070645 0.0006641 0.00063065 0.0005885 0.0005864 0.00070305 0.0005646 0.0007295 0.00069825 0.0005218 0.00064275 0.00082085 0.0006508 0.0007394 0.000669 0.0006395 0.00038085 0.0006521 0.0007326 0.00085175 0.000582 0.00080355 0.0007312 0.00058065 0.0006143 0.00069745 0.000893 0.0007773 0.0007949 0.00049865 0.00067865 0.00044365 0.00049645 0.0007294 0.0008271 0.00061425 0.0007722 0.00081175 0.000776 0.0003818 0.0007977 0.000661 0.0005947 0.0005411 0.0006785 0.00052185 0.00061365 0.00080335 0.00050425 0.00059595 0.00058725 0.0006825 0.0006099 0.00068205 0.0005782 0.00078945 0.0006791 0.0007671 0.0007064 0.0007286 0.00067935 0.0006802 0.0007552 0.0005905 0.00072955
9 0.00088445 0.00087595 0.00089615 0.0008917 0.0009388 0.0009313 0.00093605 0.00082405 0.00090875 1e-07 0.00083225 0.0009012 0.00084065 0.0007196 0.00086425 0.0009088 0.00093655 0.00089175 0.00079395 0.0007978 0.00079885 0.0007588 0.0008079 0.0008451 0.0009454 0.0003823 0.0008823 0.0009017 0.0009152 0.0008094 0.00087595 0.0007404 0.000873 0.00090285 0.00072165 0.00090265 0.0007063 0.0008774 0.00085685 0.000863 0.00082325 0.00085425 0.00081955 0.00085025 0.00083645 0.0008486 0.0008846 0.00084165 0.00028255 0.0007587 0.00087815 0.00090895 0.00044465 0.00081725 0.0004199 0.00088555 0.00087435 0.00080955 0.0008917 0.00085215 0.000901 0.0004042 0.00083675 0.00083965 0.00095455 0.0008049 0.00089695 0.00080645 0.00081945 0.00082225 0.0008521 0.0008023 0.00088285 0.0008103 0.00087375 0.00085215 0.0009497 0.00089695 0.00080085 0.00080465 0.0008365 0.00072165 0.00087415 0.0008096 0.0009265 0.0008916 0.00070235 0.0007627 0.0007635 0.00092655 0.00091515 0.0007418 0.00082735 0.0009026 0.000834 0.00074205 0.00075215 0.00086425 0.00080465 0.0008196
