 slim_337480112 slim_337481142 slim_337483530 slim_337474059 slim_337482962 slim_337480760 slim_337466110 slim_337478751 slim_337485998 slim_337485982 slim_337485989 slim_337485968 slim_337486012 slim_337485945 slim_337486016 slim_337486006 slim_337485990 slim_337485931 slim_337486001 slim_337486011 slim_337485962 slim_337485955 slim_337486040 slim_337485924 slim_337486032 slim_337486033 slim_337485918 slim_337486023 slim_337485963 slim_337485988 slim_337486002 slim_337485953 slim_337485899 slim_337486035 slim_337485972 slim_337485947 slim_337486137 slim_337486163 slim_337486148 slim_337486074 slim_337486061 slim_337486164 slim_337486055 slim_337486149 slim_337486125 slim_337486142 slim_337486132 slim_337486155 slim_337486093 slim_337486158 slim_337486161 slim_337486109 slim_337486115 slim_337486063 slim_337486146 slim_337486102 slim_337486128 slim_337486097 slim_337486076 slim_337486144 slim_337486143 slim_337486057 slim_337486140 slim_337486096 slim_337486073 slim_337486064 slim_337486160 slim_337486127 slim_337486152 slim_337486092 slim_337486067 slim_337486159 slim_337486108 slim_337486133 slim_337486147 slim_337486053 slim_337486070 slim_337486094 slim_337486066 slim_337486119 slim_337486138 slim_337486083 slim_337486156 slim_337486072 slim_337486118 slim_337486131 slim_337486045 slim_337486153 slim_337486104 slim_337486100 slim_337486114 slim_337486139 slim_337486060 slim_337486129 slim_337486047 slim_337486122 slim_337486145 slim_337486136 slim_337486162 slim_337486081 slim_337486113 slim_337486151 slim_337486087
0 0.0008839 0.00092 0.000946 0.0008205 0.00082905 0.00081335 0.00085895 0.000858 0.00084155 0.00083835 0.0008679 0.00084015 0.00064865 0.0007991 0.0008992 0.0008701 0.0008278 0.0008648 0.00087615 0.0008421 0.0008443 0.00066055 0.0009136 0.00087625 0.00089935 0.0008795 0.0009314 0.00087605 0.00089105 0.00083385 0.00082745 0.0008333 0.0008448 0.0008422 0.000739 0.00092145 0.00083335 0.00091535 0.0008507 0.00084105 0.0008592 0.00083465 0.0008571 0.00086235 0.00080635 0.00084445 0.0008231 0.0007659 0.00085195 0.0008686 0.0009253 0.00092455 0.0007741 0.0008173 0.0008076 0.00085815 0.0008121 0.0009372 0.00086885 0.0006725 0.00084445 0.00087735 0.00084745 0.00082745 0.00083175 0.00088115 0.00090865 0.00084735 0.00089545 0.0008395 0.00086905 0.00081965 0.0008654 0.0008579 0.00091295 0.00080365 0.00067565 0.0008203 0.00084745 0.00084225 0.0008055 0.00082175 0.0008865 0.0008762 0.0009123 0.0008422 0.0008446 0.0008036 0.00088765 0.00086215 0.00083145 0.00088435 0.00084265 0.000843 0.00081685 0.0009118 0.0008806 0.0009281 0.00088625 0.0008589 0.00085305 0.0008475 0.00088195
1 0.00092 0.0008473 0.0008732 0.00079975 0.00088145 0.0007872 0.00083945 0.00081545 0.00076185 0.0008769 0.00079435 0.000774 0.00090115 0.00082375 0.000834 0.0009224 0.0008395 0.0008884 0.00080205 0.00084195 0.00085155 0.00086015 0.0007799 0.0008764 0.00086625 0.00087585 0.0008364 0.00067895 0.00083715 0.0007979 0.00082045 0.00086095 0.0008704 0.0008397 0.00086765 0.0008562 0.00086035 0.00081475 0.0008797 0.0008089 0.0007383 0.0008823 0.00084645 0.00083985 0.00084865 0.00089495 0.00088365 0.0007798 0.0008613 0.0008757 0.0008554 0.00064765 0.00084205 0.0008644 0.0008236 0.0008799 0.00083395 0.0008336 0.00074285 0.0008867 0.0008595 0.0009202 0.0009107 0.00082045 0.00081355 0.0008675 0.0008421 0.0008453 0.00086 0.0008375 0.00077845 0.0008503 0.0008946 0.0006183 0.0008031 0.00079945 0.00090715 0.000819 0.0009118 0.0007836 0.00086175 0.00075995 0.00063555 0.000879 0.0008972 0.000855 0.0008585 0.0007994 0.0008209 0.00084585 0.0008305 0.00088315 0.0008877 0.0008849 0.0008267 0.00085195 0.00084295 0.00091925 0.0008235 0.0008066 0.00077415 0.0008674 0.0008342
2 0.000946 0.0008732 0.0008197 0.00083045 0.0009077 0.00084125 0.0008379 0.00085575 0.00088795 0.00089365 0.0008611 0.0008569 0.00091535 0.0008695 0.00081115 0.00088545 0.00088605 0.00085385 0.00084045 0.00087815 0.0006831 0.00087955 0.00088195 0.00090045 0.00084875 0.0008987 0.00089425 0.0008957 0.00080825 0.0008192 0.00090355 0.0008449 0.00089275 0.00086655 0.00087285 0.0008795 0.0008683 0.00061355 0.00088465 0.0008729 0.0008598 0.000926 0.00085325 0.00087165 0.00091095 0.00088955 0.0008948 0.0008602 0.00084825 0.00088345 0.0009037 0.0008797 0.0009017 0.0008675 0.00086665 0.00091935 0.000873 0.0008738 0.0008653 0.00092375 0.00085965 0.0008869 0.0009014 0.00090355 0.00090405 0.0008495 0.0008437 0.0008872 0.000871 0.00088605 0.000909 0.00081 0.0009026 0.00090315 0.0008952 0.0009197 0.0009211 0.0009132 0.00086065 0.0007966 0.00091815 0.00088085 0.0008777 0.0008879 0.00064965 0.000835 0.00089045 0.00091965 0.0008616 0.00087635 0.00093035 0.00087515 0.0009165 0.00091075 0.000911 0.00065405 0.00086925 0.000865 0.00065785 0.00088095 0.00085665 0.00087405 0.00086045
3 0.0008205 0.00079975 0.00083045 0.0008543 0.00086295 0.0008115 0.00075055 0.0007746 0.00081095 0.000861 0.00074415 0.00073885 0.00084845 0.0008049 0.0008571 0.00085855 0.0008183 0.0008311 0.00080595 0.00082635 0.0008686 0.00078785 0.00084105 0.00083465 0.00081175 0.00084295 0.0008542 0.0008232 0.00085765 0.00082635 0.00081055 0.0006334 0.00084965 0.00080215 0.0008069 0.00082095 0.00080125 0.0007814 0.00082385 0.0008 0.00080195 0.0008154 0.00062785 0.0008425 0.00082355 0.00084445 0.00087355 0.0008116 0.00078115 0.00086225 0.0008329 0.0008353 0.00077685 0.0006572 0.00065485 0.0008595 0.000824 0.00082485 0.0007805 0.00084295 0.00081485 0.0008713 0.0008523 0.00081055 0.00082345 0.00082335 0.0008035 0.00080775 0.0008307 0.000787 0.00080045 0.00082495 0.0008637 0.00083165 0.00086675 0.00083685 0.0008726 0.00085655 0.0008383 0.00079795 0.00080715 0.00083235 0.0008039 0.0008239 0.0008268 0.00074075 0.0008611 0.0008368 0.0008261 0.0008472 0.0008263 0.0008468 0.00086505 0.0008673 0.0008187 0.00077275 0.0008174 0.0008804 0.00080185 0.0008196 0.0007581 0.0008164 0.00077235
4 0.00082905 0.00088145 0.0009077 0.00086295 0.0008159 0.0008754 0.0008285 0.00086765 0.0008808 0.00064615 0.0009187 0.0008639 0.00089055 0.0008838 0.00091705 0.00092275 0.00086365 0.0008778 0.00090935 0.00083875 0.0008871 0.00089365 0.00091125 0.00087825 0.00090975 0.00065295 0.00094855 0.0008577 0.00090735 0.0009188 0.0008728 0.0008965 0.00088665 0.0008858 0.0009018 0.00093705 0.0008756 0.00090995 0.00090805 0.00088885 0.0009097 0.00086035 0.0008905 0.00086765 0.00084325 0.0006489 0.0008559 0.00083295 0.00089895 0.00089895 0.0009051 0.00091985 0.0008574 0.0009069 0.0008983 0.0008941 0.00085855 0.000933 0.0008984 0.0008846 0.00087775 0.0006483 0.00085165 0.0008728 0.0008802 0.00087865 0.00085835 0.00092365 0.00093595 0.00087415 0.00086455 0.0008801 0.0006758 0.00089195 0.00091945 0.00086275 0.00092055 0.00086625 0.00084805 0.0008672 0.00085755 0.000879 0.00087985 0.00087265 0.0009195 0.0008491 0.0008792 0.0008627 0.00088545 0.0008982 0.0008612 0.00092455 0.0006286 0.0008439 0.00086845 0.00087985 0.00083895 0.0009134 0.0009032 0.00087985 0.0008852 0.0008583 0.00092375
5 0.00081335 0.0007872 0.00084125 0.0008115 0.0008754 0.0007498 0.00084165 0.0007402 0.00076445 0.0007528 0.0008296 0.00085885 0.000752 0.00080895 0.0006589 0.0008719 0.0007552 0.0008453 0.0008258 0.0007898 0.00082725 0.00076955 0.0007802 0.00077555 0.0008028 0.00087095 0.000733 0.0008361 0.00078475 0.0006051 0.00076815 0.0007056 0.00082965 0.0008355 0.00081375 0.0008195 0.00074805 0.00084365 0.0008269 0.0007628 0.0008353 0.00086535 0.0008069 0.0008237 0.0008707 0.0008515 0.00082875 0.00037985 0.00078865 0.0008778 0.0008355 0.0008266 0.00080865 0.00077725 0.00078245 0.00083195 0.0005219 0.00079495 0.00083775 0.00085335 0.00074065 0.0008886 0.00078125 0.00076815 0.0007233 0.0006923 0.0008468 0.00076775 0.00069275 0.00073985 0.0008263 0.0008147 0.0008796 0.00080025 0.00066715 0.000772 0.0008507 0.0007994 0.00083615 0.00079795 0.0008495 0.00060465 0.00081595 0.00085865 0.0008496 0.00082205 0.0008649 0.00077195 0.00084665 0.00084605 0.0007952 0.0007016 0.000867 0.00085705 0.00077115 0.00086635 0.0007966 0.0007426 0.00085345 0.00081115 0.0008199 0.0008318 0.0008146
6 0.00085895 0.00083945 0.0008379 0.00075055 0.0008285 0.00084165 0.0008176 0.0007722 0.00080735 0.00085725 0.0008108 0.00082135 0.00087435 0.00078885 0.0008715 0.0008908 0.00077895 0.000812 0.0008402 0.0008233 0.00081225 0.0008128 0.0008374 0.0008955 0.00086595 0.00082 0.00086445 0.0008413 0.0008613 0.00084005 0.0008238 0.00084515 0.0008542 0.0008483 0.0008033 0.0008632 0.00083035 0.00083575 0.00083825 0.00081505 0.00086635 0.0008277 0.00085935 0.0008765 0.0008833 0.0007887 0.00087605 0.00084745 0.00076325 0.0008811 0.000893 0.0008257 0.00076565 0.00082385 0.00084405 0.00089925 0.00086185 0.0008614 0.0008711 0.0008886 0.0008581 0.00083095 0.00087045 0.0008238 0.00083875 0.0007985 0.0008381 0.0008916 0.00084735 0.0008408 0.0008273 0.00085275 0.0008265 0.0008476 0.0008561 0.00083855 0.00084915 0.00083255 0.00081805 0.00084285 0.00082775 0.0008788 0.0008316 0.00087595 0.00085415 0.0006275 0.00086025 0.0008385 0.00085945 0.00083305 0.00084745 0.0008797 0.0008444 0.0008463 0.00081345 0.00083655 0.00087155 0.00083745 0.00079075 0.0008272 0.0008459 0.0008028 0.0008084
7 0.000858 0.00081545 0.00085575 0.0007746 0.00086765 0.0007402 0.0007722 0.0008168 0.00077085 0.0008322 0.0007627 0.00082525 0.00085075 0.0008174 0.0008196 0.00086335 0.00071965 0.0008417 0.00082025 0.0007939 0.00083695 0.0006455 0.0008545 0.0008364 0.00082935 0.00085045 0.00083855 0.00081625 0.00085385 0.000782 0.0007349 0.000799 0.0008413 0.00085745 0.000817 0.0008639 0.0008106 0.0008436 0.0008153 0.00062795 0.0008476 0.0008413 0.0008149 0.0008318 0.000854 0.00082645 0.00083675 0.00073785 0.00063265 0.0008387 0.0008533 0.0008174 0.0007658 0.00079575 0.0008133 0.000851 0.0007765 0.00086185 0.00087475 0.0008667 0.00084005 0.0008858 0.0008228 0.0007349 0.0007625 0.0007744 0.0008378 0.0008144 0.00076215 0.0008206 0.00084885 0.0008682 0.00086345 0.0008268 0.00080935 0.0007623 0.0008595 0.00062785 0.00082345 0.0008577 0.00083785 0.0008171 0.00082095 0.0008578 0.00087445 0.000788 0.0008217 0.00076225 0.0008932 0.0008337 0.00082865 0.0008123 0.0008594 0.00083115 0.00074195 0.0008743 0.0008098 0.0008437 0.00086635 0.00062645 0.00084825 0.00065935 0.0007634
8 0.00084155 0.00076185 0.00088795 0.00081095 0.0008808 0.00076445 0.00080735 0.00077085 0.0007695 0.0008592 0.0008363 0.0007968 0.0008497 0.00078965 0.00085535 0.00082825 0.0008016 0.00081795 0.00080955 0.0007982 0.000874 0.0008254 0.0006105 0.0008479 0.0008383 0.000869 0.0007806 0.00076805 0.0008786 0.0007821 0.0007568 0.000814 0.00077735 0.00080825 0.0007905 0.0008218 0.0007953 0.00081955 0.0008042 0.0008471 0.00082945 0.00083055 0.0008124 0.0008314 0.0008738 0.00087175 0.00083955 0.000783 0.00084705 0.0008187 0.0008048 0.0008062 0.0006004 0.0007952 0.00083745 0.00082415 0.00081835 0.00080065 0.0008365 0.00084815 0.0008615 0.00089255 0.00078705 0.0007568 0.00075705 0.00081835 0.0008476 0.0007934 0.00083515 0.00077205 0.00061335 0.00083915 0.00086035 0.00085255 0.0006026 0.0008233 0.00084055 0.0008185 0.00084495 0.0008381 0.00083965 0.00084755 0.00079395 0.0008433 0.0008592 0.00081995 0.0008175 0.00082325 0.00086235 0.000838 0.00080795 0.0008274 0.00086765 0.0007234 0.0007924 0.00086435 0.00083035 0.00088135 0.00084055 0.0007921 0.0007945 0.000801 0.0008489
9 0.00083835 0.0008769 0.00089365 0.000861 0.00064615 0.0007528 0.00085725 0.0008322 0.0008592 0.0008093 0.0009216 0.00087285 0.0006261 0.00087835 0.00086545 0.000926 0.0008249 0.00087615 0.00088695 0.00084225 0.0008674 0.0008474 0.00091065 0.0006462 0.0009028 0.00088805 0.0009093 0.00087115 0.0008837 0.00082395 0.00080505 0.000617 0.00082525 0.00081785 0.00086595 0.00087915 0.0006369 0.00088785 0.00083795 0.00085335 0.00079335 0.00088555 0.0008529 0.00085845 0.00087235 0.00086795 0.000865 0.00069485 0.0008556 0.00088875 0.0008803 0.0008589 0.0008483 0.00085005 0.0008443 0.0008864 0.0005574 0.0008949 0.00089905 0.00086205 0.00059505 0.0008856 0.00064225 0.00080505 0.0008156 0.00084985 0.00088775 0.00090925 0.0008856 0.0006737 0.0008952 0.0008194 0.0008618 0.000861 0.0008908 0.0008307 0.00084545 0.0008381 0.00083815 0.00085145 0.0008589 0.0007124 0.00087025 0.0008232 0.0008648 0.0007892 0.0008737 0.00083065 0.00088465 0.00087315 0.0008175 0.0008432 0.0008553 0.0008551 0.00083695 0.0008893 0.0008869 0.00087875 0.0008822 0.0008647 0.00089165 0.0007872 0.00091665
