 slim_762325003 slim_762324971 slim_762324999 slim_762324977 slim_762325010 slim_762324985 slim_762324978 slim_762325000 slim_762324998 slim_762324986 slim_762325007 slim_762324989 slim_762325011 slim_762324970 slim_762325005 slim_762324983 slim_762324972 slim_762324995 slim_762324993 slim_762324984 slim_762325008 slim_762324974 slim_762324980 slim_762325009 slim_762325012 slim_762325014 slim_762324997 slim_762324990 slim_762324994 slim_762324979 slim_762325002 slim_762324981 slim_762324991 slim_762324988 slim_762325006 slim_762324987 slim_762325001 slim_762324976 slim_762325004 slim_762324973 slim_762324992 slim_762324996 slim_762324982 slim_762325013 slim_762324975 slim_762324969
0 2.4e-06 1.6e-06 1.7e-06 1.3e-06 1.4e-06 1.85e-06 1.3e-06 2.45e-06 1.35e-06 1.35e-06 2.1e-06 1.5e-06 1.45e-06 1.5e-06 2.45e-06 2.2e-06 2.7e-06 1.65e-06 1.95e-06 2.65e-06 1.95e-06 2e-06 2.05e-06 2.7e-06 1.75e-06 1.65e-06 1.9e-06 1.9e-06 2.15e-06 1.9e-06 1.95e-06 1.85e-06 2.05e-06 2.6e-06 1.35e-06 2.25e-06 2e-06 2.15e-06 1.95e-06 1.45e-06 1.55e-06 2.3e-06 1.4e-06 2.5e-06 2.2e-06 2.1e-06
1 1.6e-06 1.3e-06 1.85e-06 1.2e-06 1.7e-06 1.6e-06 1.75e-06 2.35e-06 1.4e-06 1.8e-06 2.5e-06 1e-06 1.15e-06 1.35e-06 2.3e-06 2.25e-06 3.1e-06 1.9e-06 2.25e-06 3.25e-06 2e-06 1.75e-06 2.4e-06 3.1e-06 1.6e-06 1e-06 2.55e-06 1.2e-06 2e-06 2.2e-06 2.25e-06 2.5e-06 2.4e-06 3.15e-06 1.85e-06 2.25e-06 2.35e-06 2e-06 1.95e-06 1.15e-06 1.15e-06 2.9e-06 1.35e-06 2.75e-06 2.15e-06 2.25e-06
2 1.7e-06 1.85e-06 1.8e-06 1.45e-06 1.7e-06 1.85e-06 1.65e-06 1.9e-06 1.7e-06 1.7e-06 2.15e-06 1.65e-06 1.9e-06 1.4e-06 2.25e-06 2.25e-06 2.05e-06 1.55e-06 1.65e-06 2.65e-06 2e-06 1.5e-06 1.75e-06 2.55e-06 1.8e-06 1.65e-06 2.15e-06 1.75e-06 1.8e-06 1.6e-06 1.7e-06 2.1e-06 2.1e-06 2.3e-06 1.5e-06 1.9e-06 1.8e-06 1.8e-06 1.75e-06 1.55e-06 1.6e-06 2.55e-06 1.7e-06 2.6e-06 1.95e-06 1.9e-06
3 1.3e-06 1.2e-06 1.45e-06 1.8e-06 1.1e-06 1.45e-06 1e-06 2.2e-06 1.15e-06 1.05e-06 1.95e-06 1.2e-06 1.15e-06 1.15e-06 2.25e-06 2.15e-06 2.75e-06 1.85e-06 1.8e-06 2.9e-06 1.9e-06 1.75e-06 1.95e-06 2.85e-06 1.35e-06 1.25e-06 1.9e-06 1.4e-06 1.95e-06 1.75e-06 1.8e-06 1.85e-06 1.95e-06 2.8e-06 1.1e-06 2.05e-06 1.85e-06 1.95e-06 1.85e-06 1.05e-06 1.25e-06 2.3e-06 1.5e-06 2.45e-06 2.1e-06 1.9e-06
4 1.4e-06 1.7e-06 1.7e-06 1.1e-06 3e-07 1.5e-06 3e-07 2.65e-06 9.5e-07 3.5e-07 1.65e-06 1.9e-06 7e-07 1.4e-06 2.8e-06 2.65e-06 2.9e-06 2.3e-06 1.5e-06 3.05e-06 2.4e-06 2.35e-06 2.1e-06 3.1e-06 1.35e-06 1.9e-06 1.65e-06 2.3e-06 2.5e-06 1.45e-06 1.5e-06 1.6e-06 1.65e-06 2.95e-06 6e-07 2.45e-06 1.5e-06 2.5e-06 2.15e-06 1.1e-06 1.85e-06 2.05e-06 2.15e-06 2.25e-06 2.65e-06 2.15e-06
5 1.85e-06 1.6e-06 1.85e-06 1.45e-06 1.5e-06 2.3e-06 1.55e-06 1.85e-06 1.55e-06 1.6e-06 1.95e-06 1.6e-06 1.5e-06 1.6e-06 2e-06 2.15e-06 2.3e-06 2.2e-06 1.8e-06 2.55e-06 1.9e-06 1.75e-06 2.05e-06 2.6e-06 1.45e-06 1.65e-06 2e-06 1.5e-06 1.95e-06 1.75e-06 1.9e-06 1.95e-06 2.05e-06 2.35e-06 1.65e-06 1.8e-06 1.85e-06 1.95e-06 2.15e-06 1.5e-06 1.4e-06 2e-06 1.95e-06 2.05e-06 2.1e-06 2e-06
6 1.3e-06 1.75e-06 1.65e-06 1e-06 3e-07 1.55e-06 3e-07 2.65e-06 9.5e-07 2.5e-07 1.65e-06 1.9e-06 8.5e-07 1.4e-06 2.8e-06 2.65e-06 2.9e-06 2.3e-06 1.5e-06 3.05e-06 2.4e-06 2.35e-06 2.1e-06 3.1e-06 1.35e-06 1.9e-06 1.55e-06 2.3e-06 2.5e-06 1.45e-06 1.5e-06 1.5e-06 1.65e-06 2.95e-06 5e-07 2.45e-06 1.5e-06 2.5e-06 2.15e-06 1.1e-06 1.85e-06 2e-06 2.15e-06 2.3e-06 2.65e-06 2.15e-06
7 2.45e-06 2.35e-06 1.9e-06 2.2e-06 2.65e-06 1.85e-06 2.65e-06 1.8e-06 2.45e-06 2.7e-06 2.3e-06 2.15e-06 2.6e-06 2.15e-06 1.6e-06 2.1e-06 1.3e-06 2.15e-06 1.85e-06 2.05e-06 1.9e-06 1.45e-06 2e-06 2.15e-06 1.85e-06 2.15e-06 2.25e-06 1.55e-06 1.7e-06 1.8e-06 1.95e-06 2.2e-06 2.4e-06 1.5e-06 2.5e-06 1.85e-06 2e-06 1.7e-06 2.35e-06 2.3e-06 2.15e-06 1.8e-06 2.2e-06 2.05e-06 1.85e-06 1.75e-06
8 1.35e-06 1.4e-06 1.7e-06 1.15e-06 9.5e-07 1.55e-06 9.5e-07 2.45e-06 1.7e-06 1e-06 2.05e-06 1.15e-06 1.05e-06 1.35e-06 2.55e-06 2.35e-06 2.85e-06 1.9e-06 1.8e-06 2.95e-06 2.1e-06 2.05e-06 2.15e-06 2.95e-06 1.5e-06 1.4e-06 1.95e-06 1.8e-06 2.15e-06 1.75e-06 1.8e-06 1.9e-06 1.95e-06 2.85e-06 1.1e-06 2.3e-06 1.85e-06 2.15e-06 1.75e-06 1.2e-06 1.2e-06 2.35e-06 1.65e-06 2.4e-06 2.25e-06 2.1e-06
9 1.35e-06 1.8e-06 1.7e-06 1.05e-06 3.5e-07 1.6e-06 2.5e-07 2.7e-06 1e-06 4e-07 1.65e-06 1.95e-06 9e-07 1.45e-06 2.85e-06 2.7e-06 2.95e-06 2.35e-06 1.5e-06 3.1e-06 2.45e-06 2.4e-06 2.15e-06 3.15e-06 1.4e-06 1.95e-06 1.6e-06 2.35e-06 2.55e-06 1.5e-06 1.55e-06 1.55e-06 1.65e-06 3e-06 5.5e-07 2.5e-06 1.55e-06 2.55e-06 2.2e-06 1.15e-06 1.9e-06 2.05e-06 2.2e-06 2.35e-06 2.7e-06 2.2e-06
