generation	Nc
179800	4145
179850	4202
179900	4289
179950	4260
180000	61
180005	48
180010	58
180015	50
180020	115
180025	100
180030	126
180035	110
180040	131
180045	108
180050	111
180100	110
180150	104
180200	112
180250	108
180300	123
180350	121
180400	94
180450	115
180500	89
180550	120
180600	92
180650	108
180700	120
180750	110
180800	106
180850	112
180900	99
180950	109
181000	126
181050	117
181100	116
181150	116
181200	110
181250	108
181300	136
181350	128
181400	112
181450	111
181500	109
181550	134
181600	107
181650	102
181700	120
181750	125
181800	116
181850	120
181900	129
181950	118
182000	110
182050	96
182100	112
182150	107
182200	124
182250	138
182300	113
182350	132
182400	117
182450	95
182500	99
182550	111
182600	120
182650	128
182700	122
182750	120
182800	113
182850	116
182900	111
182950	121
183000	130
183050	113
183100	121
183150	91
183200	122
183250	107
183300	100
183350	109
183400	124
183450	115
183500	130
183550	114
183600	107
183650	113
183700	107
183750	101
183800	117
183850	97
183900	114
183950	106
184000	96
184050	126
184100	113
184150	85
184200	118
184250	116
184300	83
184350	107
184400	103
184450	108
184500	125
184550	103
184600	119
184650	114
184700	125
184750	120
184800	128
184850	111
184900	114
184950	107
185000	115
185050	106
185100	127
185150	105
185200	100
185250	129
185300	119
185350	95
185400	113
185450	92
185500	112
185550	138
185600	108
185650	110
185700	104
185750	111
185800	114
185850	134
185900	106
185950	115
186000	96
186050	111
186100	134
186150	137
186200	108
186250	104
186300	131
186350	110
186400	108
186450	102
186500	114
186550	90
186600	97
186650	137
186700	113
186750	110
186800	108
186850	114
186900	126
186950	111
187000	122
187050	114
187100	113
187150	116
187200	107
187250	115
187300	105
187350	123
187400	117
187450	114
187500	126
187550	100
187600	121
187650	127
187700	114
187750	101
187800	116
187850	103
187900	105
187950	100
188000	121
188050	114
188100	116
188150	124
188200	110
188250	113
188300	99
188350	116
188400	97
188450	116
188500	111
188550	113
188600	97
188650	121
188700	125
188750	105
188800	108
188850	125
188900	98
188950	108
189000	127
189050	121
189100	112
189150	110
189200	110
189250	113
189300	96
189350	112
189400	121
189450	121
189500	132
189550	110
189600	135
189650	103
189700	118
189750	124
189800	105
189850	115
189900	98
189950	106
190000	133
