generation	Nc	average_age	max_age
179800	7475	3.9687	45
179850	7429	4.00565	51
179900	7569	4.02656	38
179950	7500	4.04667	43
180000	90	4.42222	20
180005	95	4.75789	24
180010	94	3.58511	19
180015	89	4.03371	21
180020	95	3.6	17
180025	94	3.3617	19
180030	111	3.46847	24
180035	85	3.55294	13
180040	106	3.78302	16
180045	101	3.41584	20
180050	107	3.63551	25
180100	92	3.63043	17
180150	97	3.87629	24
180200	107	3.28972	21
180250	97	3.4433	21
180300	89	4.47191	18
180350	99	3.47475	19
180400	85	4.76471	21
180450	103	3.30097	12
180500	95	4.23158	20
180550	115	3.90435	23
180600	97	4.29897	23
180650	94	4.19149	19
180700	95	3.95789	17
180750	107	3.64486	21
180800	98	3.92857	23
180850	108	3.78704	20
180900	111	3.41441	18
180950	111	4.30631	21
181000	99	3.73737	15
181050	94	4.64894	27
181100	117	3.88889	20
181150	113	3.55752	16
181200	104	3.27885	23
181250	105	4.47619	24
181300	95	4.95789	26
181350	99	4.86869	20
181400	99	3.63636	18
181450	102	3.92157	21
181500	79	4.29114	26
181550	90	4.92222	32
181600	96	3.47917	22
181650	100	5.26	34
181700	97	3.97938	20
181750	96	4.375	31
181800	82	4.63415	19
181850	108	4.5	25
181900	95	4.15789	17
181950	93	3.4086	22
182000	99	4.72727	23
182050	98	3.96939	29
182100	94	4.62766	23
182150	111	4.58559	24
182200	97	3.47423	19
182250	107	3.81308	28
182300	94	3.46809	17
182350	89	3.47191	23
182400	104	4.25	28
182450	106	4.33962	23
182500	101	2.9604	15
182550	102	4.02941	27
182600	105	4.20952	19
182650	109	4.11927	21
182700	100	4.35	19
182750	94	3.82979	22
182800	105	4.14286	25
182850	86	3.95349	31
182900	107	4.23364	24
182950	99	4.44444	24
183000	94	4.68085	15
183050	105	4.05714	26
183100	97	4.06186	24
183150	99	3.40404	20
183200	94	4.8617	23
183250	87	4.52874	20
183300	95	3.94737	22
183350	102	3.86275	22
183400	96	4.65625	25
183450	105	3.87619	24
183500	92	4.09783	19
183550	110	3.50909	20
183600	103	3.49515	25
183650	98	3.46939	20
183700	92	4.53261	46
183750	97	4.08247	34
183800	100	4.34	25
183850	94	4.09574	22
183900	100	3.77	19
183950	104	3.28846	15
184000	103	4.42718	26
184050	103	4.29126	23
184100	101	3.51485	17
184150	100	3.88	20
184200	98	4.56122	33
184250	98	3.38776	17
184300	98	4.37755	31
184350	108	3.76852	25
184400	99	3.91919	27
184450	106	4.40566	34
184500	96	4.16667	21
184550	110	4.17273	28
184600	91	4.41758	27
184650	100	4.02	32
184700	100	3.8	20
184750	105	4.42857	27
184800	98	4.18367	23
184850	104	4.72115	29
184900	94	4.02128	28
184950	101	3.73267	28
185000	100	3.79	28
185050	110	3.76364	18
185100	85	4.04706	27
185150	108	3.68519	23
185200	104	4.25	23
185250	103	3.52427	17
185300	89	4.10112	30
185350	99	3.94949	33
185400	106	4.08491	29
185450	93	3.94624	19
185500	108	4.35185	20
185550	101	4.29703	17
185600	100	4.79	21
185650	97	4.37113	23
185700	104	3.77885	26
185750	98	3.73469	27
185800	101	4.29703	26
185850	101	3.54455	17
185900	93	3.78495	20
185950	103	3.79612	32
186000	104	4.16346	22
186050	91	4.01099	30
186100	106	5.00943	39
186150	96	4.625	23
186200	108	4.51852	25
186250	100	3.8	26
186300	91	3.31868	16
186350	102	3.64706	21
186400	99	3.83838	21
186450	110	3.26364	18
186500	108	3.83333	16
186550	97	4.02062	35
186600	105	3.99048	18
186650	98	3.79592	20
186700	101	4.05941	18
186750	101	4.75248	23
186800	99	3.48485	18
186850	96	3.80208	31
186900	94	4.43617	23
186950	100	4.51	18
187000	100	4.93	29
187050	104	3.66346	20
187100	108	4.0463	22
187150	98	3.5102	20
187200	99	4.33333	26
187250	99	3.50505	23
187300	90	4.52222	19
187350	96	3.72917	17
187400	97	3.3299	16
187450	104	4.05769	22
187500	101	3.42574	21
187550	110	4.36364	25
187600	101	3.64356	16
187650	106	4	26
187700	102	4.67647	25
187750	104	3.81731	23
187800	105	3.4381	22
187850	102	4.36275	19
187900	90	3.52222	19
187950	96	4.125	34
188000	107	4.35514	29
188050	84	3.94048	19
188100	104	3.51923	14
188150	100	4.62	31
188200	95	4.62105	24
188250	106	4.33962	27
188300	99	4.17172	22
188350	97	3.85567	14
188400	105	4.09524	26
188450	99	3.76768	20
188500	104	4.10577	16
188550	96	3.48958	23
188600	108	5.61111	28
188650	101	2.9703	14
188700	95	4.16842	21
188750	113	4.38938	22
188800	97	4.42268	19
188850	106	3.0566	14
188900	101	3.76238	31
188950	96	3.70833	22
189000	90	4.52222	19
189050	103	3.60194	21
189100	109	3.62385	24
189150	102	3.48039	20
189200	99	3.56566	17
189250	101	3.57426	15
189300	97	5.1134	34
189350	98	4.72449	20
189400	105	3.06667	25
189450	104	4.19231	31
189500	92	4.6413	24
189550	104	4.875	28
189600	97	3.94845	28
189650	100	4.25	23
189700	97	4.34021	18
189750	100	3.38	14
189800	109	3.2844	19
189850	104	4.25962	28
189900	93	3.41935	18
189950	95	4.56842	21
190000	93	4.39785	28
