generation	Nc
179800	4195
179850	4236
179900	4304
179950	4216
180000	45
180005	70
180010	39
180015	64
180020	107
180025	123
180030	95
180035	114
180040	139
180045	106
180050	110
180100	115
180150	111
180200	116
180250	117
180300	113
180350	113
180400	102
180450	109
180500	123
180550	98
180600	113
180650	108
180700	103
180750	117
180800	110
180850	113
180900	139
180950	112
181000	122
181050	132
181100	103
181150	112
181200	117
181250	130
181300	123
181350	115
181400	116
181450	117
181500	122
181550	118
181600	112
181650	112
181700	131
181750	123
181800	109
181850	113
181900	126
181950	121
182000	118
182050	130
182100	103
182150	127
182200	105
182250	131
182300	113
182350	121
182400	132
182450	104
182500	94
182550	119
182600	125
182650	123
182700	122
182750	101
182800	107
182850	107
182900	114
182950	108
183000	116
183050	115
183100	113
183150	104
183200	113
183250	117
183300	120
183350	117
183400	107
183450	120
183500	131
183550	120
183600	103
183650	129
183700	137
183750	114
183800	105
183850	101
183900	116
183950	115
184000	110
184050	105
184100	106
184150	122
184200	118
184250	95
184300	123
184350	113
184400	114
184450	102
184500	122
184550	103
184600	123
184650	111
184700	107
184750	103
184800	107
184850	94
184900	119
184950	80
185000	115
185050	113
185100	100
185150	117
185200	102
185250	116
185300	111
185350	135
185400	114
185450	107
185500	111
185550	120
185600	105
185650	107
185700	104
185750	106
185800	115
185850	126
185900	124
185950	112
186000	108
186050	118
186100	113
186150	108
186200	112
186250	119
186300	122
186350	121
186400	136
186450	115
186500	128
186550	107
186600	95
186650	98
186700	129
186750	101
186800	106
186850	118
186900	107
186950	122
187000	122
187050	114
187100	106
187150	103
187200	94
187250	109
187300	127
187350	99
187400	115
187450	112
187500	120
187550	139
187600	123
187650	100
187700	98
187750	125
187800	122
187850	106
187900	122
187950	112
188000	97
188050	108
188100	120
188150	115
188200	111
188250	127
188300	120
188350	101
188400	107
188450	126
188500	119
188550	98
188600	126
188650	96
188700	113
188750	125
188800	146
188850	116
188900	114
188950	120
189000	115
189050	113
189100	116
189150	112
189200	123
189250	116
189300	118
189350	105
189400	114
189450	104
189500	110
189550	121
189600	110
189650	118
189700	120
189750	112
189800	114
189850	135
189900	98
189950	99
190000	105
