generation	Nc
179800	4287
179850	4148
179900	4256
179950	4296
180000	50
180005	47
180010	60
180015	55
180020	105
180025	107
180030	100
180035	114
180040	98
180045	120
180050	129
180100	118
180150	129
180200	108
180250	107
180300	102
180350	121
180400	125
180450	123
180500	110
180550	105
180600	116
180650	104
180700	110
180750	123
180800	105
180850	129
180900	107
180950	121
181000	108
181050	107
181100	104
181150	117
181200	120
181250	102
181300	94
181350	106
181400	102
181450	107
181500	127
181550	113
181600	107
181650	115
181700	105
181750	106
181800	125
181850	113
181900	84
181950	114
182000	90
182050	118
182100	103
182150	102
182200	112
182250	109
182300	118
182350	108
182400	121
182450	123
182500	121
182550	111
182600	129
182650	118
182700	105
182750	106
182800	121
182850	128
182900	119
182950	120
183000	94
183050	114
183100	118
183150	104
183200	105
183250	122
183300	118
183350	117
183400	94
183450	116
183500	109
183550	97
183600	102
183650	117
183700	98
183750	111
183800	112
183850	114
183900	105
183950	102
184000	122
184050	117
184100	120
184150	108
184200	102
184250	107
184300	106
184350	99
184400	96
184450	118
184500	124
184550	113
184600	120
184650	118
184700	111
184750	106
184800	115
184850	119
184900	109
184950	105
185000	135
185050	115
185100	123
185150	109
185200	106
185250	95
185300	111
185350	115
185400	134
185450	115
185500	110
185550	110
185600	120
185650	104
185700	126
185750	110
185800	122
185850	111
185900	119
185950	116
186000	112
186050	100
186100	118
186150	95
186200	116
186250	115
186300	96
186350	129
186400	118
186450	110
186500	116
186550	106
186600	118
186650	131
186700	121
186750	94
186800	97
186850	122
186900	112
186950	104
187000	112
187050	114
187100	103
187150	120
187200	117
187250	125
187300	121
187350	119
187400	109
187450	121
187500	144
187550	116
187600	74
187650	115
187700	105
187750	94
187800	101
187850	111
187900	104
187950	108
188000	122
188050	122
188100	134
188150	107
188200	106
188250	124
188300	114
188350	132
188400	101
188450	92
188500	122
188550	121
188600	98
188650	101
188700	108
188750	115
188800	112
188850	104
188900	102
188950	117
189000	135
189050	118
189100	119
189150	119
189200	117
189250	119
189300	115
189350	113
189400	128
189450	119
189500	113
189550	111
189600	119
189650	112
189700	103
189750	123
189800	126
189850	97
189900	116
189950	109
190000	108
