generation	Nc
179800	4250
179850	4245
179900	4234
179950	4167
180000	60
180005	61
180010	62
180015	62
180020	125
180025	116
180030	109
180035	117
180040	122
180045	115
180050	110
180100	110
180150	110
180200	102
180250	127
180300	108
180350	95
180400	118
180450	121
180500	106
180550	100
180600	111
180650	110
180700	118
180750	107
180800	130
180850	117
180900	117
180950	118
181000	108
181050	124
181100	111
181150	103
181200	115
181250	106
181300	94
181350	118
181400	120
181450	125
181500	119
181550	119
181600	109
181650	114
181700	105
181750	102
181800	118
181850	118
181900	135
181950	124
182000	112
182050	126
182100	121
182150	102
182200	103
182250	114
182300	95
182350	121
182400	129
182450	111
182500	113
182550	124
182600	131
182650	105
182700	101
182750	115
182800	121
182850	101
182900	105
182950	105
183000	122
183050	111
183100	118
183150	111
183200	124
183250	115
183300	118
183350	115
183400	106
183450	114
183500	115
183550	106
183600	130
183650	113
183700	118
183750	118
183800	120
183850	134
183900	106
183950	114
184000	102
184050	116
184100	99
184150	96
184200	87
184250	121
184300	100
184350	120
184400	112
184450	108
184500	110
184550	96
184600	111
184650	110
184700	105
184750	116
184800	115
184850	101
184900	112
184950	128
185000	112
185050	121
185100	107
185150	138
185200	118
185250	100
185300	102
185350	117
185400	113
185450	113
185500	111
185550	110
185600	105
185650	109
185700	101
185750	113
185800	108
185850	128
185900	114
185950	110
186000	116
186050	107
186100	127
186150	124
186200	124
186250	110
186300	95
186350	115
186400	112
186450	105
186500	99
186550	124
186600	119
186650	95
186700	108
186750	137
186800	94
186850	113
186900	140
186950	115
187000	108
187050	115
187100	137
187150	118
187200	109
187250	116
187300	110
187350	97
187400	112
187450	110
187500	111
187550	104
187600	97
187650	129
187700	107
187750	109
187800	92
187850	106
187900	127
187950	105
188000	116
188050	106
188100	129
188150	127
188200	107
188250	102
188300	129
188350	120
188400	114
188450	121
188500	98
188550	139
188600	105
188650	111
188700	106
188750	101
188800	114
188850	98
188900	106
188950	129
189000	117
189050	124
189100	88
189150	121
189200	109
189250	116
189300	114
189350	112
189400	120
189450	106
189500	106
189550	107
189600	104
189650	108
189700	112
189750	109
189800	100
189850	115
189900	108
189950	94
190000	124
