generation	Nc	average_age	max_age
179800	7411	3.93631	51
179850	7467	4.04674	40
179900	7445	4.01142	45
179950	7533	3.98009	44
180000	99	5.68687	22
180005	99	4.82828	22
180010	101	4.0396	23
180015	104	4.15385	24
180020	91	3.04396	14
180025	104	3.40385	16
180030	95	4.04211	20
180035	102	3.4902	18
180040	99	3.81818	14
180045	109	4.04587	19
180050	111	4.26126	24
180100	104	3.92308	14
180150	107	4.33645	26
180200	95	3.62105	20
180250	97	3.85567	20
180300	89	3.13483	16
180350	107	4.09346	20
180400	99	4.18182	28
180450	103	3.60194	20
180500	96	4.5	24
180550	94	4.81915	22
180600	100	3.43	24
180650	91	3.58242	21
180700	95	2.94737	22
180750	99	4.67677	26
180800	101	3.57426	19
180850	100	4.44	20
180900	104	4.68269	26
180950	88	3.47727	17
181000	89	4	15
181050	95	4.22105	33
181100	103	3.73786	23
181150	94	3.89362	13
181200	89	4.04494	16
181250	111	4.64865	29
181300	99	4.13131	27
181350	109	4.11009	43
181400	102	3.40196	20
181450	95	4.26316	24
181500	99	3.24242	26
181550	98	3.85714	21
181600	105	4.30476	26
181650	97	4.73196	25
181700	108	4.97222	37
181750	95	3.73684	27
181800	101	3.86139	23
181850	101	3.72277	16
181900	99	4.36364	28
181950	100	4.08	36
182000	95	3.6	15
182050	91	3.87912	27
182100	97	3.63918	16
182150	103	3.97087	24
182200	97	3.96907	18
182250	106	4.16981	26
182300	111	5.05405	30
182350	104	4.19231	27
182400	97	3.64948	12
182450	97	3.84536	23
182500	96	4.52083	25
182550	103	3.92233	19
182600	102	4.45098	23
182650	90	4.53333	16
182700	101	3.87129	18
182750	102	2.89216	22
182800	105	4.21905	21
182850	98	4.06122	21
182900	98	3.5	20
182950	84	3.21429	19
183000	105	3.80952	17
183050	99	3.58586	23
183100	94	3.64894	34
183150	97	3.51546	20
183200	101	3.77228	18
183250	99	4.07071	19
183300	98	4.67347	35
183350	93	4.04301	24
183400	98	4.21429	35
183450	107	4.23364	28
183500	99	3.66667	24
183550	101	3.68317	17
183600	108	3.89815	15
183650	103	3.87379	45
183700	114	4.69298	24
183750	105	4.15238	22
183800	102	3.5098	23
183850	113	4.43363	25
183900	92	3.8913	17
183950	96	3.9375	18
184000	91	4.04396	33
184050	111	4.38739	26
184100	95	4.47368	19
184150	106	3.96226	30
184200	98	4.03061	16
184250	96	4.16667	23
184300	106	3.72642	16
184350	98	4.17347	28
184400	98	4.15306	28
184450	103	3.7767	20
184500	90	3.32222	23
184550	101	4	19
184600	92	4.79348	27
184650	109	3.69725	21
184700	93	4.04301	21
184750	100	4.33	24
184800	102	3.83333	21
184850	105	4.3619	21
184900	94	4.39362	27
184950	117	3.90598	24
185000	103	3.64078	21
185050	97	5.05155	22
185100	102	3.93137	23
185150	96	3.88542	18
185200	112	4.16071	23
185250	98	4.35714	17
185300	99	4.06061	21
185350	101	4.55446	25
185400	93	3.84946	27
185450	102	4.2451	26
185500	109	3.15596	14
185550	109	3.59633	19
185600	100	5.23	19
185650	98	4.31633	30
185700	101	3.55446	16
185750	98	3.67347	19
185800	91	4.46154	17
185850	105	4.2381	24
185900	101	4.44554	28
185950	99	4.57576	19
186000	104	4.01923	23
186050	104	3.75962	17
186100	99	3.47475	15
186150	97	3.53608	20
186200	90	4.23333	20
186250	96	4.01042	33
186300	92	3.34783	21
186350	95	4.67368	31
186400	99	3.89899	16
186450	94	4.32979	23
186500	112	3.9375	22
186550	102	4.48039	35
186600	103	4.09709	15
186650	98	4.06122	25
186700	95	3.95789	24
186750	93	4.31183	26
186800	105	4.57143	26
186850	101	3.37624	20
186900	94	4.59574	34
186950	92	4.3913	22
187000	106	4.11321	22
187050	99	3.23232	18
187100	92	4.69565	26
187150	92	3.83696	24
187200	100	4.33	17
187250	102	3.16667	14
187300	95	3.58947	19
187350	94	4.01064	28
187400	107	4.4486	30
187450	98	4.52041	23
187500	106	3.76415	34
187550	97	4.84536	31
187600	93	4.3871	23
187650	106	4.06604	29
187700	94	4.03191	29
187750	96	3.55208	18
187800	104	3.42308	20
187850	92	4.56522	22
187900	114	3.40351	19
187950	98	4.26531	23
188000	86	4.24419	28
188050	101	3.9703	29
188100	93	3.96774	17
188150	98	4.41837	20
188200	100	3.55	15
188250	100	3.75	28
188300	104	3.94231	23
188350	96	3.73958	18
188400	103	4.08738	21
188450	102	3.7451	16
188500	102	3.45098	27
188550	102	3.92157	28
188600	96	4.17708	19
188650	105	3.70476	24
188700	106	3.88679	21
188750	118	3.58475	28
188800	96	4.48958	31
188850	93	4.06452	18
188900	99	3.49495	16
188950	98	4.12245	38
189000	93	3.58065	14
189050	106	3.5283	16
189100	90	3.64444	19
189150	98	3.31633	15
189200	101	3.88119	21
189250	96	4.1875	25
189300	91	4.45055	21
189350	107	5.3271	23
189400	89	5.22472	35
189450	101	3.82178	23
189500	107	3.7757	15
189550	105	4.30476	23
189600	111	3.90991	19
189650	101	3.43564	27
189700	95	4.47368	28
189750	101	3.58416	23
189800	97	3.62887	18
189850	93	3.60215	25
189900	105	5.09524	21
189950	94	4.34043	32
190000	91	4.2967	19
