generation	Nc
179800	4355
179850	4228
179900	4369
179950	4215
180000	65
180005	60
180010	60
180015	52
180020	114
180025	99
180030	134
180035	105
180040	123
180045	99
180050	102
180100	108
180150	119
180200	115
180250	121
180300	117
180350	120
180400	123
180450	118
180500	113
180550	122
180600	94
180650	105
180700	136
180750	114
180800	124
180850	132
180900	109
180950	113
181000	116
181050	117
181100	112
181150	134
181200	118
181250	118
181300	112
181350	124
181400	94
181450	127
181500	109
181550	95
181600	107
181650	117
181700	141
181750	119
181800	101
181850	118
181900	122
181950	133
182000	101
182050	109
182100	115
182150	133
182200	93
182250	98
182300	114
182350	108
182400	121
182450	111
182500	104
182550	123
182600	120
182650	129
182700	128
182750	82
182800	101
182850	123
182900	97
182950	88
183000	126
183050	125
183100	96
183150	114
183200	124
183250	97
183300	120
183350	125
183400	98
183450	104
183500	109
183550	116
183600	133
183650	104
183700	120
183750	102
183800	131
183850	116
183900	110
183950	123
184000	108
184050	121
184100	118
184150	125
184200	86
184250	107
184300	106
184350	100
184400	125
184450	116
184500	121
184550	110
184600	126
184650	105
184700	107
184750	114
184800	125
184850	105
184900	96
184950	111
185000	98
185050	132
185100	111
185150	116
185200	97
185250	119
185300	121
185350	121
185400	99
185450	133
185500	121
185550	99
185600	105
185650	123
185700	111
185750	108
185800	99
185850	111
185900	110
185950	135
186000	112
186050	128
186100	92
186150	113
186200	117
186250	116
186300	109
186350	115
186400	119
186450	120
186500	123
186550	113
186600	108
186650	116
186700	137
186750	101
186800	112
186850	115
186900	104
186950	128
187000	120
187050	102
187100	127
187150	117
187200	99
187250	113
187300	122
187350	128
187400	107
187450	108
187500	103
187550	104
187600	123
187650	117
187700	103
187750	109
187800	111
187850	112
187900	88
187950	97
188000	109
188050	112
188100	102
188150	105
188200	104
188250	108
188300	103
188350	99
188400	113
188450	124
188500	127
188550	118
188600	108
188650	100
188700	116
188750	96
188800	120
188850	118
188900	110
188950	123
189000	118
189050	98
189100	114
189150	104
189200	124
189250	124
189300	120
189350	104
189400	108
189450	115
189500	111
189550	141
189600	106
189650	111
189700	111
189750	110
189800	120
189850	123
189900	127
189950	116
190000	129
