generation	Nc
179800	4217
179850	4252
179900	4291
179950	4270
180000	61
180005	59
180010	62
180015	48
180020	91
180025	112
180030	96
180035	110
180040	106
180045	97
180050	108
180100	120
180150	118
180200	119
180250	115
180300	111
180350	98
180400	100
180450	108
180500	111
180550	108
180600	98
180650	111
180700	118
180750	127
180800	125
180850	111
180900	110
180950	118
181000	116
181050	130
181100	110
181150	98
181200	110
181250	106
181300	105
181350	99
181400	117
181450	124
181500	117
181550	123
181600	121
181650	104
181700	119
181750	128
181800	121
181850	100
181900	124
181950	111
182000	114
182050	98
182100	105
182150	127
182200	97
182250	111
182300	132
182350	123
182400	111
182450	112
182500	125
182550	87
182600	118
182650	114
182700	113
182750	102
182800	118
182850	112
182900	101
182950	104
183000	107
183050	115
183100	108
183150	115
183200	131
183250	108
183300	111
183350	127
183400	102
183450	94
183500	118
183550	122
183600	114
183650	101
183700	137
183750	117
183800	111
183850	112
183900	119
183950	108
184000	126
184050	127
184100	99
184150	102
184200	100
184250	126
184300	100
184350	104
184400	100
184450	120
184500	97
184550	106
184600	97
184650	98
184700	117
184750	112
184800	99
184850	110
184900	111
184950	118
185000	106
185050	127
185100	118
185150	108
185200	111
185250	120
185300	123
185350	112
185400	114
185450	118
185500	105
185550	119
185600	96
185650	107
185700	107
185750	106
185800	107
185850	120
185900	111
185950	91
186000	113
186050	136
186100	135
186150	113
186200	114
186250	102
186300	116
186350	120
186400	106
186450	136
186500	120
186550	111
186600	114
186650	112
186700	95
186750	116
186800	85
186850	131
186900	116
186950	124
187000	114
187050	102
187100	109
187150	111
187200	128
187250	96
187300	112
187350	122
187400	125
187450	103
187500	118
187550	112
187600	119
187650	100
187700	127
187750	109
187800	118
187850	89
187900	122
187950	111
188000	122
188050	101
188100	121
188150	109
188200	99
188250	108
188300	121
188350	109
188400	126
188450	103
188500	123
188550	112
188600	104
188650	115
188700	120
188750	113
188800	112
188850	120
188900	107
188950	115
189000	99
189050	127
189100	137
189150	124
189200	119
189250	113
189300	101
189350	145
189400	100
189450	128
189500	112
189550	114
189600	120
189650	124
189700	121
189750	122
189800	113
189850	116
189900	94
189950	129
190000	99
