generation	Nc
179800	4245
179850	4314
179900	4238
179950	4186
180000	62
180005	60
180010	53
180015	49
180020	109
180025	99
180030	133
180035	110
180040	114
180045	101
180050	115
180100	108
180150	126
180200	119
180250	114
180300	122
180350	102
180400	107
180450	111
180500	131
180550	105
180600	110
180650	118
180700	109
180750	122
180800	124
180850	113
180900	109
180950	93
181000	125
181050	115
181100	113
181150	119
181200	110
181250	132
181300	112
181350	128
181400	126
181450	100
181500	111
181550	113
181600	109
181650	131
181700	105
181750	100
181800	106
181850	113
181900	128
181950	125
182000	99
182050	124
182100	110
182150	116
182200	104
182250	118
182300	104
182350	112
182400	111
182450	114
182500	113
182550	119
182600	114
182650	131
182700	114
182750	140
182800	110
182850	136
182900	109
182950	114
183000	117
183050	95
183100	121
183150	110
183200	95
183250	116
183300	92
183350	127
183400	110
183450	102
183500	122
183550	90
183600	117
183650	131
183700	123
183750	119
183800	118
183850	136
183900	104
183950	131
184000	103
184050	146
184100	111
184150	117
184200	105
184250	108
184300	94
184350	101
184400	114
184450	124
184500	105
184550	104
184600	112
184650	115
184700	111
184750	112
184800	117
184850	113
184900	123
184950	117
185000	120
185050	126
185100	124
185150	111
185200	120
185250	140
185300	121
185350	104
185400	122
185450	112
185500	118
185550	126
185600	129
185650	119
185700	110
185750	124
185800	112
185850	131
185900	108
185950	110
186000	110
186050	121
186100	120
186150	135
186200	118
186250	112
186300	115
186350	128
186400	93
186450	122
186500	96
186550	93
186600	108
186650	111
186700	100
186750	121
186800	114
186850	116
186900	131
186950	150
187000	129
187050	123
187100	117
187150	117
187200	121
187250	106
187300	98
187350	111
187400	124
187450	115
187500	97
187550	113
187600	126
187650	110
187700	111
187750	115
187800	115
187850	122
187900	105
187950	93
188000	101
188050	103
188100	108
188150	111
188200	115
188250	118
188300	101
188350	111
188400	108
188450	122
188500	119
188550	122
188600	113
188650	132
188700	107
188750	116
188800	101
188850	112
188900	126
188950	131
189000	115
189050	98
189100	113
189150	125
189200	115
189250	110
189300	124
189350	126
189400	100
189450	108
189500	121
189550	97
189600	117
189650	115
189700	111
189750	116
189800	102
189850	115
189900	104
189950	100
190000	97
