generation	Nc	average_age	max_age
179800	7435	3.96974	49
179850	7468	3.90091	31
179900	7467	4.02237	39
179950	7538	3.98196	36
180000	109	5.30275	40
180005	108	4.31481	23
180010	109	4.31193	21
180015	98	4.37755	26
180020	98	3.84694	22
180025	89	3.8427	27
180030	93	2.93548	12
180035	105	3.22857	17
180040	98	3.62245	22
180045	97	4.26804	27
180050	100	3.21	19
180100	108	4.83333	32
180150	93	4.41935	25
180200	107	4.07477	35
180250	103	4.29126	27
180300	98	3.95918	25
180350	105	3.89524	26
180400	108	3.67593	21
180450	98	4.10204	25
180500	101	4.15842	20
180550	106	4.18868	15
180600	96	3.76042	22
180650	91	3.25275	22
180700	99	3.66667	24
180750	87	3.72414	19
180800	96	4.46875	27
180850	105	3.94286	19
180900	103	3.09709	19
180950	102	4.71569	28
181000	101	3.90099	22
181050	93	3.43011	19
181100	92	3.86957	21
181150	103	3.75728	23
181200	97	5.21649	22
181250	103	4.13592	31
181300	94	3.7234	20
181350	111	4.21622	23
181400	102	4.32353	33
181450	107	5.08411	26
181500	116	3.4569	20
181550	101	3.89109	23
181600	98	4.28571	18
181650	110	3.7	28
181700	98	3.9898	17
181750	107	4.69159	21
181800	97	3.65979	14
181850	91	3.41758	27
181900	93	3.94624	30
181950	95	3.68421	20
182000	104	3.75	22
182050	112	4.66964	31
182100	107	3.58879	14
182150	111	3.59459	19
182200	96	3.55208	19
182250	108	4.62963	29
182300	97	3.35052	19
182350	94	4.53191	30
182400	95	3.6	17
182450	108	4.22222	22
182500	110	3.53636	22
182550	102	4.30392	19
182600	101	3.51485	16
182650	89	3.93258	26
182700	95	3.68421	21
182750	106	4.53774	26
182800	99	3.47475	15
182850	99	3.69697	22
182900	96	3.72917	31
182950	107	4.27103	29
183000	91	4.23077	19
183050	104	3.92308	13
183100	100	4.12	33
183150	98	3.52041	23
183200	102	3.92157	27
183250	97	3.62887	16
183300	111	4.15315	19
183350	85	3.58824	23
183400	107	3.72897	20
183450	103	4.18447	34
183500	102	4.19608	27
183550	100	4.45	28
183600	92	3.33696	19
183650	102	4.23529	26
183700	103	4.14563	20
183750	110	4.32727	39
183800	109	4.44954	29
183850	100	4.5	24
183900	103	3.38835	13
183950	96	4.0625	25
184000	101	3.63366	17
184050	99	4.24242	18
184100	97	4.02062	21
184150	103	3.2233	21
184200	95	3.14737	15
184250	100	4.12	20
184300	98	3.38776	29
184350	97	4.26804	19
184400	101	4.0396	26
184450	102	4.14706	18
184500	104	3.46154	21
184550	99	4.35354	16
184600	99	4.19192	21
184650	103	3.97087	34
184700	97	3.4433	32
184750	106	3.86792	24
184800	93	3.60215	15
184850	101	4.55446	23
184900	103	3.66019	20
184950	87	4.29885	25
185000	105	3.86667	21
185050	97	4.84536	24
185100	106	5.04717	35
185150	96	3.9375	21
185200	91	4.1978	19
185250	95	3.64211	17
185300	96	4.39583	40
185350	100	3.58	23
185400	99	4.18182	23
185450	87	3.89655	16
185500	87	4.12644	17
185550	107	5.13084	19
185600	98	4.08163	20
185650	95	3.73684	16
185700	100	3.7	18
185750	107	3.71963	18
185800	97	4.07216	18
185850	98	4.05102	22
185900	98	3.06122	15
185950	95	4.08421	18
186000	89	4.01124	19
186050	95	4.03158	22
186100	101	3.91089	21
186150	100	4.79	31
186200	107	3.49533	31
186250	102	4.86275	32
186300	107	3.57009	20
186350	104	3.71154	23
186400	95	4.78947	23
186450	101	4.10891	16
186500	104	4.18269	25
186550	102	3.53922	18
186600	106	4.15094	26
186650	96	3.59375	15
186700	93	4.36559	25
186750	101	4.13861	24
186800	108	3.42593	21
186850	89	3.10112	15
186900	108	3.57407	24
186950	97	4.02062	29
187000	99	4.0202	24
187050	88	3.54545	15
187100	102	3.35294	20
187150	98	3.02041	18
187200	113	3.90265	23
187250	92	4.18478	25
187300	103	3.86408	18
187350	109	3.50459	21
187400	107	4.21495	24
187450	94	4.80851	33
187500	101	4	19
187550	109	4.3578	26
187600	98	4.7551	27
187650	103	3.84466	21
187700	100	4.08	29
187750	94	3.5	20
187800	95	3.66316	29
187850	91	4.12088	18
187900	98	4.06122	24
187950	97	4.29897	34
188000	92	4.08696	17
188050	99	3.63636	22
188100	99	3.84848	19
188150	89	4.67416	22
188200	99	4.59596	22
188250	98	4.07143	20
188300	98	3.57143	22
188350	96	3.9375	27
188400	103	3.66019	15
188450	98	4.02041	17
188500	86	3.98837	31
188550	108	4.31481	17
188600	112	3.85714	28
188650	100	3.91	19
188700	106	3.70755	20
188750	102	4.01961	21
188800	94	4.42553	20
188850	94	3.23404	14
188900	95	4.08421	15
188950	105	4.1619	25
189000	97	4.50515	23
189050	102	3.71569	22
189100	107	3.85047	28
189150	92	4.05435	24
189200	112	4.21429	20
189250	95	3.64211	17
189300	105	3.47619	36
189350	108	3.47222	22
189400	102	4.2451	21
189450	93	3.72043	25
189500	103	4.40777	24
189550	109	3.6422	17
189600	113	4.0354	33
189650	117	4.05128	22
189700	105	4.10476	32
189750	97	3.95876	22
189800	110	4.10909	23
189850	105	3.78095	19
189900	98	5.14286	30
189950	106	4.18868	20
190000	91	3.26374	27
