generation	Nc	average_age	max_age
179800	7435	4.01923	38
179850	7467	3.98728	39
179900	7506	4.08407	37
179950	7553	3.99934	48
180000	99	4.46465	19
180005	103	3.8835	18
180010	92	4.80435	23
180015	99	3.41414	28
180020	97	3.64948	14
180025	102	4.10784	19
180030	100	3.37	22
180035	104	3.81731	18
180040	104	3.88462	21
180045	92	3.6087	24
180050	102	3.56863	22
180100	107	3.8972	23
180150	95	4.47368	21
180200	106	3.9717	21
180250	100	4.14	17
180300	99	4.29293	38
180350	95	3.55789	14
180400	99	4.27273	21
180450	103	4.05825	17
180500	107	3.78505	26
180550	105	3.94286	20
180600	99	4.05051	32
180650	102	4.30392	25
180700	102	3.84314	17
180750	94	3.35106	24
180800	86	3.73256	19
180850	91	3.91209	23
180900	88	4.31818	17
180950	104	4.75962	24
181000	99	4.22222	27
181050	99	4.84848	26
181100	91	4.91209	25
181150	106	3.83962	29
181200	90	4.34444	27
181250	94	3.78723	22
181300	100	4.5	26
181350	108	4.18519	19
181400	97	3.58763	19
181450	110	3.6	17
181500	87	4.56322	23
181550	89	3.80899	25
181600	90	4.46667	28
181650	107	4.24299	21
181700	97	4.06186	28
181750	95	4.43158	39
181800	98	3.78571	19
181850	92	3.45652	15
181900	95	3.48421	17
181950	109	3.70642	19
182000	107	4.54206	23
182050	105	4.99048	29
182100	94	3.12766	14
182150	99	4.29293	27
182200	105	4.40952	25
182250	100	4.59	22
182300	94	3.92553	16
182350	106	4.38679	23
182400	98	4.08163	19
182450	104	4.26923	23
182500	111	4.56757	31
182550	101	3.47525	20
182600	92	3.08696	29
182650	104	4.71154	22
182700	98	4.19388	19
182750	104	3.98077	21
182800	104	4.35577	24
182850	94	4.61702	29
182900	101	3.9703	27
182950	95	3.73684	23
183000	94	3.97872	26
183050	115	3.9913	31
183100	105	4.28571	32
183150	104	4.27885	19
183200	99	4.43434	32
183250	91	4.01099	22
183300	89	3.8764	14
183350	102	4.77451	34
183400	100	4.12	26
183450	95	3.81053	22
183500	98	3.72449	19
183550	99	3.94949	19
183600	97	4.10309	23
183650	99	3.78788	23
183700	101	3.9505	17
183750	103	3.57282	37
183800	110	3.26364	28
183850	102	4.53922	25
183900	93	4.47312	21
183950	106	3.71698	22
184000	102	3.61765	23
184050	107	3.96262	20
184100	96	3.52083	26
184150	91	4.96703	23
184200	93	3.36559	16
184250	100	3.51	26
184300	105	3.41905	16
184350	95	4.58947	26
184400	100	4.41	19
184450	98	4.22449	30
184500	108	3.94444	22
184550	90	4.22222	36
184600	103	4.27184	27
184650	112	4.16071	23
184700	103	4.39806	22
184750	95	4.77895	31
184800	97	3.7732	19
184850	97	4.62887	21
184900	104	4.28846	21
184950	97	3.4433	12
185000	105	5.0381	31
185050	94	4.01064	16
185100	105	4.86667	30
185150	100	4.22	24
185200	100	4.68	27
185250	109	3.58716	20
185300	100	3.74	17
185350	100	4.13	24
185400	109	3.78899	19
185450	99	3.94949	18
185500	89	3.60674	21
185550	101	4.0396	17
185600	104	4.15385	22
185650	95	3.85263	21
185700	101	3.89109	27
185750	96	4.6875	26
185800	86	3.67442	27
185850	100	3.79	31
185900	103	3.90291	26
185950	106	3.33962	23
186000	95	3.42105	19
186050	102	4.15686	33
186100	103	3.56311	22
186150	111	3.81081	22
186200	93	3.3871	20
186250	101	4.91089	23
186300	100	3.8	20
186350	98	3.5	21
186400	98	5.0102	23
186450	99	3.80808	20
186500	100	5.13	28
186550	95	3.86316	16
186600	103	3.67961	18
186650	98	3.54082	21
186700	94	3.7766	22
186750	100	3.96	20
186800	93	4.05376	21
186850	109	3.81651	17
186900	101	3.37624	20
186950	96	4.47917	25
187000	95	4.12632	29
187050	99	4.44444	21
187100	108	3.76852	23
187150	103	3.52427	22
187200	99	3.29293	20
187250	91	4.03297	20
187300	103	3.78641	25
187350	105	3.2	20
187400	96	3.33333	31
187450	96	3.45833	16
187500	106	4.51887	31
187550	109	4	28
187600	87	4.03448	33
187650	92	3.91304	15
187700	103	3.72816	19
187750	96	3.55208	18
187800	102	3.57843	28
187850	90	4.64444	19
187900	102	3.41176	18
187950	98	3.53061	30
188000	99	4.93939	34
188050	107	3.81308	23
188100	88	3.52273	25
188150	101	3.24752	27
188200	110	4.14545	17
188250	91	4.72527	32
188300	91	3.82418	22
188350	103	4.39806	23
188400	92	4.53261	31
188450	99	4.16162	19
188500	107	4.23364	24
188550	98	3.68367	23
188600	115	4.07826	22
188650	99	3.31313	23
188700	101	2.88119	16
188750	101	3.93069	20
188800	113	4.11504	20
188850	99	4.58586	22
188900	92	5.03261	22
188950	90	3.96667	21
189000	99	4.57576	30
189050	95	4.34737	19
189100	110	4.14545	35
189150	89	4.31461	16
189200	105	4.62857	30
189250	93	4.33333	17
189300	100	4.25	23
189350	99	4.0101	21
189400	94	3.88298	17
189450	95	3.89474	23
189500	103	4.37864	28
189550	101	4.85149	25
189600	96	4.29167	18
189650	102	3.47059	20
189700	89	3.76404	17
189750	99	3.35354	18
189800	94	3.95745	23
189850	91	4.08791	28
189900	94	4.37234	26
189950	104	3.83654	19
190000	103	3.85437	29
