generation	Nc
179800	4190
179850	4295
179900	4214
179950	4242
180000	52
180005	66
180010	64
180015	51
180020	113
180025	114
180030	112
180035	101
180040	122
180045	115
180050	94
180100	107
180150	119
180200	104
180250	110
180300	116
180350	115
180400	114
180450	120
180500	105
180550	132
180600	114
180650	114
180700	113
180750	125
180800	105
180850	129
180900	107
180950	117
181000	117
181050	101
181100	119
181150	113
181200	118
181250	99
181300	119
181350	119
181400	106
181450	125
181500	105
181550	103
181600	114
181650	107
181700	113
181750	104
181800	111
181850	116
181900	112
181950	101
182000	112
182050	103
182100	110
182150	98
182200	103
182250	101
182300	117
182350	107
182400	111
182450	119
182500	111
182550	109
182600	111
182650	112
182700	117
182750	118
182800	92
182850	115
182900	129
182950	114
183000	117
183050	125
183100	109
183150	114
183200	139
183250	102
183300	121
183350	122
183400	106
183450	106
183500	125
183550	121
183600	113
183650	99
183700	116
183750	100
183800	123
183850	117
183900	104
183950	109
184000	96
184050	109
184100	94
184150	117
184200	111
184250	109
184300	102
184350	101
184400	115
184450	88
184500	115
184550	128
184600	119
184650	111
184700	105
184750	117
184800	102
184850	122
184900	138
184950	114
185000	95
185050	100
185100	119
185150	112
185200	110
185250	121
185300	96
185350	103
185400	117
185450	94
185500	116
185550	108
185600	126
185650	120
185700	99
185750	113
185800	97
185850	118
185900	98
185950	112
186000	115
186050	103
186100	103
186150	126
186200	115
186250	99
186300	118
186350	123
186400	101
186450	100
186500	113
186550	123
186600	112
186650	110
186700	113
186750	118
186800	125
186850	116
186900	116
186950	100
187000	126
187050	117
187100	111
187150	111
187200	115
187250	102
187300	109
187350	110
187400	112
187450	123
187500	105
187550	123
187600	92
187650	132
187700	93
187750	129
187800	115
187850	120
187900	114
187950	100
188000	108
188050	107
188100	96
188150	107
188200	108
188250	97
188300	104
188350	116
188400	115
188450	111
188500	104
188550	111
188600	93
188650	95
188700	113
188750	106
188800	107
188850	108
188900	104
188950	96
189000	114
189050	115
189100	113
189150	102
189200	103
189250	99
189300	108
189350	110
189400	115
189450	115
189500	106
189550	115
189600	114
189650	111
189700	107
189750	106
189800	111
189850	121
189900	115
189950	129
190000	116
