generation	Nc
179800	4227
179850	4292
179900	4195
179950	4250
180000	51
180005	48
180010	58
180015	41
180020	97
180025	124
180030	95
180035	116
180040	119
180045	105
180050	110
180100	93
180150	119
180200	110
180250	105
180300	121
180350	102
180400	110
180450	125
180500	130
180550	96
180600	103
180650	113
180700	104
180750	103
180800	117
180850	117
180900	107
180950	112
181000	117
181050	124
181100	119
181150	118
181200	102
181250	115
181300	112
181350	100
181400	119
181450	105
181500	114
181550	106
181600	119
181650	126
181700	110
181750	105
181800	105
181850	105
181900	130
181950	102
182000	109
182050	115
182100	128
182150	109
182200	117
182250	89
182300	104
182350	108
182400	128
182450	97
182500	106
182550	114
182600	112
182650	107
182700	101
182750	123
182800	107
182850	102
182900	119
182950	121
183000	104
183050	116
183100	120
183150	124
183200	117
183250	100
183300	107
183350	107
183400	114
183450	113
183500	109
183550	99
183600	110
183650	111
183700	113
183750	106
183800	120
183850	102
183900	122
183950	120
184000	121
184050	119
184100	107
184150	133
184200	122
184250	95
184300	121
184350	112
184400	112
184450	127
184500	134
184550	121
184600	112
184650	102
184700	105
184750	128
184800	101
184850	114
184900	87
184950	113
185000	99
185050	111
185100	117
185150	120
185200	119
185250	139
185300	124
185350	103
185400	99
185450	94
185500	111
185550	113
185600	117
185650	106
185700	108
185750	123
185800	102
185850	112
185900	132
185950	106
186000	100
186050	124
186100	103
186150	121
186200	108
186250	117
186300	121
186350	112
186400	120
186450	84
186500	121
186550	107
186600	118
186650	120
186700	108
186750	104
186800	119
186850	113
186900	113
186950	126
187000	123
187050	109
187100	111
187150	104
187200	113
187250	104
187300	129
187350	96
187400	132
187450	112
187500	98
187550	103
187600	114
187650	106
187700	111
187750	102
187800	112
187850	116
187900	127
187950	120
188000	103
188050	102
188100	107
188150	114
188200	104
188250	119
188300	111
188350	117
188400	123
188450	105
188500	103
188550	110
188600	126
188650	124
188700	120
188750	119
188800	106
188850	109
188900	130
188950	113
189000	111
189050	111
189100	124
189150	135
189200	109
189250	118
189300	119
189350	107
189400	119
189450	106
189500	106
189550	121
189600	101
189650	115
189700	94
189750	114
189800	123
189850	112
189900	114
189950	95
190000	123
