generation	Nc
179800	4266
179850	4174
179900	4355
179950	4256
180000	51
180005	46
180010	53
180015	52
180020	98
180025	131
180030	115
180035	135
180040	76
180045	116
180050	103
180100	131
180150	119
180200	119
180250	123
180300	122
180350	109
180400	117
180450	116
180500	105
180550	124
180600	113
180650	126
180700	113
180750	116
180800	127
180850	139
180900	106
180950	126
181000	110
181050	132
181100	101
181150	109
181200	112
181250	111
181300	115
181350	121
181400	114
181450	119
181500	123
181550	96
181600	107
181650	128
181700	113
181750	109
181800	125
181850	97
181900	109
181950	105
182000	111
182050	113
182100	123
182150	101
182200	102
182250	105
182300	116
182350	104
182400	111
182450	119
182500	124
182550	135
182600	137
182650	127
182700	103
182750	114
182800	100
182850	121
182900	117
182950	96
183000	112
183050	90
183100	121
183150	116
183200	119
183250	144
183300	98
183350	112
183400	134
183450	106
183500	116
183550	111
183600	120
183650	114
183700	121
183750	117
183800	100
183850	125
183900	116
183950	114
184000	127
184050	110
184100	99
184150	124
184200	102
184250	112
184300	110
184350	100
184400	124
184450	106
184500	118
184550	117
184600	112
184650	131
184700	111
184750	127
184800	113
184850	114
184900	130
184950	111
185000	124
185050	111
185100	116
185150	106
185200	118
185250	124
185300	117
185350	104
185400	111
185450	114
185500	91
185550	109
185600	123
185650	122
185700	107
185750	116
185800	114
185850	108
185900	112
185950	89
186000	120
186050	103
186100	100
186150	126
186200	103
186250	113
186300	122
186350	109
186400	91
186450	104
186500	111
186550	119
186600	113
186650	127
186700	108
186750	109
186800	123
186850	113
186900	112
186950	112
187000	103
187050	111
187100	119
187150	103
187200	112
187250	109
187300	89
187350	104
187400	109
187450	125
187500	104
187550	97
187600	112
187650	140
187700	125
187750	124
187800	118
187850	103
187900	93
187950	110
188000	94
188050	109
188100	117
188150	116
188200	108
188250	110
188300	104
188350	127
188400	88
188450	123
188500	103
188550	129
188600	120
188650	112
188700	111
188750	121
188800	118
188850	103
188900	110
188950	128
189000	108
189050	119
189100	108
189150	123
189200	114
189250	106
189300	103
189350	114
189400	120
189450	116
189500	111
189550	132
189600	100
189650	124
189700	106
189750	118
189800	103
189850	125
189900	96
189950	130
190000	130
