generation	Nc
179800	4291
179850	4127
179900	4143
179950	4171
180000	63
180005	64
180010	57
180015	59
180020	116
180025	115
180030	102
180035	111
180040	97
180045	121
180050	100
180100	108
180150	114
180200	112
180250	135
180300	129
180350	104
180400	125
180450	116
180500	118
180550	124
180600	113
180650	120
180700	129
180750	121
180800	95
180850	111
180900	120
180950	112
181000	94
181050	114
181100	116
181150	115
181200	106
181250	118
181300	122
181350	125
181400	118
181450	92
181500	112
181550	110
181600	120
181650	117
181700	123
181750	109
181800	113
181850	108
181900	121
181950	116
182000	128
182050	130
182100	122
182150	119
182200	83
182250	114
182300	80
182350	107
182400	100
182450	117
182500	96
182550	115
182600	107
182650	118
182700	110
182750	101
182800	104
182850	128
182900	120
182950	129
183000	135
183050	112
183100	109
183150	112
183200	122
183250	105
183300	130
183350	131
183400	97
183450	103
183500	125
183550	119
183600	102
183650	125
183700	112
183750	97
183800	121
183850	115
183900	100
183950	88
184000	114
184050	118
184100	98
184150	131
184200	144
184250	126
184300	122
184350	129
184400	115
184450	131
184500	84
184550	111
184600	102
184650	108
184700	134
184750	110
184800	117
184850	112
184900	136
184950	127
185000	117
185050	111
185100	121
185150	117
185200	108
185250	120
185300	122
185350	105
185400	108
185450	115
185500	104
185550	132
185600	112
185650	113
185700	117
185750	125
185800	116
185850	115
185900	104
185950	131
186000	106
186050	112
186100	104
186150	97
186200	116
186250	110
186300	91
186350	131
186400	102
186450	109
186500	118
186550	97
186600	120
186650	116
186700	119
186750	117
186800	101
186850	107
186900	104
186950	118
187000	100
187050	101
187100	97
187150	136
187200	113
187250	100
187300	121
187350	126
187400	104
187450	111
187500	95
187550	106
187600	110
187650	111
187700	131
187750	140
187800	106
187850	99
187900	110
187950	111
188000	110
188050	120
188100	116
188150	125
188200	105
188250	112
188300	117
188350	119
188400	108
188450	119
188500	115
188550	108
188600	118
188650	111
188700	87
188750	108
188800	112
188850	117
188900	120
188950	121
189000	99
189050	97
189100	133
189150	106
189200	134
189250	118
189300	112
189350	139
189400	108
189450	93
189500	110
189550	112
189600	113
189650	107
189700	118
189750	126
189800	91
189850	100
189900	102
189950	99
190000	114
