generation	Nc
179800	4249
179850	4415
179900	4212
179950	4235
180000	57
180005	49
180010	55
180015	64
180020	107
180025	129
180030	114
180035	120
180040	108
180045	118
180050	112
180100	127
180150	115
180200	125
180250	113
180300	138
180350	103
180400	111
180450	114
180500	99
180550	102
180600	97
180650	104
180700	124
180750	94
180800	120
180850	111
180900	116
180950	108
181000	119
181050	106
181100	97
181150	97
181200	94
181250	93
181300	126
181350	123
181400	108
181450	108
181500	104
181550	134
181600	112
181650	113
181700	111
181750	93
181800	110
181850	121
181900	105
181950	114
182000	110
182050	121
182100	94
182150	105
182200	96
182250	135
182300	124
182350	119
182400	96
182450	106
182500	122
182550	112
182600	106
182650	96
182700	131
182750	141
182800	131
182850	113
182900	106
182950	121
183000	114
183050	110
183100	97
183150	109
183200	127
183250	91
183300	112
183350	110
183400	115
183450	111
183500	130
183550	104
183600	95
183650	113
183700	115
183750	119
183800	126
183850	109
183900	108
183950	100
184000	108
184050	99
184100	104
184150	102
184200	115
184250	130
184300	112
184350	93
184400	102
184450	97
184500	119
184550	106
184600	113
184650	116
184700	123
184750	98
184800	93
184850	108
184900	105
184950	103
185000	114
185050	104
185100	105
185150	111
185200	120
185250	103
185300	113
185350	124
185400	119
185450	108
185500	126
185550	104
185600	130
185650	102
185700	118
185750	109
185800	104
185850	110
185900	130
185950	117
186000	130
186050	114
186100	114
186150	82
186200	100
186250	126
186300	120
186350	109
186400	110
186450	103
186500	112
186550	125
186600	125
186650	111
186700	132
186750	118
186800	89
186850	107
186900	106
186950	127
187000	114
187050	127
187100	106
187150	112
187200	111
187250	110
187300	117
187350	110
187400	115
187450	114
187500	113
187550	102
187600	96
187650	117
187700	91
187750	113
187800	103
187850	108
187900	112
187950	109
188000	98
188050	130
188100	104
188150	137
188200	109
188250	130
188300	101
188350	97
188400	96
188450	115
188500	104
188550	97
188600	108
188650	110
188700	135
188750	130
188800	115
188850	137
188900	107
188950	119
189000	119
189050	107
189100	111
189150	128
189200	118
189250	102
189300	111
189350	126
189400	133
189450	115
189500	106
189550	116
189600	100
189650	105
189700	109
189750	106
189800	115
189850	101
189900	113
189950	106
190000	112
