generation	Nc
179800	4198
179850	4254
179900	4311
179950	4199
180000	57
180005	54
180010	45
180015	60
180020	131
180025	106
180030	115
180035	110
180040	115
180045	121
180050	109
180100	124
180150	109
180200	134
180250	123
180300	136
180350	118
180400	126
180450	111
180500	102
180550	110
180600	129
180650	133
180700	138
180750	109
180800	121
180850	113
180900	118
180950	126
181000	113
181050	101
181100	113
181150	117
181200	108
181250	117
181300	128
181350	86
181400	110
181450	115
181500	120
181550	115
181600	121
181650	112
181700	121
181750	102
181800	110
181850	118
181900	124
181950	103
182000	99
182050	122
182100	103
182150	116
182200	110
182250	104
182300	102
182350	118
182400	111
182450	116
182500	99
182550	119
182600	108
182650	115
182700	102
182750	121
182800	113
182850	130
182900	122
182950	112
183000	124
183050	116
183100	115
183150	101
183200	127
183250	93
183300	116
183350	106
183400	111
183450	112
183500	109
183550	124
183600	113
183650	100
183700	132
183750	111
183800	116
183850	107
183900	103
183950	105
184000	112
184050	115
184100	91
184150	100
184200	129
184250	105
184300	104
184350	115
184400	105
184450	112
184500	114
184550	102
184600	129
184650	105
184700	90
184750	114
184800	124
184850	109
184900	124
184950	124
185000	110
185050	112
185100	107
185150	108
185200	109
185250	102
185300	102
185350	100
185400	107
185450	108
185500	125
185550	116
185600	116
185650	109
185700	112
185750	111
185800	121
185850	104
185900	104
185950	110
186000	102
186050	112
186100	110
186150	112
186200	106
186250	113
186300	122
186350	101
186400	109
186450	125
186500	106
186550	120
186600	111
186650	90
186700	95
186750	130
186800	114
186850	100
186900	104
186950	112
187000	113
187050	106
187100	98
187150	119
187200	108
187250	129
187300	112
187350	112
187400	99
187450	123
187500	117
187550	106
187600	102
187650	113
187700	108
187750	100
187800	122
187850	110
187900	116
187950	85
188000	102
188050	114
188100	115
188150	98
188200	120
188250	105
188300	98
188350	118
188400	100
188450	115
188500	120
188550	116
188600	130
188650	131
188700	92
188750	113
188800	100
188850	108
188900	110
188950	102
189000	113
189050	87
189100	128
189150	112
189200	97
189250	126
189300	112
189350	113
189400	115
189450	95
189500	107
189550	126
189600	113
189650	110
189700	102
189750	129
189800	117
189850	115
189900	120
189950	115
190000	117
