generation	Nc
179800	4325
179850	4250
179900	4178
179950	4255
180000	59
180005	61
180010	58
180015	60
180020	116
180025	124
180030	108
180035	111
180040	124
180045	106
180050	102
180100	101
180150	101
180200	110
180250	109
180300	121
180350	114
180400	106
180450	118
180500	116
180550	131
180600	127
180650	108
180700	102
180750	100
180800	116
180850	105
180900	111
180950	120
181000	99
181050	102
181100	114
181150	128
181200	112
181250	141
181300	112
181350	114
181400	111
181450	111
181500	111
181550	121
181600	99
181650	115
181700	147
181750	103
181800	119
181850	113
181900	111
181950	97
182000	124
182050	102
182100	114
182150	123
182200	117
182250	127
182300	111
182350	107
182400	96
182450	113
182500	120
182550	108
182600	107
182650	88
182700	147
182750	120
182800	134
182850	105
182900	119
182950	114
183000	114
183050	113
183100	116
183150	111
183200	115
183250	108
183300	92
183350	113
183400	95
183450	116
183500	132
183550	112
183600	108
183650	104
183700	126
183750	104
183800	122
183850	122
183900	109
183950	124
184000	112
184050	119
184100	144
184150	133
184200	107
184250	121
184300	126
184350	114
184400	115
184450	115
184500	131
184550	97
184600	112
184650	114
184700	105
184750	96
184800	116
184850	111
184900	121
184950	120
185000	116
185050	135
185100	102
185150	112
185200	129
185250	112
185300	109
185350	110
185400	115
185450	120
185500	110
185550	116
185600	129
185650	97
185700	114
185750	136
185800	126
185850	118
185900	122
185950	129
186000	94
186050	116
186100	128
186150	115
186200	130
186250	106
186300	109
186350	129
186400	108
186450	112
186500	109
186550	117
186600	117
186650	126
186700	105
186750	129
186800	119
186850	108
186900	112
186950	116
187000	125
187050	123
187100	126
187150	111
187200	126
187250	121
187300	137
187350	109
187400	95
187450	121
187500	140
187550	100
187600	134
187650	99
187700	110
187750	115
187800	131
187850	117
187900	132
187950	116
188000	110
188050	107
188100	104
188150	126
188200	123
188250	103
188300	104
188350	94
188400	111
188450	113
188500	106
188550	101
188600	112
188650	101
188700	133
188750	125
188800	102
188850	126
188900	136
188950	105
189000	131
189050	114
189100	93
189150	118
189200	109
189250	99
189300	114
189350	104
189400	101
189450	98
189500	95
189550	106
189600	127
189650	110
189700	111
189750	107
189800	104
189850	105
189900	108
189950	120
190000	120
