generation	Nc	average_age	max_age
179800	7496	4.03322	49
179850	7532	3.97477	38
179900	7482	3.97207	40
179950	7562	3.9311	49
180000	89	4.23596	16
180005	96	3.47917	15
180010	105	3.86667	20
180015	98	4.2449	21
180020	106	3.75472	24
180025	91	3.49451	17
180030	100	3.71	15
180035	92	4.3913	20
180040	92	4.11957	20
180045	88	3.63636	22
180050	94	3.28723	16
180100	105	3.81905	29
180150	85	3.17647	16
180200	88	4.29545	29
180250	102	4.08824	23
180300	97	4.06186	20
180350	97	4.25773	22
180400	96	4.36458	18
180450	101	3.28713	24
180500	94	4.23404	25
180550	91	5.08791	25
180600	97	3.30928	19
180650	101	4.21782	17
180700	96	4.32292	28
180750	97	3.51546	18
180800	93	4.13978	24
180850	102	3.13725	19
180900	99	4.07071	20
180950	95	4.08421	24
181000	94	3.97872	30
181050	101	3.68317	18
181100	101	3.65347	19
181150	114	3.41228	20
181200	101	3.76238	20
181250	90	4.54444	33
181300	104	3.91346	25
181350	98	4.58163	29
181400	111	4.30631	24
181450	101	3.66337	17
181500	102	4.08824	18
181550	99	3.45455	27
181600	113	4.41593	23
181650	91	4.42857	19
181700	107	4.56075	34
181750	99	4.14141	24
181800	105	3.50476	18
181850	95	4.50526	28
181900	89	3.5618	24
181950	114	3.24561	20
182000	104	4.33654	21
182050	97	4.35052	18
182100	97	3.71134	24
182150	90	3.97778	16
182200	98	4.15306	39
182250	112	3.52679	16
182300	111	4.22523	25
182350	91	4.12088	21
182400	107	3.8972	22
182450	98	3.86735	17
182500	108	4.14815	20
182550	103	4.45631	20
182600	95	3.27368	21
182650	100	4.58	32
182700	97	3.94845	16
182750	105	4.15238	31
182800	91	4.72527	27
182850	91	3.91209	16
182900	97	3.73196	21
182950	91	3.1978	24
183000	107	4.53271	23
183050	96	3.51042	19
183100	109	3.44037	19
183150	97	3.46392	29
183200	100	4.01	21
183250	96	2.95833	22
183300	110	4.34545	23
183350	97	5.21649	24
183400	109	3.81651	22
183450	98	3.53061	29
183500	100	3.42	19
183550	100	4.54	34
183600	93	4.16129	21
183650	92	3.91304	17
183700	96	4.375	24
183750	96	4.65625	30
183800	99	4.45455	23
183850	105	3.71429	18
183900	98	4.2449	24
183950	96	4.02083	18
184000	87	3.21839	17
184050	98	3.88776	32
184100	100	4.83	22
184150	107	4.27103	20
184200	100	4.05	20
184250	90	3.47778	22
184300	97	4.64948	20
184350	94	3.3617	14
184400	98	3.70408	16
184450	100	3.92	21
184500	96	3.96875	18
184550	111	3.89189	26
184600	106	3.72642	21
184650	103	3.96117	20
184700	98	4.32653	12
184750	89	3.97753	18
184800	97	4.21649	18
184850	99	3.75758	21
184900	99	4.78788	34
184950	95	2.8	18
185000	98	4.64286	37
185050	96	4.38542	22
185100	105	3.8	17
185150	102	3.66667	18
185200	95	4	24
185250	94	3.7234	19
185300	102	3.7451	23
185350	105	3.73333	23
185400	101	4.08911	21
185450	96	4.47917	20
185500	99	4.06061	24
185550	99	3.68687	26
185600	98	3.84694	21
185650	109	3.88073	17
185700	90	3.77778	16
185750	111	4.17117	19
185800	102	4.10784	18
185850	97	3.23711	15
185900	93	4.15054	25
185950	93	3.95699	15
186000	106	4.23585	27
186050	103	4.92233	23
186100	93	3.66667	22
186150	99	3.22222	14
186200	99	3.51515	15
186250	110	3.71818	20
186300	105	3.35238	19
186350	100	4.45	24
186400	98	3.76531	17
186450	106	3.70755	22
186500	97	3.69072	25
186550	91	4.25275	23
186600	102	4.2549	27
186650	99	3.65657	24
186700	118	4.72881	27
186750	96	4.46875	41
186800	99	3.67677	18
186850	93	4.1828	21
186900	97	4.52577	26
186950	97	3.34021	17
187000	96	3.77083	30
187050	100	3.55	16
187100	88	3.73864	20
187150	94	4.62766	19
187200	103	4.62136	28
187250	102	3.46078	34
187300	100	3.75	25
187350	98	3.78571	18
187400	99	3.48485	25
187450	95	4.09474	28
187500	97	3.8866	18
187550	100	3.93	28
187600	94	4.07447	25
187650	93	4.2043	23
187700	94	3.60638	27
187750	93	3.72043	21
187800	93	3.6129	13
187850	95	3.61053	20
187900	107	4.30841	20
187950	99	4.19192	26
188000	94	4.32979	30
188050	103	3.65049	14
188100	90	4.27778	28
188150	100	3.44	29
188200	116	3.5431	23
188250	92	4.26087	23
188300	100	4.06	25
188350	97	3.62887	17
188400	102	4.15686	19
188450	90	4.13333	25
188500	102	3.91176	21
188550	109	3.22018	15
188600	100	3.44	17
188650	96	4.16667	23
188700	100	3.45	26
188750	101	4.33663	34
188800	94	4.14894	25
188850	93	4.64516	25
188900	101	4.59406	27
188950	98	3.34694	17
189000	87	4.41379	16
189050	97	4.35052	30
189100	98	3.67347	24
189150	114	4.03509	34
189200	101	3.66337	27
189250	105	3.8381	27
189300	106	4.4434	30
189350	100	3.35	20
189400	103	3.86408	36
189450	97	3.48454	22
189500	98	4.56122	30
189550	105	4.40952	29
189600	107	4.81308	21
189650	97	3.53608	24
189700	103	3.92233	23
189750	97	3.94845	13
189800	95	4.08421	22
189850	98	3.54082	17
189900	102	4.84314	26
189950	105	3.75238	26
190000	101	3.53465	21
