generation	Nc	average_age	max_age
179800	7509	3.90438	34
179850	7553	4.07136	49
179900	7496	4.008	37
179950	7514	4.02036	38
180000	95	5.72632	27
180005	105	4.88571	24
180010	94	5.26596	29
180015	95	3.62105	26
180020	101	3.76238	31
180025	100	4.34	36
180030	102	4.05882	24
180035	104	4.25962	29
180040	86	4.72093	30
180045	102	3.15686	17
180050	98	3.59184	22
180100	94	4.31915	28
180150	100	3.5	21
180200	101	3.9505	29
180250	104	3.93269	20
180300	93	3.87097	24
180350	107	3.36449	19
180400	102	3.65686	19
180450	92	3.80435	21
180500	99	3.65657	25
180550	99	3.93939	21
180600	103	3.50485	13
180650	101	4.15842	17
180700	97	3.42268	24
180750	102	3.71569	19
180800	93	4.55914	32
180850	114	4.2807	34
180900	107	3.42991	40
180950	97	3.26804	34
181000	87	3.82759	20
181050	103	4.20388	21
181100	98	4	18
181150	104	3.61538	27
181200	92	3.13043	16
181250	101	4.9505	26
181300	100	3.51	21
181350	95	4.05263	29
181400	91	3.30769	20
181450	101	4.0396	24
181500	103	4.84466	24
181550	102	4.39216	23
181600	109	3.33028	15
181650	99	4.65657	31
181700	86	4.17442	21
181750	92	4.02174	23
181800	94	4.92553	26
181850	87	3.18391	15
181900	95	3.71579	23
181950	104	3.375	22
182000	89	4.93258	22
182050	101	4.58416	33
182100	106	4.17925	19
182150	94	3.19149	25
182200	94	5.25532	29
182250	107	4.39252	23
182300	87	3.48276	14
182350	100	4.04	18
182400	87	4.06897	27
182450	104	4.04808	16
182500	102	3.65686	23
182550	97	4.52577	18
182600	98	4.58163	38
182650	102	3.70588	16
182700	99	3.53535	19
182750	101	3.80198	19
182800	97	3.5567	25
182850	96	4.32292	26
182900	104	4.06731	23
182950	107	3.88785	26
183000	102	3.68627	21
183050	99	4.63636	21
183100	92	3.88043	17
183150	97	4.57732	30
183200	103	4.4466	18
183250	104	4.25	19
183300	109	4.08257	20
183350	105	3.94286	19
183400	92	4.01087	20
183450	97	3.72165	18
183500	88	3.76136	12
183550	106	4.49057	23
183600	96	4.375	32
183650	98	4.79592	20
183700	99	3.85859	37
183750	101	4.9802	29
183800	88	3.71591	16
183850	94	4.46809	28
183900	103	4.05825	23
183950	104	3.43269	23
184000	105	3.58095	17
184050	105	4.46667	37
184100	105	3.92381	28
184150	92	3.25	16
184200	93	3.84946	17
184250	99	3.9697	23
184300	109	4.16514	25
184350	95	3.88421	17
184400	102	4.15686	18
184450	101	4.14851	27
184500	97	4.05155	20
184550	98	4.35714	23
184600	106	3.77358	22
184650	105	5.40952	24
184700	102	4.48039	21
184750	103	3.3301	20
184800	102	4.23529	28
184850	99	4.34343	35
184900	102	4.28431	34
184950	96	4.30208	25
185000	100	4.11	15
185050	94	4.55319	31
185100	97	3.98969	19
185150	77	4.55844	33
185200	106	3.48113	20
185250	106	3.71698	31
185300	96	4.20833	18
185350	95	4.01053	22
185400	101	3.85149	17
185450	98	3.82653	22
185500	104	4.75	23
185550	95	5.52632	36
185600	100	4.27	28
185650	95	4.4	22
185700	94	3.8617	36
185750	92	3.56522	17
185800	102	4.04902	17
185850	97	3.50515	19
185900	99	3.90909	27
185950	83	3.80723	16
186000	104	3.84615	23
186050	102	3.90196	17
186100	101	4.75248	22
186150	107	4.38318	32
186200	106	4.34906	28
186250	97	4.08247	19
186300	99	4.0101	19
186350	90	3.84444	16
186400	110	4.11818	21
186450	83	5.19277	35
186500	101	5.10891	31
186550	107	3.97196	33
186600	109	3.37615	20
186650	103	3.40777	17
186700	95	5.12632	18
186750	98	3.68367	20
186800	98	4.28571	25
186850	91	3.75824	14
186900	113	3.29204	17
186950	103	3.52427	16
187000	104	3.45192	23
187050	99	3.60606	21
187100	97	4.47423	23
187150	99	3.15152	15
187200	96	3.77083	22
187250	93	4.21505	26
187300	103	3.79612	21
187350	89	3.39326	19
187400	99	3.70707	19
187450	104	3.53846	26
187500	102	4.18627	17
187550	105	3.35238	24
187600	92	4.61957	21
187650	97	3.87629	26
187700	84	3.69048	14
187750	89	3.62921	21
187800	105	4.1619	30
187850	96	4.10417	21
187900	94	3.48936	17
187950	95	4.01053	16
188000	106	4.25472	23
188050	98	4.15306	32
188100	106	3.45283	32
188150	99	3.18182	19
188200	97	4.18557	26
188250	94	4.91489	37
188300	103	3.37864	18
188350	86	3.96512	21
188400	103	3.65049	28
188450	95	4.81053	21
188500	104	5.24038	25
188550	98	3.78571	19
188600	107	3.99065	24
188650	102	4.11765	28
188700	96	3.91667	18
188750	110	4.58182	26
188800	98	3.62245	22
188850	108	4.03704	33
188900	104	4.27885	19
188950	95	4.44211	14
189000	98	3.71429	18
189050	97	4.40206	31
189100	97	3.47423	23
189150	104	3.95192	20
189200	98	4.34694	22
189250	100	3.83	20
189300	95	3.53684	20
189350	106	5.34906	23
189400	90	4.25556	28
189450	104	4.81731	26
189500	100	3.81	20
189550	98	3.84694	20
189600	94	3.89362	29
189650	98	3.4898	19
189700	104	3.95192	16
189750	110	3.45455	18
189800	95	3.43158	23
189850	104	3.82692	21
189900	101	3.80198	32
189950	94	4.35106	28
190000	95	3.58947	32
