generation	Nc
179800	4272
179850	4348
179900	4307
179950	4286
180000	57
180005	46
180010	50
180015	66
180020	111
180025	126
180030	115
180035	109
180040	107
180045	108
180050	113
180100	106
180150	121
180200	126
180250	123
180300	121
180350	113
180400	112
180450	127
180500	102
180550	136
180600	94
180650	98
180700	123
180750	108
180800	127
180850	90
180900	112
180950	113
181000	112
181050	124
181100	112
181150	122
181200	113
181250	118
181300	107
181350	130
181400	130
181450	113
181500	116
181550	113
181600	100
181650	117
181700	99
181750	109
181800	113
181850	111
181900	114
181950	112
182000	114
182050	106
182100	122
182150	107
182200	108
182250	107
182300	100
182350	116
182400	117
182450	113
182500	104
182550	117
182600	124
182650	115
182700	93
182750	116
182800	112
182850	125
182900	112
182950	108
183000	110
183050	119
183100	112
183150	124
183200	109
183250	111
183300	114
183350	115
183400	124
183450	108
183500	103
183550	114
183600	131
183650	135
183700	117
183750	107
183800	121
183850	109
183900	130
183950	122
184000	130
184050	117
184100	120
184150	125
184200	102
184250	101
184300	88
184350	115
184400	114
184450	115
184500	102
184550	120
184600	112
184650	112
184700	118
184750	114
184800	134
184850	113
184900	93
184950	123
185000	105
185050	96
185100	103
185150	115
185200	129
185250	125
185300	122
185350	111
185400	105
185450	115
185500	117
185550	123
185600	121
185650	95
185700	105
185750	130
185800	105
185850	141
185900	117
185950	116
186000	95
186050	129
186100	108
186150	125
186200	131
186250	112
186300	105
186350	99
186400	112
186450	108
186500	105
186550	107
186600	118
186650	105
186700	119
186750	105
186800	100
186850	116
186900	130
186950	109
187000	104
187050	107
187100	123
187150	116
187200	111
187250	115
187300	116
187350	113
187400	128
187450	115
187500	119
187550	88
187600	139
187650	121
187700	109
187750	133
187800	117
187850	125
187900	111
187950	115
188000	112
188050	108
188100	118
188150	114
188200	112
188250	117
188300	121
188350	104
188400	124
188450	113
188500	107
188550	120
188600	106
188650	121
188700	130
188750	105
188800	120
188850	121
188900	131
188950	90
189000	119
189050	109
189100	109
189150	79
189200	106
189250	110
189300	116
189350	115
189400	112
189450	108
189500	100
189550	106
189600	93
189650	105
189700	106
189750	102
189800	106
189850	99
189900	116
189950	115
190000	114
