generation	pedigree_id	age
179800	337078639	8
179800	337092322	1
179800	337079717	8
179800	337091700	1
179800	337095101	0
179800	337089518	3
179800	337082190	7
179800	337092129	1
179800	337095217	0
179800	337087184	4
179800	337080842	7
179800	337093104	1
179800	337091079	2
179800	337074174	11
179800	337087702	4
179800	337073841	11
179800	337048169	25
179800	337077728	9
179800	337093143	1
179800	337089867	2
179800	337064859	16
179800	337080329	7
179800	337085593	5
179800	337030760	34
179800	337090449	2
179800	337092576	1
179800	337093716	0
179800	337094833	0
179800	337076797	9
179800	337094502	0
179800	337067060	15
179800	337090202	2
179800	337095227	0
179800	337095207	0
179800	337067918	14
179800	337072824	11
179800	337093769	0
179800	337092363	1
179800	337093975	0
179800	337092165	1
179800	337065499	15
179800	337088368	3
179800	337088410	3
179800	337078098	9
179800	337093962	0
179800	337091587	1
179800	337094449	0
179800	337092874	1
179800	337091329	2
179800	337086522	4
179800	337092417	1
179800	337094615	0
179800	337093197	1
179800	337088990	3
179800	337093145	1
179800	337090326	2
179800	337091655	1
179800	337091654	1
179800	337089840	2
179800	337091604	1
179800	337087090	4
179800	337087389	4
179800	337059364	19
179800	337088673	3
179800	337077331	9
179800	337090797	2
179800	337091549	2
179800	337079516	8
179800	337088338	3
179800	337092216	1
179800	337094395	0
179800	337091993	1
179800	337093417	0
179800	337089702	2
179800	337088102	3
179800	337094548	0
179800	337088148	3
179800	337052580	22
179800	337093969	0
179800	337084487	5
179800	337082598	6
179800	337095134	0
179800	337095098	0
179800	337085323	5
179800	337089181	3
179800	337094098	0
179800	337093183	1
179800	337090864	2
179800	337087934	3
179800	337092797	1
179800	337093667	0
179800	337083306	6
179800	337074732	10
179800	337092895	1
179800	337095163	0
179800	337078891	8
179800	337093903	0
179800	337093555	0
179800	337087745	4
179800	337079476	8
179850	337181325	4
179850	337178834	5
179850	337182092	3
179850	337189269	0
179850	337183260	3
179850	337174903	7
179850	337188744	0
179850	337189292	0
179850	337183387	3
179850	337177246	6
179850	337189040	0
179850	337182387	3
179850	337182138	3
179850	337159424	15
179850	337186592	1
179850	337167922	11
179850	337181010	4
179850	337188958	0
179850	337159549	15
179850	337187669	0
179850	337181517	4
179850	337188113	0
179850	337182649	3
179850	337187726	0
179850	337187911	0
179850	337184103	2
179850	337179326	5
179850	337189087	0
179850	337184942	2
179850	337182427	3
179850	337187459	1
179850	337188022	0
179850	337166394	12
179850	337188476	0
179850	337185902	1
179850	337184254	2
179850	337170528	10
179850	337188545	0
179850	337175872	7
179850	337168082	11
179850	337187562	0
179850	337181327	4
179850	337189374	0
179850	337183713	3
179850	337183917	2
179850	337185904	1
179850	337184090	2
179850	337183350	3
179850	337188460	0
179850	337185994	1
179850	337180474	4
179850	337184915	2
179850	337176600	6
179850	337188504	0
179850	337185012	2
179850	337184883	2
179850	337161292	14
179850	337187902	0
179850	337184427	2
179850	337170009	10
179850	337168446	11
179850	337188461	0
179850	337186826	1
179850	337145592	23
179850	337186332	1
179850	337178461	5
179850	337182402	3
179850	337177658	6
179850	337188102	0
179850	337185286	2
179850	337183364	3
179850	337179104	5
179850	337179064	5
179850	337186594	1
179850	337181073	4
179850	337184107	2
179850	337187698	0
179850	337189150	0
179850	337188936	0
179850	337183343	3
179850	337184745	2
179850	337188716	0
179850	337188814	0
179850	337183781	2
179850	337181507	4
179850	337187033	1
179850	337189175	0
179850	337180723	4
179850	337183164	3
179850	337184273	2
179850	337185077	2
179850	337186470	1
179850	337186400	1
179850	337187094	1
179850	337189065	0
179850	337186800	1
179850	337169594	10
179850	337182541	3
179850	337184712	2
179850	337188001	0
179900	337278814	2
179900	337282877	0
179900	337275946	3
179900	337280062	1
179900	337279011	2
179900	337280144	1
179900	337263938	10
179900	337281154	1
179900	337272146	5
179900	337269228	7
179900	337281884	0
179900	337281466	0
179900	337266824	8
179900	337275350	4
179900	337267419	8
179900	337280109	1
179900	337282401	0
179900	337278077	2
179900	337269800	7
179900	337270470	6
179900	337281337	0
179900	337277453	3
179900	337280177	1
179900	337281197	1
179900	337274625	4
179900	337282580	0
179900	337277725	2
179900	337281644	0
179900	337279574	1
179900	337278415	2
179900	337277839	2
179900	337276935	3
179900	337282006	0
179900	337267970	8
179900	337268810	7
179900	337279577	1
179900	337272400	5
179900	337268778	7
179900	337278218	2
179900	337266445	8
179900	337272621	5
179900	337252796	16
179900	337280098	1
179900	337275399	4
179900	337279837	1
179900	337273344	5
179900	337282024	0
179900	337282094	0
179900	337279662	1
179900	337277854	2
179900	337280060	1
179900	337249404	18
179900	337280041	1
179900	337281846	0
179900	337280500	1
179900	337278541	2
179900	337282977	0
179900	337281511	0
179900	337268176	8
179900	337281513	0
179900	337280360	1
179900	337280579	1
179900	337268380	7
179900	337278484	2
179900	337273540	5
179900	337281941	0
179900	337281292	0
179900	337282826	0
179900	337232459	27
179900	337274634	4
179900	337277779	2
179900	337277041	3
179900	337252238	16
179900	337275930	3
179900	337281143	1
179900	337268700	7
179900	337275488	4
179900	337259198	12
179900	337280476	1
179900	337281782	0
179900	337278932	2
179900	337282664	0
179900	337280850	1
179900	337275705	4
179900	337272737	5
179900	337266700	8
179900	337269319	7
179900	337264016	10
179900	337274607	4
179900	337254218	15
179900	337260360	12
179900	337268716	7
179900	337279450	2
179900	337280561	1
179900	337281107	1
179900	337277687	2
179900	337280793	1
179900	337278266	2
179900	337280534	1
179900	337278136	2
179950	337358122	10
179950	337364962	6
179950	337368167	4
179950	337355351	11
179950	337368179	4
179950	337363206	7
179950	337373136	2
179950	337364553	6
179950	337369680	3
179950	337368313	4
179950	337361172	8
179950	337375780	0
179950	337370315	3
179950	337358245	10
179950	337374742	1
179950	337374646	1
179950	337375733	0
179950	337372146	2
179950	337376384	0
179950	337375765	0
179950	337370630	3
179950	337349525	14
179950	337375323	0
179950	337376843	0
179950	337370091	3
179950	337376133	0
179950	337361965	8
179950	337370386	3
179950	337373493	1
179950	337365826	5
179950	337374932	1
179950	337376250	0
179950	337358096	10
179950	337371167	3
179950	337375497	0
179950	337371738	2
179950	337376690	0
179950	337375491	0
179950	337370329	3
179950	337373830	1
179950	337373485	1
179950	337360310	8
179950	337359147	9
179950	337373802	1
179950	337367700	4
179950	337366945	5
179950	337352740	12
179950	337376361	0
179950	337357990	10
179950	337366057	5
179950	337365083	6
179950	337374035	1
179950	337368554	4
179950	337375293	0
179950	337366092	5
179950	337376863	0
179950	337375705	0
179950	337368969	4
179950	337365850	5
179950	337375147	0
179950	337374916	1
179950	337364907	6
179950	337371029	3
179950	337376418	0
179950	337368138	4
179950	337368301	4
179950	337358937	9
179950	337365229	6
179950	337372895	2
179950	337370208	3
179950	337368264	4
179950	337371498	2
179950	337374131	1
179950	337372725	2
179950	337362369	7
179950	337371716	2
179950	337372232	2
179950	337372150	2
179950	337371986	2
179950	337373322	1
179950	337372505	2
179950	337373801	1
179950	337371205	3
179950	337369799	3
179950	337367336	5
179950	337368050	4
179950	337376614	0
179950	337360241	8
179950	337371084	3
179950	337364442	6
179950	337352094	13
179950	337361897	8
179950	337371364	3
179950	337371386	2
179950	337373511	1
179950	337365885	5
179950	337365008	6
179950	337372511	2
179950	337371095	3
179950	337371750	2
180000	337466455	2
180000	337463989	3
180000	337449745	11
180000	337457769	6
180000	337456902	7
180000	337457922	6
180000	337452028	9
180000	337459125	6
180000	337467551	1
180000	337455797	7
180000	337459633	5
180000	337468147	1
180000	337468195	1
180000	337460827	5
180000	337464001	3
180000	337441320	15
180000	337468498	1
180000	337465309	2
180000	337462248	4
180000	337464332	3
180000	337461929	4
180000	337460144	5
180000	337465535	2
180000	337466954	1
180000	337464653	3
180000	337444785	13
180000	337458688	6
180000	337419321	27
180000	337465725	2
180000	337468085	1
180000	337465355	2
180000	337455216	8
180000	337452786	9
180000	337463387	3
180000	337468618	1
180000	337459689	5
180000	337465638	2
180000	337459627	5
180000	337467999	1
180000	337467650	1
180000	337458945	6
180000	337450488	10
180000	337467532	1
180000	337457156	7
180000	337460015	5
180000	337467981	1
180000	337462620	4
180000	337466473	2
180000	337463342	3
180000	337458137	6
180000	337456651	7
180000	337463714	3
180000	337462231	4
180000	337466133	2
180000	337466661	2
180000	337465579	2
180000	337463289	3
180000	337463467	3
180000	337461022	5
180000	337458496	6
180000	337467649	1
180000	337458924	6
180000	337468518	1
180000	337461190	4
180000	337465030	2
180000	337461760	4
180000	337443110	14
180000	337445630	13
180000	337467873	1
180000	337465461	2
180000	337425829	23
180000	337458821	6
180000	337459674	5
180000	337466823	2
180000	337446318	12
180000	337461988	4
180000	337465941	2
180000	337463840	3
180000	337462751	4
180000	337463751	3
180000	337467610	1
180000	337466701	2
180000	337463873	3
180000	337465789	2
180000	337466322	2
180000	337457838	6
180000	337468540	1
180000	337460836	5
180000	337467874	1
180000	337467213	1
180000	337466998	1
180000	337462287	4
180000	337465663	2
180000	337453834	8
180000	337467357	1
180000	337468181	1
180000	337422258	25
180000	337466562	2
180000	337456609	7
180000	337464973	2
180005	337468833	3
180005	337468896	0
180005	337462620	9
180005	337468874	1
180005	337463467	8
180005	337468878	1
180005	337468904	0
180005	337466429	7
180005	337468839	3
180005	337465579	7
180005	337468899	0
180005	337468888	1
180005	337468906	0
180005	337465355	7
180005	337468908	0
180005	337468903	0
180005	337468886	1
180005	337468826	3
180005	337468889	0
180005	337460819	10
180005	337468843	3
180005	337468869	2
180005	337468837	3
180005	337465030	7
180005	337460600	10
180005	337462287	9
180005	337468909	0
180005	337468910	0
180005	337425829	28
180005	337465941	7
180005	337462231	9
180005	337468897	0
180005	337468882	1
