generation	Nc
179800	4209
179850	4297
179900	4218
179950	4217
180000	57
180005	68
180010	53
180015	61
180020	100
180025	109
180030	100
180035	133
180040	106
180045	117
180050	127
180100	111
180150	105
180200	115
180250	108
180300	102
180350	129
180400	109
180450	110
180500	91
180550	127
180600	104
180650	92
180700	105
180750	113
180800	120
180850	123
180900	105
180950	127
181000	120
181050	111
181100	100
181150	123
181200	114
181250	111
181300	133
181350	109
181400	120
181450	129
181500	99
181550	133
181600	126
181650	114
181700	101
181750	129
181800	108
181850	101
181900	93
181950	100
182000	111
182050	98
182100	111
182150	98
182200	116
182250	115
182300	117
182350	128
182400	106
182450	127
182500	114
182550	108
182600	118
182650	111
182700	117
182750	125
182800	122
182850	110
182900	115
182950	126
183000	104
183050	97
183100	114
183150	97
183200	98
183250	111
183300	114
183350	96
183400	128
183450	120
183500	93
183550	118
183600	120
183650	96
183700	112
183750	114
183800	108
183850	121
183900	105
183950	118
184000	106
184050	120
184100	115
184150	131
184200	121
184250	112
184300	130
184350	117
184400	96
184450	106
184500	119
184550	115
184600	113
184650	119
184700	100
184750	113
184800	100
184850	113
184900	92
184950	107
185000	111
185050	121
185100	105
185150	113
185200	100
185250	106
185300	106
185350	121
185400	116
185450	107
185500	117
185550	92
185600	128
185650	114
185700	103
185750	115
185800	118
185850	117
185900	108
185950	112
186000	114
186050	99
186100	118
186150	111
186200	95
186250	121
186300	106
186350	103
186400	117
186450	101
186500	105
186550	103
186600	121
186650	126
186700	119
186750	99
186800	113
186850	124
186900	118
186950	126
187000	109
187050	98
187100	118
187150	97
187200	133
187250	114
187300	113
187350	111
187400	115
187450	107
187500	117
187550	118
187600	132
187650	124
187700	119
187750	112
187800	114
187850	108
187900	124
187950	103
188000	127
188050	122
188100	95
188150	117
188200	97
188250	99
188300	109
188350	96
188400	99
188450	113
188500	108
188550	120
188600	124
188650	108
188700	129
188750	127
188800	116
188850	105
188900	110
188950	123
189000	129
189050	111
189100	116
189150	114
189200	126
189250	121
189300	126
189350	118
189400	95
189450	114
189500	98
189550	125
189600	106
189650	111
189700	117
189750	110
189800	103
189850	124
189900	108
189950	111
190000	93
