generation	Nc
179800	4195
179850	4230
179900	4190
179950	4289
180000	50
180005	56
180010	55
180015	46
180020	107
180025	126
180030	115
180035	105
180040	114
180045	128
180050	119
180100	115
180150	136
180200	105
180250	106
180300	127
180350	95
180400	108
180450	109
180500	107
180550	115
180600	115
180650	99
180700	105
180750	120
180800	115
180850	100
180900	124
180950	116
181000	115
181050	101
181100	113
181150	114
181200	121
181250	128
181300	117
181350	95
181400	112
181450	125
181500	94
181550	110
181600	113
181650	112
181700	91
181750	107
181800	129
181850	112
181900	119
181950	126
182000	124
182050	107
182100	111
182150	96
182200	97
182250	122
182300	110
182350	123
182400	118
182450	105
182500	107
182550	109
182600	105
182650	117
182700	113
182750	112
182800	134
182850	130
182900	125
182950	104
183000	95
183050	122
183100	120
183150	111
183200	97
183250	113
183300	118
183350	124
183400	130
183450	101
183500	116
183550	110
183600	101
183650	113
183700	117
183750	130
183800	103
183850	93
183900	122
183950	121
184000	114
184050	102
184100	104
184150	136
184200	117
184250	100
184300	120
184350	113
184400	103
184450	113
184500	105
184550	112
184600	94
184650	129
184700	121
184750	110
184800	122
184850	97
184900	114
184950	117
185000	102
185050	119
185100	116
185150	134
185200	118
185250	102
185300	125
185350	123
185400	128
185450	101
185500	119
185550	96
185600	121
185650	119
185700	131
185750	100
185800	117
185850	111
185900	117
185950	108
186000	90
186050	110
186100	102
186150	136
186200	135
186250	114
186300	106
186350	101
186400	113
186450	109
186500	117
186550	109
186600	120
186650	108
186700	114
186750	103
186800	125
186850	121
186900	117
186950	106
187000	115
187050	131
187100	127
187150	94
187200	106
187250	108
187300	105
187350	123
187400	122
187450	113
187500	121
187550	114
187600	124
187650	126
187700	106
187750	117
187800	102
187850	111
187900	108
187950	121
188000	93
188050	106
188100	118
188150	106
188200	108
188250	109
188300	115
188350	113
188400	96
188450	104
188500	127
188550	111
188600	118
188650	102
188700	119
188750	112
188800	122
188850	122
188900	126
188950	116
189000	114
189050	116
189100	102
189150	111
189200	116
189250	107
189300	121
189350	121
189400	117
189450	111
189500	123
189550	100
189600	106
189650	99
189700	137
189750	105
189800	109
189850	109
189900	96
189950	118
190000	120
