generation	Nc
179800	4236
179850	4190
179900	4182
179950	4118
180000	69
180005	71
180010	61
180015	61
180020	110
180025	117
180030	118
180035	117
180040	141
180045	124
180050	95
180100	118
180150	105
180200	108
180250	113
180300	125
180350	105
180400	107
180450	113
180500	125
180550	90
180600	114
180650	118
180700	108
180750	94
180800	120
180850	124
180900	96
180950	112
181000	113
181050	113
181100	101
181150	96
181200	106
181250	122
181300	117
181350	105
181400	119
181450	119
181500	121
181550	109
181600	105
181650	104
181700	104
181750	132
181800	113
181850	100
181900	126
181950	109
182000	119
182050	117
182100	116
182150	104
182200	103
182250	113
182300	114
182350	108
182400	133
182450	95
182500	106
182550	105
182600	100
182650	125
182700	130
182750	112
182800	104
182850	104
182900	116
182950	118
183000	126
183050	124
183100	145
183150	87
183200	116
183250	111
183300	118
183350	105
183400	103
183450	105
183500	94
183550	110
183600	101
183650	112
183700	112
183750	120
183800	97
183850	130
183900	107
183950	123
184000	104
184050	107
184100	106
184150	118
184200	107
184250	136
184300	101
184350	105
184400	130
184450	128
184500	134
184550	115
184600	122
184650	113
184700	113
184750	102
184800	118
184850	117
184900	97
184950	126
185000	123
185050	117
185100	108
185150	113
185200	119
185250	98
185300	114
185350	123
185400	118
185450	108
185500	112
185550	105
185600	117
185650	107
185700	107
185750	125
185800	118
185850	109
185900	131
185950	130
186000	129
186050	96
186100	129
186150	114
186200	118
186250	107
186300	114
186350	124
186400	110
186450	126
186500	103
186550	103
186600	112
186650	106
186700	108
186750	123
186800	120
186850	104
186900	111
186950	123
187000	119
187050	117
187100	77
187150	120
187200	125
187250	111
187300	120
187350	96
187400	120
187450	132
187500	119
187550	115
187600	109
187650	114
187700	104
187750	134
187800	103
187850	127
187900	127
187950	134
188000	107
188050	107
188100	102
188150	104
188200	114
188250	116
188300	124
188350	120
188400	126
188450	110
188500	112
188550	112
188600	114
188650	113
188700	110
188750	114
188800	131
188850	78
188900	110
188950	115
189000	109
189050	104
189100	109
189150	121
189200	102
189250	119
189300	127
189350	98
189400	115
189450	106
189500	138
189550	104
189600	108
189650	117
189700	110
189750	110
189800	111
189850	117
189900	104
189950	107
190000	133
