generation	Nc
179800	4201
179850	4203
179900	4180
179950	4225
180000	63
180005	66
180010	59
180015	47
180020	123
180025	120
180030	102
180035	112
180040	124
180045	102
180050	102
180100	120
180150	114
180200	112
180250	121
180300	122
180350	105
180400	117
180450	118
180500	117
180550	110
180600	129
180650	110
180700	111
180750	127
180800	97
180850	116
180900	128
180950	96
181000	108
181050	108
181100	124
181150	108
181200	111
181250	107
181300	112
181350	117
181400	114
181450	113
181500	123
181550	119
181600	106
181650	113
181700	115
181750	115
181800	110
181850	115
181900	118
181950	94
182000	121
182050	124
182100	112
182150	121
182200	101
182250	102
182300	106
182350	104
182400	106
182450	115
182500	125
182550	106
182600	103
182650	101
182700	110
182750	112
182800	101
182850	101
182900	130
182950	119
183000	117
183050	101
183100	112
183150	107
183200	111
183250	103
183300	106
183350	108
183400	94
183450	129
183500	108
183550	113
183600	113
183650	85
183700	116
183750	102
183800	112
183850	102
183900	142
183950	91
184000	117
184050	100
184100	99
184150	98
184200	125
184250	107
184300	113
184350	113
184400	124
184450	77
184500	106
184550	121
184600	109
184650	112
184700	118
184750	119
184800	118
184850	132
184900	116
184950	120
185000	122
185050	97
185100	114
185150	120
185200	121
185250	112
185300	111
185350	116
185400	106
185450	122
185500	100
185550	109
185600	116
185650	118
185700	109
185750	127
185800	116
185850	108
185900	112
185950	94
186000	112
186050	123
186100	113
186150	99
186200	94
186250	94
186300	114
186350	116
186400	114
186450	131
186500	117
186550	103
186600	109
186650	111
186700	109
186750	100
186800	111
186850	110
186900	129
186950	114
187000	98
187050	116
187100	123
187150	106
187200	131
187250	125
187300	119
187350	131
187400	99
187450	97
187500	111
187550	103
187600	99
187650	99
187700	115
187750	100
187800	115
187850	112
187900	105
187950	109
188000	112
188050	106
188100	124
188150	120
188200	109
188250	122
188300	110
188350	113
188400	109
188450	108
188500	124
188550	118
188600	112
188650	101
188700	111
188750	123
188800	111
188850	105
188900	115
188950	117
189000	119
189050	138
189100	104
189150	109
189200	108
189250	98
189300	119
189350	100
189400	116
189450	97
189500	132
189550	110
189600	100
189650	99
189700	119
189750	107
189800	114
189850	114
189900	92
189950	132
190000	111
